Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.15,0.05574360142788598,0.022187404838360843,0.0895282765070624
1,300.0,105.0,0.35,0.15,0.003650706330666991,-0.025874519128061806,0.03781863064727789
2,300.0,105.0,0.4,0.15,-0.04365328482012163,-0.0766171588524569,-0.006304947077174587
3,300.0,105.0,0.45,0.15,-0.08510164255891672,-0.124372723859398,-0.03950030299837702
4,300.0,105.0,0.5,0.15,-0.11551915644896761,-0.16018544111896477,-0.06309949552027813
5,300.0,105.0,0.55,0.15,-0.12940878999096272,-0.17346985356258682,-0.07622215360722652
6,300.0,105.0,0.6000000000000001,0.15,-0.12750669602189454,-0.16708728841108653,-0.07897747289456868
7,300.0,105.0,0.65,0.15,-0.11674972959325368,-0.15250562025131073,-0.07704525498381494
8,300.0,105.0,0.7,0.15,-0.10434957673372484,-0.13472023677403952,-0.07426514231740561
9,300.0,105.0,0.75,0.15,-0.09434809793637475,-0.12040488996667523,-0.07038114754047299
0,300.0,105.0,0.3,0.25,0.0713189434192359,0.03138338600961101,0.11117624802985947
1,300.0,105.0,0.35,0.25,0.013163560984991204,-0.022020109208604668,0.052569638483355836
2,300.0,105.0,0.4,0.25,-0.0405145451020702,-0.08000282163843242,0.0034522481844197228
3,300.0,105.0,0.45,0.25,-0.09029496777081422,-0.13782445769957413,-0.033982722548093806
4,300.0,105.0,0.5,0.25,-0.1317696230207472,-0.1903491448455814,-0.06320683148163932
5,300.0,105.0,0.55,0.25,-0.15725139372231806,-0.22187950414996915,-0.08174657951261753
6,300.0,105.0,0.6000000000000001,0.25,-0.16269367933044349,-0.22498810186073034,-0.08872152672366763
7,300.0,105.0,0.65,0.25,-0.15220676722836274,-0.2110424599954741,-0.08662184433006491
8,300.0,105.0,0.7,0.25,-0.13438684552247188,-0.18433705903923986,-0.08181268095386991
9,300.0,105.0,0.75,0.25,-0.1166532242787125,-0.15849008479996465,-0.07748029548974317
0,300.0,105.0,0.3,0.35,0.07595300952324233,0.03460010272937837,0.11727363041953945
1,300.0,105.0,0.35,0.35,0.017714579442680897,-0.018478981539297543,0.05863738043266699
2,300.0,105.0,0.4,0.35,-0.03652717216751135,-0.07729443177467395,0.008658726904411069
3,300.0,105.0,0.45,0.35,-0.0884959269361663,-0.13805311994100042,-0.029310980033463357
4,300.0,105.0,0.5,0.35,-0.1348947364380064,-0.1986845418286449,-0.06002381481047349
5,300.0,105.0,0.55,0.35,-0.1679273867256739,-0.24283571927332948,-0.08078862034994333
6,300.0,105.0,0.6000000000000001,0.35,-0.18094162082135812,-0.25917223736217737,-0.09014629921474046
7,300.0,105.0,0.65,0.35,-0.17446039943976271,-0.2520366588098266,-0.08871729819136777
8,300.0,105.0,0.7,0.35,-0.15545671699436914,-0.22542025856238593,-0.08204044481199455
9,300.0,105.0,0.75,0.35,-0.1324477245361432,-0.19043044214524196,-0.07469280632171706
0,300.0,105.0,0.3,0.45,0.07628854743020201,0.03565062075496402,0.11724347300648752
1,300.0,105.0,0.35,0.45,0.020203712233219207,-0.015087296766012816,0.060663485612537794
2,300.0,105.0,0.4,0.45,-0.03244895342091954,-0.07229490125219133,0.011584104150049596
3,300.0,105.0,0.45,0.45,-0.08410696854733296,-0.13334170099433162,-0.02553785543306758
4,300.0,105.0,0.5,0.45,-0.13238076598576268,-0.19702887738712194,-0.056400426079541516
5,300.0,105.0,0.55,0.45,-0.16995902902640064,-0.24892967432816498,-0.07828211372722226
6,300.0,105.0,0.6000000000000001,0.45,-0.18906973203117175,-0.2759394214506027,-0.0889999935604862
7,300.0,105.0,0.65,0.45,-0.18763807982620592,-0.2773091740549415,-0.08889631244368056
8,300.0,105.0,0.7,0.45,-0.17029907721413565,-0.2560040547404644,-0.08119013257622316
9,300.0,105.0,0.75,0.45,-0.14492075688366396,-0.2189847958739184,-0.07133522669728577
0,300.0,105.0,0.3,0.6,0.07505811338219374,0.036802098549986555,0.11452650282408187
1,300.0,105.0,0.35,0.6,0.02318956066499035,-0.009561091509481222,0.061738940756337485
2,300.0,105.0,0.4,0.6,-0.02600522165188205,-0.06349952618984588,0.014804118525521826
3,300.0,105.0,0.45,0.6,-0.07564935486204592,-0.12207170822625028,-0.020543438250947232
4,300.0,105.0,0.5,0.6,-0.12439257592436204,-0.1867973618681381,-0.0509600383854536
5,300.0,105.0,0.55,0.6,-0.16578714639517717,-0.245063095830639,-0.0738652302169641
6,300.0,105.0,0.6000000000000001,0.6,-0.1914788410801533,-0.2831082588821149,-0.08642244268052156
7,300.0,105.0,0.65,0.6,-0.1970679162379077,-0.29596279588956725,-0.08832718019352151
8,300.0,105.0,0.7,0.6,-0.1843942517807044,-0.28472215709385745,-0.08070540103815035
9,300.0,105.0,0.75,0.6,-0.15941944091446864,-0.25174363920891873,-0.06883563978758221
