Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.05,0.07272092500831288,0.004232824050274976,0.17618492469569413
1,300.0,105.0,0.35,0.05,-0.022609515279823328,-0.08314228913402574,0.024058891373648424
2,300.0,105.0,0.4,0.05,-0.07040256740232713,-0.12639093065182144,-0.026246028957071156
3,300.0,105.0,0.45,0.05,-0.09802583073180315,-0.14517570186824405,-0.04949567273408633
4,300.0,105.0,0.5,0.05,-0.10925393468543004,-0.14825152240457742,-0.06054135619535045
5,300.0,105.0,0.55,0.05,-0.10526114421573958,-0.13784740372647983,-0.06253570926540568
6,300.0,105.0,0.6000000000000001,0.05,-0.0921546836193266,-0.12032949103285799,-0.05893536519212175
7,300.0,105.0,0.65,0.05,-0.07760496166411669,-0.10189095968125345,-0.05377116442717103
8,300.0,105.0,0.7,0.05,-0.06582085952382355,-0.08656687198073029,-0.04868776933739041
9,300.0,105.0,0.75,0.05,-0.05760422381306383,-0.0753932912577491,-0.041185174256492665
0,300.0,105.0,0.3,0.15,0.022818146445124376,-0.03081970462199951,0.07002833862718744
1,300.0,105.0,0.35,0.15,-0.035251993108727626,-0.08412285506808147,0.014738815420167677
2,300.0,105.0,0.4,0.15,-0.08509352361612153,-0.13863394553448788,-0.031956544100025
3,300.0,105.0,0.45,0.15,-0.12451050720286379,-0.18623494627386578,-0.06151916520183035
4,300.0,105.0,0.5,0.15,-0.14866262645301073,-0.2133747680593377,-0.07900836429143453
5,300.0,105.0,0.55,0.15,-0.15427907207903413,-0.21439808094549043,-0.0843833921648285
6,300.0,105.0,0.6000000000000001,0.15,-0.14433926090988725,-0.1946141635282308,-0.08251939934869817
7,300.0,105.0,0.65,0.15,-0.12654500931266227,-0.17128822437294547,-0.07731903111272923
8,300.0,105.0,0.7,0.15,-0.10816823240248448,-0.14776429675528663,-0.07137090067888449
9,300.0,105.0,0.75,0.15,-0.0933080262578243,-0.12817986502814424,-0.06693853948830394
0,300.0,105.0,0.3,0.25,0.004276488825766671,-0.0738331552251464,0.07509868578700755
1,300.0,105.0,0.35,0.25,-0.06584327701391039,-0.13712248163565707,0.007011247519065567
