Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.05,0.059919359921304885,-0.015226737035166265,0.15389336467715706
1,300.0,105.0,0.35,0.05,-0.03071840578064031,-0.09609997266605558,0.017666337150732785
2,300.0,105.0,0.4,0.05,-0.07829508945378005,-0.13772392609410064,-0.0326795424004707
3,300.0,105.0,0.45,0.05,-0.10710604630129664,-0.15730273549828544,-0.055870948632964955
4,300.0,105.0,0.5,0.05,-0.11922789083913712,-0.1603015445999147,-0.06809946159843504
5,300.0,105.0,0.55,0.05,-0.11486151058248596,-0.1488336009642517,-0.07056259524941988
6,300.0,105.0,0.6000000000000001,0.05,-0.10066494756377162,-0.1297330180377478,-0.06673921177272657
7,300.0,105.0,0.65,0.05,-0.0852165436402633,-0.110470335163523,-0.06113885315117192
8,300.0,105.0,0.7,0.05,-0.07298041945895098,-0.09467112658916668,-0.05386104679647813
9,300.0,105.0,0.75,0.05,-0.0646619048470727,-0.08355062299918839,-0.04554396015968232
0,300.0,105.0,0.3,0.15,0.018420651879782028,-0.03379161512874568,0.06458626704427697
1,300.0,105.0,0.35,0.15,-0.03812223773307317,-0.0858191741192136,0.010855111456882777
2,300.0,105.0,0.4,0.15,-0.0867190288189454,-0.13833858175193392,-0.03533202563940577
3,300.0,105.0,0.45,0.15,-0.12461763194041359,-0.18322434584649233,-0.06424381486729393
4,300.0,105.0,0.5,0.15,-0.14664691230577656,-0.20628366070543933,-0.08180890747005293
5,300.0,105.0,0.55,0.15,-0.1502470874919001,-0.20316245006469974,-0.08762636359055323
6,300.0,105.0,0.6000000000000001,0.15,-0.13983246914225017,-0.18484901120065703,-0.08686184151911933
7,300.0,105.0,0.65,0.15,-0.12369714799807957,-0.16275704073672173,-0.08275247548301937
8,300.0,105.0,0.7,0.15,-0.1083920009451055,-0.1431436944224329,-0.07834733603221984
9,300.0,105.0,0.75,0.15,-0.0968460065447972,-0.12786848114852561,-0.0714758650447371
0,300.0,105.0,0.3,0.25,0.006900732441861535,-0.06803589533747392,0.07483311567939406
1,300.0,105.0,0.35,0.25,-0.06168115841407472,-0.12962148336855592,0.007706364948540117
2,300.0,105.0,0.4,0.25,-0.12148479936084211,-0.19806647545041314,-0.04849118025724776
3,300.0,105.0,0.45,0.25,-0.1687177182298031,-0.2557386530130459,-0.08209004873828983
4,300.0,105.0,0.5,0.25,-0.19753920047327098,-0.2881657972749872,-0.10299223168828367
5,300.0,105.0,0.55,0.25,-0.20459647280874518,-0.28929042694314044,-0.10965849015351889
6,300.0,105.0,0.6000000000000001,0.25,-0.19323356714057596,-0.26362553164552616,-0.10826034349889696
7,300.0,105.0,0.65,0.25,-0.1718204031773887,-0.23356484976144962,-0.10329702971871055
8,300.0,105.0,0.7,0.25,-0.14874013190816773,-0.20273778077735183,-0.09810908383853723
9,300.0,105.0,0.75,0.25,-0.12928645305024977,-0.17735303925136242,-0.09142811484872863
0,300.0,105.0,0.3,0.35,-0.012444569490069689,-0.10096671213038663,0.06980463299123339
1,300.0,105.0,0.35,0.35,-0.08361591301919456,-0.16256771087436725,-0.0022656732938449234
2,300.0,105.0,0.4,0.35,-0.14515011214492404,-0.2364819626495149,-0.05965859971585642
3,300.0,105.0,0.45,0.35,-0.1934828484289965,-0.29656208317611715,-0.09286532045720056
4,300.0,105.0,0.5,0.35,-0.22335533789182835,-0.331589439044011,-0.11274822657507004
5,300.0,105.0,0.55,0.35,-0.23167157840513472,-0.335721844154454,-0.11785863484093934
6,300.0,105.0,0.6000000000000001,0.35,-0.22066250250531005,-0.31151712954702265,-0.11471371065618663
7,300.0,105.0,0.65,0.35,-0.19706226373499705,-0.27581014395071163,-0.10741667100564245
8,300.0,105.0,0.7,0.35,-0.1688846599762492,-0.2362124850623203,-0.09941549681481586
9,300.0,105.0,0.75,0.35,-0.1426926383255408,-0.20322883655447804,-0.09264838399814218
0,300.0,105.0,0.3,0.45,-0.0402219128248157,-0.13196233822109799,0.04688510582740017
1,300.0,105.0,0.35,0.45,-0.10384512185552719,-0.1854552448146558,-0.020052134904544397
2,300.0,105.0,0.4,0.45,-0.15762132629331158,-0.25173076196842303,-0.0705127175280251
3,300.0,105.0,0.45,0.45,-0.19798240925272909,-0.3013564892315353,-0.09801380728785505
4,300.0,105.0,0.5,0.45,-0.22066570240269914,-0.3265776506726076,-0.11315660549601814
5,300.0,105.0,0.55,0.45,-0.224067708045379,-0.3239523007286276,-0.11546857038072336
6,300.0,105.0,0.6000000000000001,0.45,-0.21104764787707525,-0.2971289059192479,-0.11112202466077757
7,300.0,105.0,0.65,0.45,-0.18773879051817965,-0.2614785091977453,-0.10372405558682356
8,300.0,105.0,0.7,0.45,-0.16106482832447844,-0.2228449475137855,-0.09614918697717853
9,300.0,105.0,0.75,0.45,-0.13667551152721816,-0.1926156535110472,-0.08983852012992044
0,300.0,105.0,0.3,0.6,-0.09552915901713525,-0.18823936630203872,-0.006438676629213859
1,300.0,105.0,0.35,0.6,-0.13852815109986688,-0.22323210623536147,-0.05544596210092425
2,300.0,105.0,0.4,0.6,-0.17268698858935752,-0.264861548186885,-0.08817816797227807
3,300.0,105.0,0.45,0.6,-0.19467845548067114,-0.2898094916265618,-0.10296917070979662
4,300.0,105.0,0.5,0.6,-0.20243378550728128,-0.2940271165634648,-0.10942092251078779
5,300.0,105.0,0.55,0.6,-0.19675515162453844,-0.2781334837452994,-0.10793521621816402
6,300.0,105.0,0.6000000000000001,0.6,-0.18129591390105843,-0.24742901571493708,-0.1035099747765793
7,300.0,105.0,0.65,0.6,-0.16116220955635702,-0.21572189753886123,-0.09853495121981365
8,300.0,105.0,0.7,0.6,-0.14121369901215033,-0.18767017840911962,-0.09450318730416624
9,300.0,105.0,0.75,0.6,-0.12476862188826099,-0.16738654297596622,-0.09043619459147118
0,310.0,105.0,0.3,0.05,-0.32588952520139314,-0.7439111347595245,-0.14359954881872256
1,310.0,105.0,0.35,0.05,-0.17690301332148461,-0.30157257593691605,-0.09648305709718018
