Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,100.0,0.3,0.15,0.08705320406016863,0.04856162896597471,0.12137048347614993
1,300.0,100.0,0.35,0.15,0.037828742986771774,0.006527625818239969,0.07034739137008164
2,300.0,100.0,0.4,0.15,-0.005292984417174454,-0.035906707391511666,0.02377644513650351
3,300.0,100.0,0.45,0.15,-0.04270622732307522,-0.07293801186139566,-0.011713060964715772
4,300.0,100.0,0.5,0.15,-0.07112077684175983,-0.10313311864476322,-0.03639121626319125
5,300.0,100.0,0.55,0.15,-0.08609724661329388,-0.11809145720372044,-0.050481069417033446
6,300.0,100.0,0.6000000000000001,0.15,-0.08791931393558111,-0.11675216165907897,-0.05586121969753653
7,300.0,100.0,0.65,0.15,-0.08216491614251192,-0.1056489361388837,-0.0565142128621715
8,300.0,100.0,0.7,0.15,-0.07458694018901228,-0.09297646734757396,-0.05462107962790278
9,300.0,100.0,0.75,0.15,-0.06817293419159208,-0.08830861178083782,-0.05075042751568226
0,300.0,100.0,0.3,0.25,0.11131335476770407,0.06613065130753487,0.15019943876565664
1,300.0,100.0,0.35,0.25,0.05934889595327639,0.025282047022167627,0.09473205110263365
2,300.0,100.0,0.4,0.25,0.014796388989448309,-0.018149029414303332,0.048082469624691336
3,300.0,100.0,0.45,0.25,-0.023846110530638568,-0.0552154620165018,0.007110533905947629
4,300.0,100.0,0.5,0.25,-0.054293172204415326,-0.08794284382125823,-0.019735747793028252
5,300.0,100.0,0.55,0.25,-0.07198801071095343,-0.10649383383914349,-0.03554215358587392
6,300.0,100.0,0.6000000000000001,0.25,-0.07572749513347742,-0.1079809769414431,-0.04139913162312675
7,300.0,100.0,0.65,0.25,-0.07005867625387079,-0.0972586088295556,-0.04151894406995944
8,300.0,100.0,0.7,0.25,-0.061040824197992664,-0.0819707210037847,-0.03955661418215633
9,300.0,100.0,0.75,0.25,-0.05247936389675742,-0.06971344680254872,-0.036183778620688195
0,300.0,100.0,0.3,0.35,0.1187551178784259,0.07161392682534044,0.15860951197874038
1,300.0,100.0,0.35,0.35,0.06860031786084819,0.034124887098256916,0.1037596163618521
2,300.0,100.0,0.4,0.35,0.026377650117667146,-0.005928290681324559,0.05999079239625923
3,300.0,100.0,0.45,0.35,-0.010008813158302049,-0.04001593397900868,0.020826494500730656
4,300.0,100.0,0.5,0.35,-0.03896360319934319,-0.07016736010905393,-0.007450997836085294
5,300.0,100.0,0.55,0.35,-0.056359539850624155,-0.08846631479587123,-0.023622871133360937
6,300.0,100.0,0.6000000000000001,0.35,-0.06056864829313747,-0.09094766281730333,-0.029012084776858054
7,300.0,100.0,0.65,0.35,-0.05532965935733791,-0.08131136125864728,-0.028523883987524448
8,300.0,100.0,0.7,0.35,-0.04630583342441984,-0.06651264956951204,-0.025829782854832235
9,300.0,100.0,0.75,0.35,-0.03739198228222179,-0.05190131019949851,-0.022974729917375192
0,300.0,100.0,0.3,0.45,0.12007145461484099,0.07297925032073603,0.1593874695584589
1,300.0,100.0,0.35,0.45,0.07300177311491629,0.0391673867765411,0.10713589453399103
2,300.0,100.0,0.4,0.45,0.03387232143696434,0.0032122268727689716,0.06676778464988661
3,300.0,100.0,0.45,0.45,0.00014775766446333853,-0.028279267588534752,0.030301870914010338
4,300.0,100.0,0.5,0.45,-0.027151449515121752,-0.05546048227252891,0.0013422226049487416
5,300.0,100.0,0.55,0.45,-0.04426403538974073,-0.07339927466760773,-0.014578765419211279
6,300.0,100.0,0.6000000000000001,0.45,-0.049163699955386636,-0.07693070217198206,-0.020909069312153982
7,300.0,100.0,0.65,0.45,-0.04483353632682522,-0.06879049668499605,-0.020463743630214918
8,300.0,100.0,0.7,0.45,-0.03650466604910482,-0.05526413357775099,-0.01768048248643553
9,300.0,100.0,0.75,0.45,-0.02802653419577595,-0.04153389245640919,-0.014697200846153573
0,300.0,100.0,0.3,0.6,0.11980363304350561,0.07390684618974033,0.15742043710904002
1,300.0,100.0,0.35,0.6,0.07734214928147386,0.04467145063769113,0.11029505555575445
2,300.0,100.0,0.4,0.6,0.04262125886709437,0.014191580114310902,0.07455623886859832
3,300.0,100.0,0.45,0.6,0.012418699169951058,-0.014279109061389636,0.04195889375119415
4,300.0,100.0,0.5,0.6,-0.013240975729723034,-0.038209123730657706,0.013082601606576705
5,300.0,100.0,0.55,0.6,-0.03114546665486477,-0.05705110659446274,-0.004480144375493612
6,300.0,100.0,0.6000000000000001,0.6,-0.0382626409083837,-0.06341766689299341,-0.01241752678707046
7,300.0,100.0,0.65,0.6,-0.03604498620666752,-0.05816264633215111,-0.0135262325859431
8,300.0,100.0,0.7,0.6,-0.029137564383947274,-0.046706700792119346,-0.01141363468822585
9,300.0,100.0,0.75,0.6,-0.021504923341744427,-0.034268268202166434,-0.00874550489595016
0,310.0,100.0,0.3,0.15,-0.14002279267300066,-0.17947041651099058,-0.09684465362524323
1,310.0,100.0,0.35,0.15,-0.11190335929082297,-0.14718170329438468,-0.07293384506707816
2,310.0,100.0,0.4,0.15,-0.09161394870535336,-0.12111542236800618,-0.059534761961268355
3,310.0,100.0,0.45,0.15,-0.07804612330288814,-0.10124468179394264,-0.054520521014891056
4,310.0,100.0,0.5,0.15,-0.06976630519282567,-0.08980651786698689,-0.05216738887005182
5,310.0,100.0,0.55,0.15,-0.06495013961150395,-0.08189214829923706,-0.05033298749191897
6,310.0,100.0,0.6000000000000001,0.15,-0.062088624145364035,-0.07695534773258052,-0.04941960590379975
7,310.0,100.0,0.65,0.15,-0.060509788055391214,-0.07452184511486666,-0.04630504088682334
8,310.0,100.0,0.7,0.15,-0.05995266320758586,-0.07467491019162312,-0.04411185220183016
9,310.0,100.0,0.75,0.15,-0.06005137775294158,-0.07677859525466679,-0.042223973618670765
0,310.0,100.0,0.3,0.25,-0.15660929447495667,-0.20405403369188901,-0.10335924490575528
1,310.0,100.0,0.35,0.25,-0.12114887910140093,-0.16425500779738772,-0.07420633041851996
2,310.0,100.0,0.4,0.25,-0.09319446841121447,-0.1302162005612355,-0.05258079406684777
3,310.0,100.0,0.45,0.25,-0.07154406495198397,-0.10119300383553641,-0.039821510003731124
4,310.0,100.0,0.5,0.25,-0.055889249947796205,-0.08022125780458683,-0.03392076396024045
5,310.0,100.0,0.55,0.25,-0.04602644978833204,-0.06569711880895081,-0.032453606376451005
6,310.0,100.0,0.6000000000000001,0.25,-0.04082417227137414,-0.05664649240193786,-0.03047880571168341
7,310.0,100.0,0.65,0.25,-0.03860788758061814,-0.05182285429908425,-0.029135645943599273
8,310.0,100.0,0.7,0.25,-0.03799818604859261,-0.04950433074104885,-0.027692941897802057
9,310.0,100.0,0.75,0.25,-0.03798057101961547,-0.04945867039418427,-0.026399885289705275
0,310.0,100.0,0.3,0.35,-0.15636137965056324,-0.20621209658287623,-0.09983002807437412
1,310.0,100.0,0.35,0.35,-0.11948445673504972,-0.164022639172922,-0.07190971835694986
2,310.0,100.0,0.4,0.35,-0.08961058055417073,-0.12812959496361723,-0.04757478370866013
3,310.0,100.0,0.45,0.35,-0.06516607236567894,-0.0962866236940667,-0.03157333309906237
4,310.0,100.0,0.5,0.35,-0.046162546520405,-0.07095250877564441,-0.022306077879282522
5,310.0,100.0,0.55,0.35,-0.0332530871616735,-0.05283998926602949,-0.018109415619558266
6,310.0,100.0,0.6000000000000001,0.35,-0.025908882297238537,-0.0409094495524598,-0.01697141916693422
7,310.0,100.0,0.65,0.35,-0.022355119340758935,-0.03404729417241212,-0.015483497538761234
8,310.0,100.0,0.7,0.35,-0.02085996354648434,-0.030246906191805773,-0.014928118438949584
9,310.0,100.0,0.75,0.35,-0.020228752138364097,-0.028047690374276648,-0.01385365787193626
0,310.0,100.0,0.3,0.45,-0.15135035055658477,-0.20393785722411337,-0.09419728754335405
1,310.0,100.0,0.35,0.45,-0.11549965135410534,-0.15945954434310033,-0.06930993641341666
2,310.0,100.0,0.4,0.45,-0.0862060780597997,-0.12449848049588114,-0.04471393890239382
3,310.0,100.0,0.45,0.45,-0.06154622750383011,-0.09277576318355854,-0.02780961359362398
4,310.0,100.0,0.5,0.45,-0.04153642097263526,-0.06618187501769465,-0.017163416396014597
5,310.0,100.0,0.55,0.45,-0.027244992950132437,-0.04658443619987776,-0.011532559925802708
6,310.0,100.0,0.6000000000000001,0.45,-0.018643811395441707,-0.03310450275749249,-0.009256695816787217
7,310.0,100.0,0.65,0.45,-0.014117911075936738,-0.024954493306224897,-0.008445192558373678
8,310.0,100.0,0.7,0.45,-0.011882203868873906,-0.020141031500511206,-0.007661839378787994
9,310.0,100.0,0.75,0.45,-0.010742524131553244,-0.017062333945891753,-0.00722094578716431
0,310.0,100.0,0.3,0.6,-0.14402044781453854,-0.19780644494953772,-0.08787398926241421
1,310.0,100.0,0.35,0.6,-0.11098753820503922,-0.15463934921926245,-0.06670817274281293
2,310.0,100.0,0.4,0.6,-0.08414704558351684,-0.12224333764563527,-0.04318730008789908
3,310.0,100.0,0.45,0.6,-0.060987347151122875,-0.09302441990255735,-0.02643823408565232
4,310.0,100.0,0.5,0.6,-0.041088243972617546,-0.06707529117223641,-0.015082702284904548
5,310.0,100.0,0.55,0.6,-0.02570082119239228,-0.0464781859581199,-0.008308576411258442
6,310.0,100.0,0.6000000000000001,0.6,-0.01565485121711012,-0.031234252443607544,-0.0049601280357954285
7,310.0,100.0,0.65,0.6,-0.009924842263943084,-0.02142816846455164,-0.0036015016158773313
8,310.0,100.0,0.7,0.6,-0.006795210261655772,-0.015318007478228342,-0.003093515097550638
9,310.0,100.0,0.75,0.6,-0.005046675899248407,-0.01128789569757647,-0.0026800038574904274
