Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.05,0.13067823075105744,0.0950347584920164,0.1445236716913679
1,300.0,105.0,0.35,0.05,0.009605392277252522,0.0029224847319162337,0.0037199713041228297
2,300.0,105.0,0.4,0.05,-0.04897410724941915,-0.05544133729515043,-0.03846025231449887
3,300.0,105.0,0.45,0.05,-0.08448744196214855,-0.08819035282990631,-0.062044364305779545
4,300.0,105.0,0.5,0.05,-0.10277711713152322,-0.1030709969243592,-0.07488436617736452
5,300.0,105.0,0.55,0.05,-0.10400497625652387,-0.10123205528792392,-0.07827193833386373
6,300.0,105.0,0.6000000000000001,0.05,-0.09387469188341761,-0.08878808455375352,-0.07522889792825838
7,300.0,105.0,0.65,0.05,-0.08100512282933087,-0.0742626220061083,-0.07025918419005042
8,300.0,105.0,0.7,0.05,-0.07035860416227152,-0.06610051848475962,-0.062315991239252626
9,300.0,105.0,0.75,0.05,-0.06300904254946038,-0.0634501182164232,-0.053815278527211345
0,300.0,105.0,0.3,0.15,0.06741851547029948,0.060136019314749954,0.06368966253480368
1,300.0,105.0,0.35,0.15,0.009515818751128766,0.006507430439872811,0.01072705918863684
2,300.0,105.0,0.4,0.15,-0.04058925458509768,-0.04108748244248135,-0.027491183318685056
3,300.0,105.0,0.45,0.15,-0.08245268471648552,-0.07976803352177442,-0.05688103255285392
4,300.0,105.0,0.5,0.15,-0.11159574677116785,-0.10570822275936383,-0.07725019705182805
5,300.0,105.0,0.55,0.15,-0.12340653995181734,-0.11481137049259127,-0.0877010648193566
6,300.0,105.0,0.6000000000000001,0.15,-0.12001757753827172,-0.1094190152383847,-0.09011458644742543
7,300.0,105.0,0.65,0.15,-0.10929033567444568,-0.09721072391074477,-0.08873243674656396
8,300.0,105.0,0.7,0.15,-0.09811313590654273,-0.08697926989849343,-0.08475122163656792
9,300.0,105.0,0.75,0.15,-0.08959164408028585,-0.08622751910315485,-0.07495263240827042
0,300.0,105.0,0.3,0.25,0.08378507214195217,0.07721247151064331,0.07739132646302808
1,300.0,105.0,0.35,0.25,0.016519187277461076,0.012984872103606864,0.019062086925352918
2,300.0,105.0,0.4,0.25,-0.0436581117406546,-0.04306648072898174,-0.027193285363512485
3,300.0,105.0,0.45,0.25,-0.09595964784415477,-0.0909958822619987,-0.06359308841710706
4,300.0,105.0,0.5,0.25,-0.13507151342912382,-0.12601402532145858,-0.08971805596013074
5,300.0,105.0,0.55,0.25,-0.15435429019798608,-0.14201874810394538,-0.10410034452948613
6,300.0,105.0,0.6000000000000001,0.25,-0.15371004089181514,-0.13916106953632984,-0.1080926262011511
7,300.0,105.0,0.65,0.25,-0.14101654963308924,-0.12505605388052426,-0.10632798507930508
8,300.0,105.0,0.7,0.25,-0.12533504922586206,-0.1082974659950799,-0.10331719540646563
9,300.0,105.0,0.75,0.25,-0.11199387155725511,-0.10126009196924252,-0.09391265034015842
0,300.0,105.0,0.3,0.35,0.08879238962117353,0.0802927562747847,0.08340158289154019
1,300.0,105.0,0.35,0.35,0.019776290263954156,0.015936531091687488,0.022897327407902332
2,300.0,105.0,0.4,0.35,-0.04220657227599853,-0.040982511998640885,-0.024931447651091867
3,300.0,105.0,0.45,0.35,-0.09698644216202514,-0.09086128492742362,-0.06269403912758838
4,300.0,105.0,0.5,0.35,-0.13940986014241202,-0.12897305009915547,-0.0899499711526033
5,300.0,105.0,0.55,0.35,-0.1622030400274205,-0.14855787567846424,-0.10494063199718479
6,300.0,105.0,0.6000000000000001,0.35,-0.1636166825965564,-0.14809890692728023,-0.10850498645145643
7,300.0,105.0,0.65,0.35,-0.1502403824890358,-0.13386702775523263,-0.10508123684955323
8,300.0,105.0,0.7,0.35,-0.13148085743372645,-0.114689594625957,-0.09964260065355982
9,300.0,105.0,0.75,0.35,-0.11403736039636295,-0.09684784161945265,-0.09506995745408559
0,300.0,105.0,0.3,0.45,0.08121466850757487,0.07214376063930286,0.0770362805060587
1,300.0,105.0,0.35,0.45,0.017741947017837295,0.014076167629067056,0.020897227103888603
2,300.0,105.0,0.4,0.45,-0.039295481314921006,-0.03770633582712574,-0.023416796713619476
3,300.0,105.0,0.45,0.45,-0.0897479502337968,-0.08334934387974706,-0.05846582994690468
4,300.0,105.0,0.5,0.45,-0.128418695634732,-0.11798896923354986,-0.08361092486053145
5,300.0,105.0,0.55,0.45,-0.14862197156727983,-0.13535686190125434,-0.09725671063606883
6,300.0,105.0,0.6000000000000001,0.45,-0.14943719413762493,-0.13461935617975615,-0.10055648274671128
7,300.0,105.0,0.65,0.45,-0.13744005289941305,-0.12193342521078097,-0.0978554353365687
8,300.0,105.0,0.7,0.45,-0.12114064463179139,-0.10523059518739361,-0.09364047538108168
9,300.0,105.0,0.75,0.45,-0.1062633216528472,-0.09032439138613067,-0.08987212800271462
0,300.0,105.0,0.3,0.6,0.0632933401624369,0.05513867021603306,0.06040968078650452
1,300.0,105.0,0.35,0.6,0.0123009407864164,0.009325602783941025,0.014912393882774145
2,300.0,105.0,0.4,0.6,-0.034311999914207504,-0.03254222550888982,-0.021726500774258996
3,300.0,105.0,0.45,0.6,-0.07575296015976452,-0.06972490612389928,-0.05135519584756079
4,300.0,105.0,0.5,0.6,-0.10675460402705866,-0.09719116800108062,-0.0729775612821182
5,300.0,105.0,0.55,0.6,-0.12212368781595263,-0.11001103949413715,-0.08542155844234209
6,300.0,105.0,0.6000000000000001,0.6,-0.12287889414252645,-0.1091155024104615,-0.09033012819035892
7,300.0,105.0,0.65,0.6,-0.11551104672426556,-0.1005640640857232,-0.0915001344876051
8,300.0,105.0,0.7,0.6,-0.10640457096808716,-0.09207706011254352,-0.09032548762951101
9,300.0,105.0,0.75,0.6,-0.09894463370647273,-0.09331019253103827,-0.08161382747432024
0,310.0,105.0,0.3,0.05,-0.3502356022827693,-0.4208393938870821,-0.3184109934684338
1,310.0,105.0,0.35,0.05,-0.1858241360015285,-0.21348676393723337,-0.16576431511592649
2,310.0,105.0,0.4,0.05,-0.13078053303751724,-0.1471336194570761,-0.11039959793248948
3,310.0,105.0,0.45,0.05,-0.10874082445252738,-0.11903704134919542,-0.0869456245752367
4,310.0,105.0,0.5,0.05,-0.0978536854313448,-0.10315497175039862,-0.07704386356458168
5,310.0,105.0,0.55,0.05,-0.08827602075110667,-0.0892493245920381,-0.07185974678304238
6,310.0,105.0,0.6000000000000001,0.05,-0.07807358574223591,-0.07571349078213417,-0.06769869648112548
7,310.0,105.0,0.65,0.05,-0.06902264260923949,-0.06425105533572523,-0.06423309623577587
8,310.0,105.0,0.7,0.05,-0.06229873943236284,-0.06188748925106014,-0.05564248272797076
9,310.0,105.0,0.75,0.05,-0.05785647032917193,-0.06062679261192571,-0.04963658452728976
0,310.0,105.0,0.3,0.15,-0.1577977382375614,-0.15845345802420635,-0.1514536399701425
1,310.0,105.0,0.35,0.15,-0.126440739151279,-0.12947079423428948,-0.11617666588965185
2,310.0,105.0,0.4,0.15,-0.10550238118709072,-0.11026244151662443,-0.09146454663807929
3,310.0,105.0,0.45,0.15,-0.0926911117199844,-0.09782798960351234,-0.0757182598033604
4,310.0,105.0,0.5,0.15,-0.08475578743146875,-0.0889041510939256,-0.06680615037206651
5,310.0,105.0,0.55,0.15,-0.07856157200958849,-0.08075590400532878,-0.06236945674273118
6,310.0,105.0,0.6000000000000001,0.15,-0.0727868777950382,-0.0726331174729855,-0.06054297292222709
7,310.0,105.0,0.65,0.15,-0.06787015485506188,-0.06530093596747445,-0.06044018111665256
8,310.0,105.0,0.7,0.15,-0.06450698627252024,-0.06173405579187289,-0.05950853078262695
9,310.0,105.0,0.75,0.15,-0.06287572943199436,-0.06414476218914981,-0.05541683432152126
0,310.0,105.0,0.3,0.25,-0.18756937161524392,-0.18265897188786115,-0.18225600201675057
1,310.0,105.0,0.35,0.25,-0.14889702316266132,-0.14880030684334555,-0.13940540843615745
2,310.0,105.0,0.4,0.25,-0.11944724455264043,-0.12342775240815233,-0.10635407500514715
3,310.0,105.0,0.45,0.25,-0.0980140919963313,-0.10436538716520455,-0.08249593858573322
4,310.0,105.0,0.5,0.25,-0.08284666200203884,-0.08977053183580799,-0.06649729390413764
5,310.0,105.0,0.55,0.25,-0.07214854004232764,-0.07814581089712756,-0.05694834896100971
6,310.0,105.0,0.6000000000000001,0.25,-0.06454521811398548,-0.06865967048385965,-0.05226293028464262
7,310.0,105.0,0.65,0.25,-0.05935005230378275,-0.06107096104771157,-0.05099162281499601
8,310.0,105.0,0.7,0.25,-0.05624496807097982,-0.055284020804780565,-0.052048360077390464
9,310.0,105.0,0.75,0.25,-0.05486523623010056,-0.05456553939826011,-0.0510516439273297
0,310.0,105.0,0.3,0.35,-0.1947321597558836,-0.19170441830270893,-0.18499775549074493
1,310.0,105.0,0.35,0.35,-0.15230813573245397,-0.1496131489436636,-0.1444963837003363
2,310.0,105.0,0.4,0.35,-0.11882158426942865,-0.12160544870794422,-0.10784308468494198
3,310.0,105.0,0.45,0.35,-0.09282717377609791,-0.09911214900722337,-0.08026709281344743
4,310.0,105.0,0.5,0.35,-0.07335366720593546,-0.08106169680270381,-0.060787787128639324
5,310.0,105.0,0.55,0.35,-0.05984099376015337,-0.06711764881750916,-0.048740561485372216
6,310.0,105.0,0.6000000000000001,0.35,-0.05147689946331642,-0.05700955436360719,-0.04294143864014817
7,310.0,105.0,0.65,0.35,-0.04704173867190368,-0.05008916911811822,-0.04164399315799704
8,310.0,105.0,0.7,0.35,-0.045265461470211654,-0.04548127360143239,-0.04312006093460264
9,310.0,105.0,0.75,0.35,-0.04500702660783254,-0.045903294930575135,-0.04230816017651769
0,310.0,105.0,0.3,0.45,-0.17914037648789963,-0.1776212109412982,-0.16717292021681682
1,310.0,105.0,0.35,0.45,-0.13960160026576848,-0.1352306049410768,-0.13322053637026834
2,310.0,105.0,0.4,0.45,-0.10860289341000093,-0.10990463597139054,-0.09916423313133692
3,310.0,105.0,0.45,0.45,-0.08450549318969476,-0.08931642098500917,-0.07373060572305652
4,310.0,105.0,0.5,0.45,-0.06676803165675947,-0.0728773774363727,-0.05629727710554364
5,310.0,105.0,0.55,0.45,-0.055228261908165426,-0.06072683424772776,-0.04644650320785237
6,310.0,105.0,0.6000000000000001,0.45,-0.04904777606710725,-0.05266059502381284,-0.04284974405876197
7,310.0,105.0,0.65,0.45,-0.04671767617881519,-0.047779697657924274,-0.0434891505502913
8,310.0,105.0,0.7,0.45,-0.046727798033571695,-0.04649235129253326,-0.04496342711232595
9,310.0,105.0,0.75,0.45,-0.04782487407308609,-0.050365748573695815,-0.04321006834657784
0,310.0,105.0,0.3,0.6,-0.14216018330551727,-0.1419759373715892,-0.1303882912148216
1,310.0,105.0,0.35,0.6,-0.1120591235764028,-0.10734682183847269,-0.10715046020273304
2,310.0,105.0,0.4,0.6,-0.08891681549377461,-0.08891467539219645,-0.0812419686103904
3,310.0,105.0,0.45,0.6,-0.07127148707395485,-0.07418905123697543,-0.0621428579432192
4,310.0,105.0,0.5,0.6,-0.058777247677601695,-0.06270419759902467,-0.04969767626024533
5,310.0,105.0,0.55,0.6,-0.05110202975786951,-0.05453114121093458,-0.04336440287243128
