Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.05,0.1647456873736957,0.1255925788583239,0.17617914093896642
1,300.0,105.0,0.35,0.05,0.07347569295323175,0.0545115332423337,0.08867366215226932
2,300.0,105.0,0.4,0.05,0.029160325803934982,0.018961798002045133,0.04162086192082978
3,300.0,105.0,0.45,0.05,0.0021345180083520536,-0.00284404667157446,0.010989058917967974
4,300.0,105.0,0.5,0.05,-0.01693475864595945,-0.01848139350528152,-0.011197509165809593
5,300.0,105.0,0.55,0.05,-0.031213600252355637,-0.030881401340514557,-0.027495416481051905
6,300.0,105.0,0.6000000000000001,0.05,-0.04177543322929475,-0.04104566023998201,-0.03886555548295771
7,300.0,105.0,0.65,0.05,-0.04969335657171877,-0.04966604534776295,-0.04669305739788799
8,300.0,105.0,0.7,0.05,-0.056119322783134175,-0.05744647542134774,-0.05251528102704357
9,300.0,105.0,0.75,0.05,-0.06180803237838468,-0.06483748692388754,-0.057334892867548844
0,300.0,105.0,0.3,0.15,0.14673402732402113,0.1285131956902352,0.16481251948581127
1,300.0,105.0,0.35,0.15,0.1040746227415293,0.09048047924684516,0.12190601380743278
2,300.0,105.0,0.4,0.15,0.06857925861318331,0.058735676545425664,0.08406452217492108
3,300.0,105.0,0.45,0.15,0.03910610364218382,0.032455512433797344,0.05135664410777142
4,300.0,105.0,0.5,0.15,0.014041018078774834,0.010085308679933598,0.02296582082226217
5,300.0,105.0,0.55,0.15,-0.007506972841420008,-0.00949766521372996,-0.0013294281436352256
6,300.0,105.0,0.6000000000000001,0.15,-0.02590164022641464,-0.026952259418101986,-0.021449903804159866
7,300.0,105.0,0.65,0.15,-0.041686784687062106,-0.04289666140367138,-0.0378676923111136
8,300.0,105.0,0.7,0.15,-0.055599173593829966,-0.057925836050745784,-0.05151824333120002
9,300.0,105.0,0.75,0.15,-0.06810787544503355,-0.07227828149343805,-0.06314640506575533
0,300.0,105.0,0.3,0.25,0.18934714804541825,0.1690935841766401,0.2147379639431736
1,300.0,105.0,0.35,0.25,0.14048498791314393,0.12469076847095246,0.1647815183569996
2,300.0,105.0,0.4,0.25,0.0995171283085471,0.08739750970534761,0.12067536755285109
3,300.0,105.0,0.45,0.25,0.06572261504819504,0.056763563691566564,0.08291830524445798
4,300.0,105.0,0.5,0.25,0.03743283511694482,0.031221586540160204,0.05055746359385977
5,300.0,105.0,0.55,0.25,0.01332025371324636,0.009315051108553622,0.02283116868690963
6,300.0,105.0,0.6000000000000001,0.25,-0.007495638717212062,-0.010088292029298252,-0.0006941247416585389
7,300.0,105.0,0.65,0.25,-0.025768149449079073,-0.02792008806869155,-0.020570341504213593
8,300.0,105.0,0.7,0.25,-0.04212419602226594,-0.044821589069683185,-0.03747624060728382
9,300.0,105.0,0.75,0.25,-0.056713772001829026,-0.06080504859878947,-0.051777253011252584
0,300.0,105.0,0.3,0.35,0.20502469882022523,0.18504633488302696,0.23488889714132027
1,300.0,105.0,0.35,0.35,0.15354380554259642,0.13767687903739137,0.1812163209119356
2,300.0,105.0,0.4,0.35,0.11153516412659559,0.09899780575275548,0.13541962812859437
3,300.0,105.0,0.45,0.35,0.07762331576248149,0.06793839129151057,0.09717744968533053
4,300.0,105.0,0.5,0.35,0.049981323856214364,0.04280231739214026,0.0652143164182336
5,300.0,105.0,0.55,0.35,0.027164381504878515,0.022095129677612572,0.038492338590398814
6,300.0,105.0,0.6000000000000001,0.35,0.008072320544360129,0.004557072507602457,0.016243090651164478
7,300.0,105.0,0.65,0.35,-0.00825630348191065,-0.010923718794955121,-0.0023099666527315052
8,300.0,105.0,0.7,0.35,-0.022558102952233938,-0.0251487624517861,-0.017887678489293984
9,300.0,105.0,0.75,0.35,-0.03501661051400371,-0.03824697135527037,-0.03079825447685032
0,300.0,105.0,0.3,0.45,0.19917069393067133,0.18120567186549721,0.2304850987665349
1,300.0,105.0,0.35,0.45,0.14950913024532483,0.1350138295002279,0.17772026297748214
2,300.0,105.0,0.4,0.45,0.11011261378844787,0.09838854427016425,0.1342417964834191
3,300.0,105.0,0.45,0.45,0.07882089100621867,0.06948231032594322,0.09864581206568587
4,300.0,105.0,0.5,0.45,0.053737401505207144,0.04652749645563724,0.06938651095388268
5,300.0,105.0,0.55,0.45,0.03352437522257317,0.028173103306684398,0.045381206589747224
6,300.0,105.0,0.6000000000000001,0.45,0.01717015113546428,0.013311890675500367,0.02583593465245897
7,300.0,105.0,0.65,0.45,0.0037611400326690203,0.0009275855751901057,0.009969458712543748
8,300.0,105.0,0.7,0.45,-0.00745297793595438,-0.009792406948323167,-0.002937736098004875
9,300.0,105.0,0.75,0.45,-0.016803301994538892,-0.019169611179804914,-0.013276413846590049
0,300.0,105.0,0.3,0.6,0.17309599572974782,0.15877260093624382,0.2026431081567269
1,300.0,105.0,0.35,0.6,0.13105903353740664,0.11914505101503725,0.15706895470895083
2,300.0,105.0,0.4,0.6,0.09847161653430017,0.08849868019978144,0.12068423482072646
3,300.0,105.0,0.45,0.6,0.07272720013647241,0.06447469377906004,0.09119465162082117
4,300.0,105.0,0.5,0.6,0.05214450895980036,0.045484585430414316,0.06704082589637696
5,300.0,105.0,0.55,0.6,0.03570824512078069,0.030512913491418187,0.047316660645401194
6,300.0,105.0,0.6000000000000001,0.6,0.022716796032577823,0.018808296285546686,0.031434596601017065
7,300.0,105.0,0.65,0.6,0.012535929360175491,0.009678512319552161,0.01884156227835789
8,300.0,105.0,0.7,0.6,0.0045873465281707215,0.0025009780449798636,0.00899540008248645
9,300.0,105.0,0.75,0.6,-0.0015322784008678823,-0.0031459403465880034,0.001490990920994517
0,310.0,105.0,0.3,0.05,-0.4806922464378301,-0.4380151643174938,-0.43743278208155945
1,310.0,105.0,0.35,0.05,-0.2933630495208104,-0.2830055075776674,-0.27651423079795984
2,310.0,105.0,0.4,0.05,-0.19945958413314802,-0.19844234652135237,-0.19121711972946343
3,310.0,105.0,0.45,0.05,-0.1402752344257891,-0.1420755610895983,-0.13527671698033336
4,310.0,105.0,0.5,0.05,-0.10124658801477203,-0.10318809863711369,-0.0974380863884515
5,310.0,105.0,0.55,0.05,-0.07819112072621054,-0.07911982955634889,-0.07511356839819203
6,310.0,105.0,0.6000000000000001,0.05,-0.06739427795886159,-0.06696849973360347,-0.06535248018008898
7,310.0,105.0,0.65,0.05,-0.06414089128114803,-0.06355253296984031,-0.06236160215372316
8,310.0,105.0,0.7,0.05,-0.06485269261965189,-0.06600948774789575,-0.06179473723672534
9,310.0,105.0,0.75,0.05,-0.06756710917482554,-0.07062327536664753,-0.06328589593397677
0,310.0,105.0,0.3,0.15,-0.28670184769697693,-0.29580171386317905,-0.27487285973846215
1,310.0,105.0,0.35,0.15,-0.24931162204039242,-0.261673690460553,-0.24155818537503101
2,310.0,105.0,0.4,0.15,-0.21045328626600684,-0.2234706877448058,-0.20520576795160325
3,310.0,105.0,0.45,0.15,-0.17216796380972982,-0.18403093074803847,-0.1682938513817063
4,310.0,105.0,0.5,0.15,-0.13720297444469876,-0.14668092572787042,-0.13401906004413305
5,310.0,105.0,0.55,0.15,-0.11003896485912812,-0.11656602386783503,-0.10744447008256704
6,310.0,105.0,0.6000000000000001,0.15,-0.0935349764237706,-0.09708868162194183,-0.09188150162222468
7,310.0,105.0,0.65,0.15,-0.08671421351301326,-0.08754750022063594,-0.08657009037445958
8,310.0,105.0,0.7,0.15,-0.0867557034152724,-0.08866819611294303,-0.08512812665286058
9,310.0,105.0,0.75,0.15,-0.09101156872906926,-0.09541320755819954,-0.08712452942712606
0,310.0,105.0,0.3,0.25,-0.358262769609187,-0.3777289185381565,-0.34601930287815014
1,310.0,105.0,0.35,0.25,-0.31938273109406184,-0.34151453703232104,-0.3110738681434175
2,310.0,105.0,0.4,0.25,-0.2774221455774682,-0.2995086630003107,-0.2716631427642635
3,310.0,105.0,0.45,0.25,-0.23417060833278616,-0.25432588622461905,-0.2299688874249571
4,310.0,105.0,0.5,0.25,-0.19139419612941533,-0.2082422098214331,-0.18811890603737313
5,310.0,105.0,0.55,0.25,-0.1534734875334171,-0.16622037068066958,-0.15090691380800952
6,310.0,105.0,0.6000000000000001,0.25,-0.12523175990450225,-0.13374398255187656,-0.12358852657350931
7,310.0,105.0,0.65,0.25,-0.10827292653323684,-0.11285043760712508,-0.1080592328825557
8,310.0,105.0,0.7,0.25,-0.1009602205853469,-0.10276327263957324,-0.10203423374895897
9,310.0,105.0,0.75,0.25,-0.10034594779190881,-0.10466670126952822,-0.0983457830064606
0,310.0,105.0,0.3,0.35,-0.3850936997716338,-0.41193201915175565,-0.37432946306949216
1,310.0,105.0,0.35,0.35,-0.34411026379359055,-0.3725072343947685,-0.3368571265959197
2,310.0,105.0,0.4,0.35,-0.301980435114826,-0.3295330318995316,-0.29696564736004427
3,310.0,105.0,0.45,0.35,-0.25891737771527845,-0.2840083881585328,-0.25530924268400496
4,310.0,105.0,0.5,0.35,-0.2151685384498794,-0.2365866535495683,-0.21244793080233162
5,310.0,105.0,0.55,0.35,-0.1736765044076344,-0.19066666830586518,-0.17161150048739585
6,310.0,105.0,0.6000000000000001,0.35,-0.13896432111098436,-0.15134707401590847,-0.1376267737770694
7,310.0,105.0,0.65,0.35,-0.11383590993362518,-0.12187946571426923,-0.11354994300133668
8,310.0,105.0,0.7,0.35,-0.0982252496016484,-0.10240673593021286,-0.0994360728002281
9,310.0,105.0,0.75,0.35,-0.09013229160683363,-0.09324540533156093,-0.0910045512438013
0,310.0,105.0,0.3,0.45,-0.37339343288440024,-0.4042537615238753,-0.3651721655532172
1,310.0,105.0,0.35,0.45,-0.33351932148088453,-0.3646491648793133,-0.3280649414875249
2,310.0,105.0,0.4,0.45,-0.2950042604911429,-0.324617661626513,-0.29125076565827196
3,310.0,105.0,0.45,0.45,-0.2563521449463853,-0.2832707470152581,-0.25367098317712106
4,310.0,105.0,0.5,0.45,-0.21651755805293074,-0.23980920624160681,-0.21453359692790666
5,310.0,105.0,0.55,0.45,-0.17698516651084603,-0.1960201552166224,-0.17550966097507026
6,310.0,105.0,0.6000000000000001,0.45,-0.14120884314830184,-0.155801884898998,-0.14023638398393654
7,310.0,105.0,0.65,0.45,-0.11208502133921913,-0.12244374826781171,-0.1117785725394479
8,310.0,105.0,0.7,0.45,-0.09060581739498803,-0.09717005022172404,-0.09123213693698651
9,310.0,105.0,0.75,0.45,-0.0760908601112866,-0.07942902905527058,-0.07791090295067503
0,310.0,105.0,0.3,0.6,-0.3249504133933869,-0.3563778828886462,-0.3199906924319082
1,310.0,105.0,0.35,0.6,-0.2926922286223135,-0.32323643644405586,-0.2893984459755146
2,310.0,105.0,0.4,0.6,-0.2638519353858138,-0.2926773259057121,-0.2615517648390074
3,310.0,105.0,0.45,0.6,-0.23549286579693277,-0.2619892581718295,-0.23383037778876264
4,310.0,105.0,0.5,0.6,-0.20553170979045232,-0.22909120123629395,-0.2043039394206368
5,310.0,105.0,0.55,0.6,-0.17382103978265037,-0.19391676714586756,-0.1729142620557575
6,310.0,105.0,0.6000000000000001,0.6,-0.1421008502113593,-0.158446328137135,-0.1414744218729384
7,310.0,105.0,0.65,0.6,-0.11260466160695826,-0.12519812064607136,-0.11228834139564364
8,310.0,105.0,0.7,0.6,-0.08701976865156756,-0.09609731537821319,-0.0870981108657521
9,310.0,105.0,0.75,0.6,-0.06630828417780602,-0.07230498254638248,-0.06687888364904744
