Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,100.0,0.3,0.15,0.013397424779635571,0.007355167616487815,0.02215689916592789
1,300.0,100.0,0.35,0.15,0.0022034309733271287,-0.0030124742430654816,0.00852348298203624
2,300.0,100.0,0.4,0.15,-0.0092216685058444,-0.014126430701101212,-0.004012536113000633
3,300.0,100.0,0.45,0.15,-0.020522028881984337,-0.02656869638686236,-0.01552256840978169
4,300.0,100.0,0.5,0.15,-0.030296326162902988,-0.03797014080872477,-0.02495506626878142
5,300.0,100.0,0.55,0.15,-0.03679223185960152,-0.04519069955715342,-0.031111989356205797
6,300.0,100.0,0.6000000000000001,0.15,-0.03998149651366755,-0.04734230292882202,-0.03464490472213338
7,300.0,100.0,0.65,0.15,-0.04190441634540313,-0.04793298585106594,-0.03706382038182084
8,300.0,100.0,0.7,0.15,-0.044706391434213504,-0.0533915026655976,-0.03839659116625042
9,300.0,100.0,0.75,0.15,-0.04941497410558703,-0.06191503320870767,-0.04044588110671549
0,300.0,100.0,0.3,0.25,0.018010899182935663,0.011286945118466923,0.027878882719016576
1,300.0,100.0,0.35,0.25,0.007195665741798439,0.0016416915800312418,0.014673206844730315
2,300.0,100.0,0.4,0.25,-0.004007200143789768,-0.009047605435196723,0.0020800201703512263
3,300.0,100.0,0.45,0.25,-0.015528196938471754,-0.02110979464981323,-0.010473743980473517
4,300.0,100.0,0.5,0.25,-0.026415177058400546,-0.03376265145838681,-0.02081787217966862
5,300.0,100.0,0.55,0.25,-0.03466524871304825,-0.04349820460568366,-0.02845877737852965
6,300.0,100.0,0.6000000000000001,0.25,-0.038917063457078335,-0.0477833241043275,-0.03282456660641132
7,300.0,100.0,0.65,0.25,-0.040271223716156684,-0.047515753865433136,-0.034783262302007865
8,300.0,100.0,0.7,0.25,-0.0412093155441323,-0.048328469355875155,-0.035946808140745454
9,300.0,100.0,0.75,0.25,-0.04350113730753382,-0.053520692022189585,-0.036821455874372314
0,300.0,100.0,0.3,0.35,0.02150010309266132,0.01400870628957025,0.03251785167429432
1,300.0,100.0,0.35,0.35,0.010657104857029141,0.004807323206010398,0.019242549026560283
2,300.0,100.0,0.4,0.35,-0.00037274079372076813,-0.005688275640449336,0.006310402928652383
3,300.0,100.0,0.45,0.35,-0.011861547553746387,-0.017101704144832544,-0.006389110978783227
4,300.0,100.0,0.5,0.35,-0.023028003318152388,-0.030048023980474712,-0.017315052172612422
5,300.0,100.0,0.55,0.35,-0.03205580219577553,-0.040758377923195616,-0.025825884774214485
6,300.0,100.0,0.6000000000000001,0.35,-0.0369410690371034,-0.04649745955886994,-0.030341764228373584
7,300.0,100.0,0.65,0.35,-0.037863300860355956,-0.0463878039325766,-0.031957517807774755
8,300.0,100.0,0.7,0.35,-0.03713076725523221,-0.043665513953483885,-0.03211869279838375
9,300.0,100.0,0.75,0.35,-0.03696123291471234,-0.044532002129738076,-0.03176055251848041
0,300.0,100.0,0.3,0.45,0.023037995363333272,0.015294275370471892,0.034504426128978055
1,300.0,100.0,0.35,0.45,0.01270320266810176,0.006970707892733301,0.02172261190540224
2,300.0,100.0,0.4,0.45,0.0023916959539501833,-0.002699087768203298,0.009224797162991788
3,300.0,100.0,0.45,0.45,-0.008115335339711595,-0.012868156363665183,-0.002504134586374977
4,300.0,100.0,0.5,0.45,-0.018466757227346576,-0.02459257194090712,-0.013228256930213848
5,300.0,100.0,0.55,0.45,-0.027096744589408063,-0.03493956662584675,-0.021333541310541534
6,300.0,100.0,0.6000000000000001,0.45,-0.03188444208890776,-0.0407968948824776,-0.02563785976769489
7,300.0,100.0,0.65,0.45,-0.032384904141499075,-0.04079949869520608,-0.026670208721417066
8,300.0,100.0,0.7,0.45,-0.030444691246563092,-0.03719687531065525,-0.02574137367871774
9,300.0,100.0,0.75,0.45,-0.02830319750264437,-0.03378773009049736,-0.024529271899231306
0,300.0,100.0,0.3,0.6,0.02285721523872668,0.015460665252263266,0.03390901279039202
1,300.0,100.0,0.35,0.6,0.01389756861626975,0.008458391537876635,0.022669978034882438
2,300.0,100.0,0.4,0.6,0.005310574023967445,0.0008497158475886645,0.011668877971921452
3,300.0,100.0,0.45,0.6,-0.0031920278851109538,-0.007126789525209347,0.002080465640462917
4,300.0,100.0,0.5,0.6,-0.011511774197190967,-0.01601511536378158,-0.007386669154761632
5,300.0,100.0,0.55,0.6,-0.01857223395408517,-0.024475201156240932,-0.013987506760116187
6,300.0,100.0,0.6000000000000001,0.6,-0.02255879303369512,-0.029206019069662092,-0.01782351807208385
7,300.0,100.0,0.65,0.6,-0.022693067380166108,-0.029313658144806225,-0.01807374985776233
8,300.0,100.0,0.7,0.6,-0.020197899882186142,-0.025778125469081654,-0.016396453487580447
9,300.0,100.0,0.75,0.6,-0.01695124438655802,-0.02113481067824241,-0.01417107716373921
0,310.0,100.0,0.3,0.15,-0.02590268538568902,-0.03710612129125149,-0.01882362171440213
1,310.0,100.0,0.35,0.15,-0.022811983867308573,-0.03225850909349143,-0.016954251505799094
2,310.0,100.0,0.4,0.15,-0.02110120310632925,-0.028833449860537146,-0.01642735112821865
3,310.0,100.0,0.45,0.15,-0.021036264290338343,-0.02712202102638135,-0.017418504856576564
4,310.0,100.0,0.5,0.15,-0.022684521532589184,-0.02747952201871292,-0.019510392910701495
5,310.0,100.0,0.55,0.15,-0.025803436561508304,-0.029618905318175272,-0.022893552823173603
6,310.0,100.0,0.6000000000000001,0.15,-0.030163586328189135,-0.03386459472137809,-0.026621530297509063
7,310.0,100.0,0.65,0.15,-0.03582595597933002,-0.041866612203413214,-0.03034875466431675
8,310.0,100.0,0.7,0.15,-0.042952298795594084,-0.05250680079523981,-0.034763654217153134
9,310.0,100.0,0.75,0.15,-0.05160375602213301,-0.06592419027141312,-0.03982521585766153
0,310.0,100.0,0.3,0.25,-0.027077061886684947,-0.03911859493850315,-0.019276978943114993
1,310.0,100.0,0.35,0.25,-0.02300685801004875,-0.03330631722102152,-0.01643810190226906
2,310.0,100.0,0.4,0.25,-0.01982746616222935,-0.02831518731170536,-0.01450155235691897
3,310.0,100.0,0.45,0.25,-0.01797011148966623,-0.024684394622378328,-0.01386775305862866
4,310.0,100.0,0.5,0.25,-0.017924431937638662,-0.022956183095386058,-0.014848811908281108
5,310.0,100.0,0.55,0.25,-0.020043664929295955,-0.023577756743992925,-0.017378316304000663
6,310.0,100.0,0.6000000000000001,0.25,-0.02428538164493355,-0.027550302985658616,-0.021377584533719737
7,310.0,100.0,0.65,0.25,-0.030387229927235165,-0.03549464678386839,-0.025759406667800883
8,310.0,100.0,0.7,0.25,-0.038174587376922725,-0.046637236538218226,-0.030869862677182537
9,310.0,100.0,0.75,0.25,-0.04753938347744225,-0.060704593699049965,-0.03666983550580245
0,310.0,100.0,0.3,0.35,-0.028707931218339405,-0.041884923276368086,-0.020169952374276597
1,310.0,100.0,0.35,0.35,-0.023924179430128072,-0.03519195458468126,-0.016723257350355236
2,310.0,100.0,0.4,0.35,-0.019840807445221733,-0.029126014961456285,-0.013971092433789512
3,310.0,100.0,0.45,0.35,-0.016800872221123052,-0.024176004399186567,-0.012204864650201656
4,310.0,100.0,0.5,0.35,-0.015257746348414298,-0.020857069363392794,-0.011794508742090625
5,310.0,100.0,0.55,0.35,-0.015776147358706326,-0.019794177779067612,-0.013122763046631283
6,310.0,100.0,0.6000000000000001,0.35,-0.018744697067562127,-0.02184828900246896,-0.016100473353188073
7,310.0,100.0,0.65,0.35,-0.02415526466407589,-0.028226813632144136,-0.020490526018427605
8,310.0,100.0,0.7,0.35,-0.03179550145693914,-0.03883988805658844,-0.025684816919988092
9,310.0,100.0,0.75,0.35,-0.041417161099290396,-0.052891943232055205,-0.03192780844941857
0,310.0,100.0,0.3,0.45,-0.02850223148337103,-0.0420891654694985,-0.019815888978244676
1,310.0,100.0,0.35,0.45,-0.023445616599261754,-0.03493721376689375,-0.016167884387277683
2,310.0,100.0,0.4,0.45,-0.019031021388361425,-0.02843876910624943,-0.013107683299393246
3,310.0,100.0,0.45,0.45,-0.015463061937952959,-0.022927165062631902,-0.010792789772371327
4,310.0,100.0,0.5,0.45,-0.013011208050780185,-0.018721305761828805,-0.009449528323270244
5,310.0,100.0,0.55,0.45,-0.012093311537711869,-0.01626838085470104,-0.009426658332123236
6,310.0,100.0,0.6000000000000001,0.45,-0.0131752421158806,-0.016097599347254247,-0.010905699333034579
7,310.0,100.0,0.65,0.45,-0.01654701364291631,-0.01966456020627511,-0.013980667171044138
8,310.0,100.0,0.7,0.45,-0.022287432902880284,-0.02719403039112612,-0.01802433370674319
9,310.0,100.0,0.75,0.45,-0.030323697775445056,-0.03870243755559505,-0.023395443861084875
0,310.0,100.0,0.3,0.6,-0.02594323513282357,-0.03880786946201908,-0.017863339102348136
1,310.0,100.0,0.35,0.6,-0.02108043241506943,-0.031790959107606064,-0.014380408184838786
2,310.0,100.0,0.4,0.6,-0.016827437092452685,-0.025510481330156,-0.011400623947034946
3,310.0,100.0,0.45,0.6,-0.013245643977352034,-0.020106454151267893,-0.008956615364915446
4,310.0,100.0,0.5,0.6,-0.010396370951543398,-0.01566511404355939,-0.007100675017543196
5,310.0,100.0,0.55,0.6,-0.00839781665116051,-0.012308516717600736,-0.005914750289706592
6,310.0,100.0,0.6000000000000001,0.6,-0.00743551014114743,-0.01022944178696601,-0.005590198757920967
7,310.0,100.0,0.65,0.6,-0.007716747388185703,-0.00978825925142655,-0.006176535845635699
8,310.0,100.0,0.7,0.6,-0.009451332124252504,-0.011601464624099257,-0.007543892522314529
9,310.0,100.0,0.75,0.6,-0.0128491503219023,-0.016313063659825103,-0.009926661013462162
