Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,100.0,0.3,0.15,0.028731774905336085,0.016921081752707002,0.04298962256739668
1,300.0,100.0,0.35,0.15,0.011951168665531068,0.001986371128624012,0.026159175080182215
2,300.0,100.0,0.4,0.15,-0.00710468483502427,-0.01980368395422151,0.005875130412999272
3,300.0,100.0,0.45,0.15,-0.027634723570201337,-0.04240985478696235,-0.011556223787304087
4,300.0,100.0,0.5,0.15,-0.04635135905116162,-0.06164668314723232,-0.027428078337181944
5,300.0,100.0,0.55,0.15,-0.05896780104586518,-0.07393924110633403,-0.03880886452739013
6,300.0,100.0,0.6000000000000001,0.15,-0.0644436351353509,-0.07904084531698653,-0.04597868934004533
7,300.0,100.0,0.65,0.15,-0.06554195468975968,-0.08024189233449416,-0.050376084373264775
8,300.0,100.0,0.7,0.15,-0.06544197698966671,-0.08116888594786338,-0.05023466507183996
9,300.0,100.0,0.75,0.15,-0.06582714767004855,-0.08226700444513628,-0.048685227896879846
0,300.0,100.0,0.3,0.25,0.03629982948884034,0.023297691635149206,0.05173404708370632
1,300.0,100.0,0.35,0.25,0.02026723306853917,0.00909387277860419,0.036073387432743145
2,300.0,100.0,0.4,0.25,0.001831510930434402,-0.011110707894875548,0.01664094332557493
3,300.0,100.0,0.45,0.25,-0.018646059325811346,-0.03417004163182642,-0.0014590049228043421
4,300.0,100.0,0.5,0.25,-0.038655424425369796,-0.05556899664571702,-0.018298099127634335
5,300.0,100.0,0.55,0.25,-0.053684217416596826,-0.07104888573720662,-0.03133148535324266
6,300.0,100.0,0.6000000000000001,0.25,-0.061110001784099054,-0.07841204532002043,-0.03945160851858168
7,300.0,100.0,0.65,0.25,-0.06271937506668523,-0.07898109095901558,-0.04425772645028409
8,300.0,100.0,0.7,0.25,-0.061992982278012455,-0.0783235253286262,-0.04731804071765667
9,300.0,100.0,0.75,0.25,-0.06119234351996604,-0.07773706082167567,-0.04508428822720004
0,300.0,100.0,0.3,0.35,0.0423282092205487,0.027847747590843405,0.05903390805884542
1,300.0,100.0,0.35,0.35,0.026477074182710874,0.014444870103805777,0.043596150021727675
2,300.0,100.0,0.4,0.35,0.008560605908165127,-0.004281197167519023,0.0247517588636179
3,300.0,100.0,0.45,0.35,-0.011264029498626914,-0.02677550451779839,0.005932773573326489
4,300.0,100.0,0.5,0.35,-0.031011288406592948,-0.0482003992032626,-0.010369393125683085
5,300.0,100.0,0.55,0.35,-0.04645507693603538,-0.06421455519332905,-0.02393369152550403
6,300.0,100.0,0.6000000000000001,0.35,-0.05438276810996397,-0.07224615534115869,-0.03234317617410746
7,300.0,100.0,0.65,0.35,-0.05585995095369278,-0.07251791945364419,-0.03658920173424137
8,300.0,100.0,0.7,0.35,-0.0543181462359371,-0.06968143924802109,-0.03914315206989851
