Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.05,0.13707561079554012,0.04121690939473923,0.25988779554629815
1,300.0,105.0,0.35,0.05,0.013911291996338003,-0.03128084292413299,0.054926969617380826
2,300.0,105.0,0.4,0.05,-0.044036759619355444,-0.08718508128769117,-0.00667544168994518
3,300.0,105.0,0.45,0.05,-0.07777142811236694,-0.11708969266737955,-0.038508171305092445
4,300.0,105.0,0.5,0.05,-0.09440478806034656,-0.1279920778195604,-0.05290951084777148
5,300.0,105.0,0.55,0.05,-0.09523363054038371,-0.12375872779942425,-0.0576966354942681
6,300.0,105.0,0.6000000000000001,0.05,-0.08569991772891467,-0.11076811044018228,-0.05602089477763707
7,300.0,105.0,0.65,0.05,-0.07350397775971525,-0.09370549288676208,-0.052009640500368805
8,300.0,105.0,0.7,0.05,-0.06322954122348487,-0.07896050621738712,-0.04698039893712744
9,300.0,105.0,0.75,0.05,-0.0559647132699549,-0.07004599778670144,-0.0396478236873258
0,300.0,105.0,0.3,0.15,0.07158020276711312,0.03198088754603724,0.10299346146958824
1,300.0,105.0,0.35,0.15,0.01259232359243577,-0.019475887887735684,0.0462518045401914
2,300.0,105.0,0.4,0.15,-0.03818997502883322,-0.07131341884847577,0.0002123936432536961
3,300.0,105.0,0.45,0.15,-0.08078047217941105,-0.11992629659052995,-0.034504969468728885
4,300.0,105.0,0.5,0.15,-0.1111975107815331,-0.15547083706281167,-0.05925850112815341
5,300.0,105.0,0.55,0.15,-0.12445756358605327,-0.16807983296608872,-0.07038050769941169
6,300.0,105.0,0.6000000000000001,0.15,-0.12132512534394584,-0.16149672396728637,-0.07228875341914683
7,300.0,105.0,0.65,0.15,-0.10900827021747649,-0.14505117159965386,-0.0693989476763652
8,300.0,105.0,0.7,0.15,-0.09511450863925539,-0.12494551229600177,-0.06554435148969016
9,300.0,105.0,0.75,0.15,-0.08381528575640938,-0.10763841259886446,-0.06184717474425111
0,300.0,105.0,0.3,0.25,0.08607866402950799,0.04008933989488636,0.12695085427879865
