Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.15,0.18966120196035613,0.14839406562056837,0.2539735954594137
1,300.0,105.0,0.35,0.15,0.13050420433875798,0.10105967665743773,0.17289357106781358
2,300.0,105.0,0.4,0.15,0.08527950159316018,0.0620238250788846,0.12024024910792153
3,300.0,105.0,0.45,0.15,0.05021523721413335,0.030146564787412775,0.07992297365050509
4,300.0,105.0,0.5,0.15,0.021798541856503602,0.006363308585787634,0.04549827511568827
5,300.0,105.0,0.55,0.15,-0.0023126747199928824,-0.013128997825791636,0.015615342269560312
6,300.0,105.0,0.6000000000000001,0.15,-0.022948051262988968,-0.03225550556315097,-0.00956240530207647
7,300.0,105.0,0.65,0.15,-0.040407759620918665,-0.05066191288145206,-0.029262345171302908
8,300.0,105.0,0.7,0.15,-0.0553196579973005,-0.06764091084129555,-0.04088515026012414
9,300.0,105.0,0.75,0.15,-0.06837499109008208,-0.08462525159460572,-0.04959556376359063
0,300.0,105.0,0.3,0.25,0.20696805921356481,0.17352415143808045,0.26396608257489274
1,300.0,105.0,0.35,0.25,0.15660238067687698,0.12710914187781613,0.19919620792258727
2,300.0,105.0,0.4,0.25,0.11205424213509826,0.08580804527060255,0.15251737124935885
3,300.0,105.0,0.45,0.25,0.07531320560307983,0.05144983503485654,0.11149689300992228
4,300.0,105.0,0.5,0.25,0.044718611900346185,0.025105194210182945,0.07538209003588994
5,300.0,105.0,0.55,0.25,0.018304697526470036,0.003427355111488799,0.0430764286292644
6,300.0,105.0,0.6000000000000001,0.25,-0.005182293581910137,-0.016043173750223426,0.014237040089691162
7,300.0,105.0,0.65,0.25,-0.026393803942148825,-0.03690071615127345,-0.011059781983151714
8,300.0,105.0,0.7,0.25,-0.045787211743179776,-0.05760354020862515,-0.032473741812461814
9,300.0,105.0,0.75,0.25,-0.06355035062671402,-0.07896195435747909,-0.04559390830893003
0,300.0,105.0,0.3,0.35,0.23432131250483898,0.20024197535815316,0.29285633916421494
1,300.0,105.0,0.35,0.35,0.1803606030904712,0.14902435836993982,0.22799722849391302
2,300.0,105.0,0.4,0.35,0.13283476875420566,0.1029221464885742,0.17874221843167806
3,300.0,105.0,0.45,0.35,0.09394227512749392,0.06632266914729322,0.1358147182733329
4,300.0,105.0,0.5,0.35,0.062200055378858796,0.03876636238579464,0.09873614243360497
5,300.0,105.0,0.55,0.35,0.03553188280124235,0.016953390330827548,0.06615167503220679
6,300.0,105.0,0.6000000000000001,0.35,0.01223315974004935,-0.0018197943638964629,0.03705854869170471
7,300.0,105.0,0.65,0.35,-0.008906857771068692,-0.019734516752962672,0.01089947487453893
8,300.0,105.0,0.7,0.35,-0.028697105167411457,-0.03951294647138431,-0.01267733844446461
9,300.0,105.0,0.75,0.35,-0.04735465587576329,-0.06059281886554373,-0.03278596748997574
0,300.0,105.0,0.3,0.45,0.24920792918817197,0.2152791873638334,0.3070133593677928
1,300.0,105.0,0.35,0.45,0.19190186137630708,0.15871381293042247,0.24212352652425162
2,300.0,105.0,0.4,0.45,0.1429916424680739,0.11074463871993963,0.19151314514175777
3,300.0,105.0,0.45,0.45,0.10373374804099306,0.0740699718088197,0.1484578967462336
4,300.0,105.0,0.5,0.45,0.07240934274302356,0.04678137109531587,0.11241891740833103
5,300.0,105.0,0.55,0.45,0.04692040409113127,0.02602960217833982,0.08137538319587122
6,300.0,105.0,0.6000000000000001,0.45,0.025470518856739566,0.009233519652909871,0.05384517904732482
7,300.0,105.0,0.65,0.45,0.006634690985349684,-0.005689373836364476,0.029630226980729642
8,300.0,105.0,0.7,0.45,-0.010667075403529505,-0.02035983112548328,0.007731466367599133
9,300.0,105.0,0.75,0.45,-0.026946569407953633,-0.0375892524499398,-0.01207219571820831
0,300.0,105.0,0.3,0.6,0.2488636704922669,0.2124032368822075,0.30167809594109785
1,300.0,105.0,0.35,0.6,0.19021515911066456,0.15450207215184208,0.23990128438839745
2,300.0,105.0,0.4,0.6,0.14258152064634264,0.10838472036174294,0.1907000320948787
3,300.0,105.0,0.45,0.6,0.10543645011241704,0.07541470053369255,0.15103645337873253
4,300.0,105.0,0.5,0.6,0.07653975161684125,0.05035383270153591,0.11799048140907044
5,300.0,105.0,0.55,0.6,0.053830296309068874,0.03194383570065322,0.09024763349234444
6,300.0,105.0,0.6000000000000001,0.6,0.03569020769164096,0.018191806313038513,0.06662681675230274
7,300.0,105.0,0.65,0.6,0.020861301895300742,0.00743340442242062,0.04616954988447775
8,300.0,105.0,0.7,0.6,0.008345360259092308,-0.0016662326419483106,0.028510678732586774
9,300.0,105.0,0.75,0.6,-0.002546655082679107,-0.01006753568071414,0.01317177179828742
0,310.0,105.0,0.3,0.15,-0.38649193461836634,-0.49565994510830064,-0.3208843632346432
1,310.0,105.0,0.35,0.15,-0.32350791171184246,-0.38555599546523783,-0.28619617813357545
2,310.0,105.0,0.4,0.15,-0.2673236659378484,-0.3096056515719463,-0.24506270762973353
3,310.0,105.0,0.45,0.15,-0.21650472354904474,-0.2452336137427563,-0.19860613804514451
4,310.0,105.0,0.5,0.15,-0.17102100167431855,-0.18984933848151872,-0.15576626667970264
5,310.0,105.0,0.55,0.15,-0.13382892688408587,-0.1460157776315058,-0.12329262176349824
6,310.0,105.0,0.6000000000000001,0.15,-0.10883496783782057,-0.11847671767175151,-0.10114826641058372
7,310.0,105.0,0.65,0.15,-0.09624915181838921,-0.10658627896705548,-0.08508300310714853
8,310.0,105.0,0.7,0.15,-0.0928529638011913,-0.10748357759458389,-0.07798175578302814
9,310.0,105.0,0.75,0.15,-0.09515542655302833,-0.11432655770586174,-0.07495980840125775
0,310.0,105.0,0.3,0.25,-0.3986546845817267,-0.47677580486053034,-0.35319364470900555
1,310.0,105.0,0.35,0.25,-0.3633545450410334,-0.4226691613862741,-0.3337065718680392
2,310.0,105.0,0.4,0.25,-0.32022132024690897,-0.36526111423368,-0.2885802966949999
3,310.0,105.0,0.45,0.25,-0.2758785007638075,-0.3116049794188355,-0.24335954988652156
4,310.0,105.0,0.5,0.25,-0.23182637728608818,-0.2656494169519948,-0.20279635197833898
5,310.0,105.0,0.55,0.25,-0.190644460949904,-0.21849950857990655,-0.167545297219088
6,310.0,105.0,0.6000000000000001,0.25,-0.15727385828326515,-0.17775474737415925,-0.14007214499212328
7,310.0,105.0,0.65,0.25,-0.13546065915120906,-0.15142293553335556,-0.12192518594277131
8,310.0,105.0,0.7,0.25,-0.1251480631354094,-0.14354542585982025,-0.10866141269856883
9,310.0,105.0,0.75,0.25,-0.12378394100215326,-0.14740232153090443,-0.10185837505344246
0,310.0,105.0,0.3,0.35,-0.4462727624294521,-0.5250567270205081,-0.4053232808579852
1,310.0,105.0,0.35,0.35,-0.4122780636538034,-0.4738962343757659,-0.37377569760600154
2,310.0,105.0,0.4,0.35,-0.3707338299516953,-0.419258786487495,-0.32599234141115124
3,310.0,105.0,0.45,0.35,-0.32839149437262866,-0.3802839294815121,-0.2831908369546038
4,310.0,105.0,0.5,0.35,-0.2862445112678515,-0.3364361780481036,-0.24435584198948263
5,310.0,105.0,0.55,0.35,-0.24492997772674455,-0.2893438562276801,-0.20885707180266114
6,310.0,105.0,0.6000000000000001,0.35,-0.20733856123445796,-0.24361882767446977,-0.17796934684725946
7,310.0,105.0,0.65,0.35,-0.1776279115145988,-0.20575048351857775,-0.1538559763448566
8,310.0,105.0,0.7,0.35,-0.15845100917467714,-0.1822134250998184,-0.1376109050372144
9,310.0,105.0,0.75,0.35,-0.14976041731359344,-0.17761189634273333,-0.12739268448817553
0,310.0,105.0,0.3,0.45,-0.47317415579201216,-0.5497656361791641,-0.4344660305406852
1,310.0,105.0,0.35,0.45,-0.4367233213355869,-0.49718122392615977,-0.38731008709672526
2,310.0,105.0,0.4,0.45,-0.3960366990172,-0.4571354764190079,-0.34189714093390267
3,310.0,105.0,0.45,0.45,-0.35670877062170436,-0.42086150324106636,-0.30256207357334924
4,310.0,105.0,0.5,0.45,-0.3190180575351933,-0.38183396738816666,-0.26773768145836885
5,310.0,105.0,0.55,0.45,-0.28224554613165714,-0.3403732521250436,-0.23584187562581144
6,310.0,105.0,0.6000000000000001,0.45,-0.24690997955860872,-0.2978970658225282,-0.2065691895450507
7,310.0,105.0,0.65,0.45,-0.21522169446626674,-0.25794289266684245,-0.1809235381037951
8,310.0,105.0,0.7,0.45,-0.19002074855647155,-0.2250356018127414,-0.16033385734215413
9,310.0,105.0,0.75,0.45,-0.17334743225621568,-0.20432620734573195,-0.14568602870456984
0,310.0,105.0,0.3,0.6,-0.4720834814519823,-0.5403892724189713,-0.42252304725300843
1,310.0,105.0,0.35,0.6,-0.43225226907781483,-0.4984351862551694,-0.373181366602008
2,310.0,105.0,0.4,0.6,-0.3937976930234072,-0.4666702986815578,-0.33241720896766574
3,310.0,105.0,0.45,0.6,-0.36011330796805435,-0.43465127676754167,-0.29955084952196
4,310.0,105.0,0.5,0.6,-0.3305363882462623,-0.40396882679027607,-0.27230623530275566
5,310.0,105.0,0.55,0.6,-0.30360104009878985,-0.3740973643832119,-0.24863269568945423
