Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.05,0.07219786250582984,0.004395920118295339,0.1750805294525272
1,300.0,105.0,0.35,0.05,-0.022064879989506136,-0.08178791259230601,0.02417735727088777
2,300.0,105.0,0.4,0.05,-0.06915463971421958,-0.12446735435759991,-0.02525300211142423
3,300.0,105.0,0.45,0.05,-0.09638051970266644,-0.14304655205281136,-0.04812186738396564
4,300.0,105.0,0.5,0.05,-0.10767037813327784,-0.14692941289361627,-0.058891533724648476
5,300.0,105.0,0.55,0.05,-0.10406507193359953,-0.13734986803255278,-0.060871627204581426
6,300.0,105.0,0.6000000000000001,0.05,-0.09124069753843035,-0.11993623250929013,-0.057351411516594106
7,300.0,105.0,0.65,0.05,-0.07668169734245639,-0.10135164008298882,-0.052229599560833624
8,300.0,105.0,0.7,0.05,-0.06471126433201226,-0.08573866532860312,-0.04762099311572144
9,300.0,105.0,0.75,0.05,-0.05626613780644607,-0.07416182228361111,-0.04055210792918021
0,300.0,105.0,0.3,0.15,0.02166227331380485,-0.03109520551793616,0.0680264044311421
1,300.0,105.0,0.35,0.15,-0.034355660828999546,-0.0819478649609278,0.014215785501472731
2,300.0,105.0,0.4,0.15,-0.08101843334942906,-0.13247551822035045,-0.030061508583054716
3,300.0,105.0,0.45,0.15,-0.11605908203576264,-0.17437945615684425,-0.05671370824370133
4,300.0,105.0,0.5,0.15,-0.1355611059122782,-0.19569526728796502,-0.0710888858398944
5,300.0,105.0,0.55,0.15,-0.13786786146625427,-0.19306527137342755,-0.07411000214189585
6,300.0,105.0,0.6000000000000001,0.15,-0.1267699632341825,-0.17193387134920388,-0.07088498707869906
7,300.0,105.0,0.65,0.15,-0.10935178264552789,-0.14920301633755628,-0.06519642386443784
8,300.0,105.0,0.7,0.15,-0.0917753129391429,-0.12654227878284413,-0.059141793563439383
9,300.0,105.0,0.75,0.15,-0.07737126325240928,-0.10748261744680677,-0.054260397564208585
0,300.0,105.0,0.3,0.25,0.0032109464594751304,-0.070792519756549,0.07018772579259448
1,300.0,105.0,0.35,0.25,-0.061049278080565365,-0.1270840216751672,0.0062815925775946005
2,300.0,105.0,0.4,0.25,-0.11442152696705556,-0.18790526797944057,-0.04494019573505858
3,300.0,105.0,0.45,0.25,-0.15349759446992683,-0.23560000270839862,-0.07267013351973341
4,300.0,105.0,0.5,0.25,-0.174323143889007,-0.2591934505719102,-0.08634348519056856
5,300.0,105.0,0.55,0.25,-0.17569194088964019,-0.25576119680564124,-0.0870581679375797
6,300.0,105.0,0.6000000000000001,0.25,-0.16120911617045447,-0.2298761769831049,-0.08053432023227712
7,300.0,105.0,0.65,0.25,-0.1375896477222676,-0.1964684846323335,-0.07075121208177663
8,300.0,105.0,0.7,0.25,-0.11158086934783157,-0.1603504772654177,-0.060766370353806144
9,300.0,105.0,0.75,0.25,-0.08810614992103358,-0.13005665317173673,-0.05222465407225317
0,300.0,105.0,0.3,0.35,-0.016626084933249918,-0.10058044715278604,0.06139454606241153
1,300.0,105.0,0.35,0.35,-0.08046988822231863,-0.15412494692516127,-0.004518766677888245
2,300.0,105.0,0.4,0.35,-0.13252997499776067,-0.21628892873480757,-0.054527964233409935
3,300.0,105.0,0.45,0.35,-0.16965120686995944,-0.2619934677784166,-0.08023962228130001
4,300.0,105.0,0.5,0.35,-0.18852784759900104,-0.2836325374113009,-0.09159799873260059
5,300.0,105.0,0.55,0.35,-0.1884415079256998,-0.27901741641654193,-0.09014839520278813
6,300.0,105.0,0.6000000000000001,0.35,-0.17250923571824775,-0.2519846528653473,-0.08144417680673738
7,300.0,105.0,0.65,0.35,-0.14638437040440908,-0.21499777282898483,-0.0690913696982418
8,300.0,105.0,0.7,0.35,-0.11629878508673874,-0.1733264973366467,-0.05608322811517883
9,300.0,105.0,0.75,0.35,-0.08775080508493847,-0.13456356539208147,-0.04446061225006284
0,300.0,105.0,0.3,0.45,-0.03377510990021812,-0.11861167341030442,0.046913050851282924
1,300.0,105.0,0.35,0.45,-0.09169620284069707,-0.16663076880704625,-0.014855416587402234
2,300.0,105.0,0.4,0.45,-0.13866373346719763,-0.22442984406530903,-0.05974484344259402
3,300.0,105.0,0.45,0.45,-0.17196492890908013,-0.26583216953052874,-0.08207071954119849
4,300.0,105.0,0.5,0.45,-0.18878712666372335,-0.28544021400212505,-0.09136252364574947
5,300.0,105.0,0.55,0.45,-0.1884479927023628,-0.28126722910658336,-0.08890383243556162
6,300.0,105.0,0.6000000000000001,0.45,-0.1732274663506685,-0.25602533251183107,-0.07962897921439237
7,300.0,105.0,0.65,0.45,-0.14750963912757878,-0.219601206247686,-0.06653284907378408
8,300.0,105.0,0.7,0.45,-0.11665712191168912,-0.17794794923041052,-0.05231854627742105
9,300.0,105.0,0.75,0.45,-0.08620871268090133,-0.13489328780522944,-0.039203151428753906
0,300.0,105.0,0.3,0.6,-0.053594528718127636,-0.13397554825541816,0.024439406067305026
1,300.0,105.0,0.35,0.6,-0.10140162295345365,-0.17544519422979,-0.027766086722295035
2,300.0,105.0,0.4,0.6,-0.14120701248572262,-0.22551535270024814,-0.0645666649709287
3,300.0,105.0,0.45,0.6,-0.17048794517371277,-0.2628655101358369,-0.08291477211339868
4,300.0,105.0,0.5,0.6,-0.18663264513189795,-0.2826944211161826,-0.09060361691994279
5,300.0,105.0,0.55,0.6,-0.18848709726539503,-0.282581043243987,-0.08844540189385816
6,300.0,105.0,0.6000000000000001,0.6,-0.17686739768418755,-0.2632701833662711,-0.08010699191444319
7,300.0,105.0,0.65,0.6,-0.1542201024813645,-0.23142005354223574,-0.06760634234040035
8,300.0,105.0,0.7,0.6,-0.12438842768244399,-0.1925270039342777,-0.0530660410524442
9,300.0,105.0,0.75,0.6,-0.09257076487389851,-0.14719517648431416,-0.038744820143222
0,310.0,105.0,0.3,0.05,-0.31708204269138274,-0.7222058461855796,-0.13886809836105152
1,310.0,105.0,0.35,0.05,-0.16841277863339804,-0.28676374322553794,-0.09094595613782841
2,310.0,105.0,0.4,0.05,-0.11780434130958303,-0.1752181003552653,-0.06990482469523716
3,310.0,105.0,0.45,0.05,-0.09625642131363468,-0.132712108412472,-0.06022679725871578
4,310.0,105.0,0.5,0.05,-0.08482065650057877,-0.11157331403950098,-0.05488158578091421
5,310.0,105.0,0.55,0.05,-0.07565987629191276,-0.09681504429999317,-0.05151459202492385
6,310.0,105.0,0.6000000000000001,0.05,-0.06692875057611287,-0.08457825615578966,-0.04831503964914176
7,310.0,105.0,0.65,0.05,-0.05946798948207072,-0.07513215499228008,-0.04337603820981519
8,310.0,105.0,0.7,0.05,-0.05388821947648561,-0.06806705679618211,-0.03780988798860133
9,310.0,105.0,0.75,0.05,-0.05003134955620862,-0.06481535503627933,-0.03383717424425751
0,310.0,105.0,0.3,0.15,-0.14733877023644912,-0.1920191234604416,-0.1009096324852869
1,310.0,105.0,0.35,0.15,-0.11636598533247759,-0.15252258777829933,-0.07784079126953318
2,310.0,105.0,0.4,0.15,-0.09443010183677608,-0.12561707843815795,-0.06165945752669131
