Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,100.0,0.3,0.05,0.07642077447746612,0.04085083734760829,0.13558157122839076
1,300.0,100.0,0.35,0.05,0.008768851380470845,-0.010797252484203245,0.03592142167877896
2,300.0,100.0,0.4,0.05,-0.022811225795312175,-0.03910269910355034,-0.0030304118425459083
3,300.0,100.0,0.45,0.05,-0.04098868278243282,-0.05587198915526826,-0.02749544807013219
4,300.0,100.0,0.5,0.05,-0.05085901781799756,-0.06424116174810454,-0.040420198840821604
5,300.0,100.0,0.55,0.05,-0.05344088252182629,-0.06403999970692968,-0.04510894157733063
6,300.0,100.0,0.6000000000000001,0.05,-0.05133250516542382,-0.058548169488067105,-0.04524547101501951
7,300.0,100.0,0.65,0.05,-0.04854725549106107,-0.05590817983407267,-0.041893182287886965
8,300.0,100.0,0.7,0.05,-0.04737663900915352,-0.05712221977064053,-0.03895068641577834
9,300.0,100.0,0.75,0.05,-0.04815591310156084,-0.06074911058689337,-0.03765703037741502
0,300.0,100.0,0.3,0.15,0.04689132855507063,0.03285372885772163,0.07191302624211258
1,300.0,100.0,0.35,0.15,0.013609453820245431,0.0002304624885453955,0.035529792751705744
2,300.0,100.0,0.4,0.15,-0.01295441414090563,-0.02479686219772361,0.004390698550360759
3,300.0,100.0,0.45,0.15,-0.034290770245178064,-0.04607052102985912,-0.02157162017932124
4,300.0,100.0,0.5,0.15,-0.050037435183474824,-0.062013356995331496,-0.04050058331130657
5,300.0,100.0,0.55,0.15,-0.05854601939604854,-0.06947234049674757,-0.04945252343306871
6,300.0,100.0,0.6000000000000001,0.15,-0.06027513833965289,-0.06918705722307958,-0.05203494931515804
7,300.0,100.0,0.65,0.15,-0.0589937472978529,-0.0661073571842669,-0.05219184758184225
8,300.0,100.0,0.7,0.15,-0.0584890758957042,-0.06845756011990163,-0.050801647580727326
9,300.0,100.0,0.75,0.15,-0.06037727297566298,-0.0742926738140427,-0.04959845031299007
0,300.0,100.0,0.3,0.25,0.06329568810009945,0.04660526025133493,0.09474669484330867
1,300.0,100.0,0.35,0.25,0.025912713328641365,0.01054921749827692,0.0530961678858602
2,300.0,100.0,0.4,0.25,-0.004692857841325148,-0.01809760826734696,0.016942837089385078
3,300.0,100.0,0.45,0.25,-0.03042126612713598,-0.04270241168263904,-0.014238100764278862
4,300.0,100.0,0.5,0.25,-0.051322416840509595,-0.0644163281047484,-0.039570275828880425
5,300.0,100.0,0.55,0.25,-0.06507074760210384,-0.0785652097568509,-0.05362848531041301
6,300.0,100.0,0.6000000000000001,0.25,-0.07003195648270444,-0.08291678663222556,-0.0589704171598021
7,300.0,100.0,0.65,0.25,-0.06887398479216507,-0.07916357820682572,-0.05933717800346624
8,300.0,100.0,0.7,0.25,-0.06659602103547158,-0.07677053485623106,-0.058890828538780755
9,300.0,100.0,0.75,0.25,-0.06651447637232195,-0.08058705957901624,-0.056750650206469876
0,300.0,100.0,0.3,0.35,0.0714797801679855,0.05298181913313198,0.10611176779109882
1,300.0,100.0,0.35,0.35,0.03371233421180875,0.01801317848123347,0.06304269456358869
2,300.0,100.0,0.4,0.35,0.003064544499207545,-0.010366241902213136,0.026330417807721246
3,300.0,100.0,0.45,0.35,-0.02303225174460169,-0.035384222643593914,-0.005488004798261089
4,300.0,100.0,0.5,0.35,-0.04522540374499723,-0.05818622551545431,-0.03257715958982552
5,300.0,100.0,0.55,0.35,-0.06132596365630098,-0.07603099385095534,-0.04923587190776085
6,300.0,100.0,0.6000000000000001,0.35,-0.0684719301083013,-0.08381414736298386,-0.056618193289581495
7,300.0,100.0,0.65,0.35,-0.06760633128282463,-0.08108546172796936,-0.056967215387649775
8,300.0,100.0,0.7,0.35,-0.06349011791160825,-0.07407730304603379,-0.05479397991656132
9,300.0,100.0,0.75,0.35,-0.060445971844667525,-0.07195408539955969,-0.05237791835205796
0,300.0,100.0,0.3,0.45,0.07189050772075777,0.05249579521908848,0.10647105817962743
1,300.0,100.0,0.35,0.45,0.0369284779100931,0.022190195369181376,0.06567190206279505
2,300.0,100.0,0.4,0.45,0.008976113243729288,-0.003398441625198034,0.03169021056722063
3,300.0,100.0,0.45,0.45,-0.014908409367141204,-0.02609347565918075,0.002312039398923452
4,300.0,100.0,0.5,0.45,-0.03576079320509547,-0.047775594147324595,-0.023202244273380357
5,300.0,100.0,0.55,0.45,-0.051808045144552714,-0.06555304336814939,-0.04044086698482453
6,300.0,100.0,0.6000000000000001,0.45,-0.05979207316972636,-0.07491779537536573,-0.0486577098208818
7,300.0,100.0,0.65,0.45,-0.05927556318428386,-0.07349499215530488,-0.04908320429924842
8,300.0,100.0,0.7,0.45,-0.054057472876130615,-0.06527767848736017,-0.04562274993606599
9,300.0,100.0,0.75,0.45,-0.04859148584369105,-0.05771039095596587,-0.04176044275906633
0,300.0,100.0,0.3,0.6,0.0654952594591217,0.047208154939194134,0.096579520660548
1,300.0,100.0,0.35,0.6,0.03704271696001544,0.024002599394713837,0.06255822066810508
2,300.0,100.0,0.4,0.6,0.014629558828382716,0.004340326084378936,0.03487745674204829
3,300.0,100.0,0.45,0.6,-0.004555157977635393,-0.013291960923665193,0.011000636560219938
4,300.0,100.0,0.5,0.6,-0.02169356706346915,-0.03121988112699429,-0.010137542635608916
5,300.0,100.0,0.55,0.6,-0.035641976724174816,-0.04637661212799887,-0.02661103473391046
6,300.0,100.0,0.6000000000000001,0.6,-0.04337961565029901,-0.05545711785462381,-0.03426515167678721
7,300.0,100.0,0.65,0.6,-0.043426836989305155,-0.055481624222501746,-0.03479262639177757
8,300.0,100.0,0.7,0.6,-0.03817213957485919,-0.04832372122965509,-0.03109479925061954
9,300.0,100.0,0.75,0.6,-0.03145955569999319,-0.0390063335921346,-0.026256224845038416
0,310.0,100.0,0.3,0.05,-0.15190787147331414,-0.24791585572427724,-0.09643909522714762
1,310.0,100.0,0.35,0.05,-0.08147103754118735,-0.1067942365650644,-0.06188886975094787
2,310.0,100.0,0.4,0.05,-0.05750934188073497,-0.0689869661884752,-0.0488809607778278
3,310.0,100.0,0.45,0.05,-0.04878165598189955,-0.05653549106428544,-0.0435006998463684
4,310.0,100.0,0.5,0.05,-0.046143788543013,-0.05237149760908212,-0.04155182571476244
5,310.0,100.0,0.55,0.05,-0.04515338190629308,-0.051009006772795,-0.04063057495988276
6,310.0,100.0,0.6000000000000001,0.05,-0.04441700696626898,-0.05038516391411628,-0.03854657750934807
7,310.0,100.0,0.65,0.05,-0.044440460875179756,-0.051957721825566815,-0.03713530189734124
8,310.0,100.0,0.7,0.05,-0.04567231093938183,-0.05584246825740774,-0.036367675769173664
9,310.0,100.0,0.75,0.05,-0.048059840080418484,-0.061244227636497645,-0.03660634929009686
0,310.0,100.0,0.3,0.15,-0.07610526759654064,-0.09142882021841811,-0.06511407921031835
1,310.0,100.0,0.35,0.15,-0.05767232700316928,-0.06983887330572909,-0.049225207483882594
2,310.0,100.0,0.4,0.15,-0.04599103948498339,-0.054728127873209464,-0.03966533991504136
