Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,100.0,0.3,0.05,0.03353560594770973,0.015553408653982994,0.0530988579319219
1,300.0,100.0,0.35,0.05,-0.0005543053430426217,-0.017764233080850254,0.018104249628294496
2,300.0,100.0,0.4,0.05,-0.028146869898916575,-0.0444605951943529,-0.01102649670918151
3,300.0,100.0,0.45,0.05,-0.04885309506616812,-0.0646792700257763,-0.03005468197805165
4,300.0,100.0,0.5,0.05,-0.060501658176529416,-0.07532313686704996,-0.040310503501222957
5,300.0,100.0,0.55,0.05,-0.06309790816592337,-0.07630783009649665,-0.044571332025492884
6,300.0,100.0,0.6000000000000001,0.05,-0.06023764355161878,-0.07280421786352102,-0.045153058536720914
7,300.0,100.0,0.65,0.05,-0.055933553176860766,-0.06741947461272205,-0.04382276700287719
8,300.0,100.0,0.7,0.05,-0.05233497292679581,-0.0637141003945167,-0.03925472625864689
9,300.0,100.0,0.75,0.05,-0.04998726628916815,-0.06238079548717048,-0.03575363669669453
0,300.0,100.0,0.3,0.15,0.08220469439543833,0.04892219904716448,0.11620296654983896
1,300.0,100.0,0.35,0.15,0.03357230378656367,0.0028878148499091746,0.0650097807206008
2,300.0,100.0,0.4,0.15,-0.010259762413772435,-0.04298725432749225,0.018818499360988197
3,300.0,100.0,0.45,0.15,-0.049859711164604095,-0.08345772724475942,-0.01597163112864569
4,300.0,100.0,0.5,0.15,-0.08140325646956396,-0.11596068397447788,-0.0437344766682439
5,300.0,100.0,0.55,0.15,-0.09917830130802838,-0.13256665232261372,-0.06018897620477131
6,300.0,100.0,0.6000000000000001,0.15,-0.10256983936780421,-0.13047296398607233,-0.06761591676003798
7,300.0,100.0,0.65,0.15,-0.09743016348289779,-0.1234625895620206,-0.06873979910467755
8,300.0,100.0,0.7,0.15,-0.0902505497767464,-0.11485100791743996,-0.067930616057294
9,300.0,100.0,0.75,0.15,-0.08451155195116743,-0.1079760010474279,-0.06296836692718
0,300.0,100.0,0.3,0.25,0.08708688978232644,0.05282881365593433,0.12170365393858622
1,300.0,100.0,0.35,0.25,0.0459368738159186,0.018899952340285086,0.07781795392816954
2,300.0,100.0,0.4,0.25,0.008211622651428992,-0.02232379681326482,0.03714298932447655
3,300.0,100.0,0.45,0.25,-0.028316881877442857,-0.06177700685594025,0.003856650546121358
4,300.0,100.0,0.5,0.25,-0.06188657686777685,-0.09718439231004262,-0.023885514252628776
5,300.0,100.0,0.55,0.25,-0.08646842788115058,-0.12424230128321648,-0.04483595114766811
6,300.0,100.0,0.6000000000000001,0.25,-0.09703703805918991,-0.13228475750765137,-0.05530129218424798
7,300.0,100.0,0.65,0.25,-0.09555028954414414,-0.12690808559249578,-0.05885878991310299
8,300.0,100.0,0.7,0.25,-0.0884878292110585,-0.11736146449314248,-0.0595127682660521
9,300.0,100.0,0.75,0.25,-0.08108523394188256,-0.10849756720572776,-0.05903256577718288
0,300.0,100.0,0.3,0.35,0.0754983765580599,0.04642196225107686,0.10479069291658988
1,300.0,100.0,0.35,0.35,0.044961663428672936,0.02385101800771949,0.07244231908180537
2,300.0,100.0,0.4,0.35,0.016008623083777963,-0.008767915444632348,0.04147215984344559
3,300.0,100.0,0.45,0.35,-0.013422358726535953,-0.04161803397136767,0.013292434600864503
4,300.0,100.0,0.5,0.35,-0.04266164936912478,-0.07389077218650851,-0.009583806375995292
5,300.0,100.0,0.55,0.35,-0.06699913946758586,-0.1011415604194266,-0.02857529289466729
6,300.0,100.0,0.6000000000000001,0.35,-0.08037831933550109,-0.1153622242362356,-0.04018978786175629
7,300.0,100.0,0.65,0.35,-0.08170162986504566,-0.11421607016343256,-0.0438572944672472
8,300.0,100.0,0.7,0.35,-0.07563859733278212,-0.10458428392857617,-0.04406026414689117
9,300.0,100.0,0.75,0.35,-0.06755274509929154,-0.09503486121885511,-0.04334311619117513
0,300.0,100.0,0.3,0.45,0.06814944099098631,0.04279640435374113,0.09348041299620807
1,300.0,100.0,0.35,0.45,0.044071947288502854,0.025267133910117028,0.06850735942556975
2,300.0,100.0,0.4,0.45,0.02037414300690196,-0.0008306420234242192,0.043632447832195935
3,300.0,100.0,0.45,0.45,-0.004520046694206907,-0.029101446793356963,0.018659360416063163
4,300.0,100.0,0.5,0.45,-0.03036497118322111,-0.05827533278016095,-0.0009708143989641138
5,300.0,100.0,0.55,0.45,-0.05343947829052873,-0.08385426511547028,-0.017997109205276883
6,300.0,100.0,0.6000000000000001,0.45,-0.06772037673362434,-0.1008442181932773,-0.02903303693397392
7,300.0,100.0,0.65,0.45,-0.07053622385417961,-0.10237772985939354,-0.03318391615139525
8,300.0,100.0,0.7,0.45,-0.0651108765288801,-0.0944844681898565,-0.03286433774269189
9,300.0,100.0,0.75,0.45,-0.05654133352974623,-0.08399811457138767,-0.030953530446961856
0,300.0,100.0,0.3,0.6,0.06402129089729186,0.041240028106940656,0.08650241135062584
1,300.0,100.0,0.35,0.6,0.044934340410024254,0.027553023935391538,0.06721521248522498
2,300.0,100.0,0.4,0.6,0.025626473266042005,0.007572719150955335,0.047363847170014135
3,300.0,100.0,0.45,0.6,0.0049970325896139395,-0.01604110021056857,0.025158091164462708
4,300.0,100.0,0.5,0.6,-0.017022736923919268,-0.04114677897246239,0.008187148005409763
5,300.0,100.0,0.55,0.6,-0.0377716082905181,-0.06450384102745459,-0.00667645503851762
6,300.0,100.0,0.6000000000000001,0.6,-0.05185016084111447,-0.08054930902316475,-0.016722769632810296
7,300.0,100.0,0.65,0.6,-0.05568190775815345,-0.08473251598654799,-0.020531848117573935
8,300.0,100.0,0.7,0.6,-0.0511518971981912,-0.07909978276624602,-0.019888445568079383
9,300.0,100.0,0.75,0.6,-0.04279058691135939,-0.0685122566408861,-0.017522241288429944
0,310.0,100.0,0.3,0.05,-0.08360810027791525,-0.10528412007582995,-0.06189429006499471
1,310.0,100.0,0.35,0.05,-0.07010069152072433,-0.08681777027486651,-0.051528163640847564
2,310.0,100.0,0.4,0.05,-0.06339704812757367,-0.0763648265736978,-0.04764542706351788
3,310.0,100.0,0.45,0.05,-0.060596974551517045,-0.07195658459529422,-0.04567690701456194
4,310.0,100.0,0.5,0.05,-0.05873013631311986,-0.0696210695921259,-0.04460535969346703
5,310.0,100.0,0.55,0.05,-0.056197519100073756,-0.06656598644325638,-0.04350659803735038
6,310.0,100.0,0.6000000000000001,0.05,-0.053290789787485894,-0.06348899600224055,-0.0417837797485107
7,310.0,100.0,0.65,0.05,-0.05084340696476815,-0.06119634364130677,-0.03811556861496085
8,310.0,100.0,0.7,0.05,-0.04925690800705248,-0.060999104486067345,-0.035378572448222415
9,310.0,100.0,0.75,0.05,-0.048476423347103774,-0.06204551133201018,-0.033532937186024445
0,310.0,100.0,0.3,0.15,-0.13881601160540896,-0.17150970502546153,-0.09825117854421225
1,310.0,100.0,0.35,0.15,-0.11378973733332266,-0.1452443017086533,-0.08317919382104355
2,310.0,100.0,0.4,0.15,-0.09682647868453485,-0.12835904505422638,-0.06888855289637166
3,310.0,100.0,0.45,0.15,-0.0867833447186524,-0.11673916588858475,-0.062017191202243124
4,310.0,100.0,0.5,0.15,-0.0818364906115266,-0.10900141839432119,-0.05990964105414438
5,310.0,100.0,0.55,0.15,-0.07947965021410208,-0.10335527160516307,-0.05951611012077825
6,310.0,100.0,0.6000000000000001,0.15,-0.07799759104244999,-0.09861000781462378,-0.060076291610441784
7,310.0,100.0,0.65,0.15,-0.07717736957446415,-0.09528801490770698,-0.05954919798110428
8,310.0,100.0,0.7,0.15,-0.07732451141550331,-0.09583466721111444,-0.05696143619295532
9,310.0,100.0,0.75,0.15,-0.07845712103098645,-0.10022631703194788,-0.05546900809698181
0,310.0,100.0,0.3,0.25,-0.12888684689266422,-0.1656122578368009,-0.08423251887898453
1,310.0,100.0,0.35,0.25,-0.10511000782771733,-0.1403018476858654,-0.07019928301453517
2,310.0,100.0,0.4,0.25,-0.08773201417033777,-0.12382077870164122,-0.058022674769401664
3,310.0,100.0,0.45,0.25,-0.07568926888479373,-0.11102131186434804,-0.04930878194807816
4,310.0,100.0,0.5,0.25,-0.06849911592521224,-0.10193970282638812,-0.04546446008353573
5,310.0,100.0,0.55,0.25,-0.06539532789032594,-0.09538789060509445,-0.04617207030470827
6,310.0,100.0,0.6000000000000001,0.25,-0.06502668692682181,-0.0908639598281226,-0.04787249029797296
7,310.0,100.0,0.65,0.25,-0.06627693895207129,-0.08798329544407392,-0.050816121148509516
8,310.0,100.0,0.7,0.25,-0.06867133793923726,-0.08822967559036393,-0.05077773148842159
9,310.0,100.0,0.75,0.25,-0.07189880513472768,-0.09381652063699757,-0.051066867307404215
