,hads1,hads2,z1,xb
0,300.0,105.0,0.3,0.05
1,300.0,105.0,0.35,0.05
2,300.0,105.0,0.4,0.05
3,300.0,105.0,0.45,0.05
4,300.0,105.0,0.5,0.05
5,300.0,105.0,0.55,0.05
6,300.0,105.0,0.6000000000000001,0.05
7,300.0,105.0,0.65,0.05
8,300.0,105.0,0.7,0.05
9,300.0,105.0,0.75,0.05
0,300.0,105.0,0.3,0.15
1,300.0,105.0,0.35,0.15
2,300.0,105.0,0.4,0.15
3,300.0,105.0,0.45,0.15
4,300.0,105.0,0.5,0.15
5,300.0,105.0,0.55,0.15
6,300.0,105.0,0.6000000000000001,0.15
7,300.0,105.0,0.65,0.15
8,300.0,105.0,0.7,0.15
9,300.0,105.0,0.75,0.15
0,300.0,105.0,0.3,0.25
1,300.0,105.0,0.35,0.25
2,300.0,105.0,0.4,0.25
3,300.0,105.0,0.45,0.25
4,300.0,105.0,0.5,0.25
5,300.0,105.0,0.55,0.25
6,300.0,105.0,0.6000000000000001,0.25
7,300.0,105.0,0.65,0.25
8,300.0,105.0,0.7,0.25
9,300.0,105.0,0.75,0.25
0,300.0,105.0,0.3,0.35
1,300.0,105.0,0.35,0.35
2,300.0,105.0,0.4,0.35
3,300.0,105.0,0.45,0.35
4,300.0,105.0,0.5,0.35
5,300.0,105.0,0.55,0.35
6,300.0,105.0,0.6000000000000001,0.35
7,300.0,105.0,0.65,0.35
8,300.0,105.0,0.7,0.35
9,300.0,105.0,0.75,0.35
0,300.0,105.0,0.3,0.45
1,300.0,105.0,0.35,0.45
2,300.0,105.0,0.4,0.45
3,300.0,105.0,0.45,0.45
4,300.0,105.0,0.5,0.45
5,300.0,105.0,0.55,0.45
6,300.0,105.0,0.6000000000000001,0.45
7,300.0,105.0,0.65,0.45
8,300.0,105.0,0.7,0.45
9,300.0,105.0,0.75,0.45
0,300.0,105.0,0.3,0.6
1,300.0,105.0,0.35,0.6
2,300.0,105.0,0.4,0.6
3,300.0,105.0,0.45,0.6
4,300.0,105.0,0.5,0.6
5,300.0,105.0,0.55,0.6
6,300.0,105.0,0.6000000000000001,0.6
7,300.0,105.0,0.65,0.6
8,300.0,105.0,0.7,0.6
9,300.0,105.0,0.75,0.6
0,310.0,105.0,0.3,0.05
1,310.0,105.0,0.35,0.05
2,310.0,105.0,0.4,0.05
3,310.0,105.0,0.45,0.05
4,310.0,105.0,0.5,0.05
5,310.0,105.0,0.55,0.05
6,310.0,105.0,0.6000000000000001,0.05
7,310.0,105.0,0.65,0.05
8,310.0,105.0,0.7,0.05
9,310.0,105.0,0.75,0.05
0,310.0,105.0,0.3,0.15
1,310.0,105.0,0.35,0.15
2,310.0,105.0,0.4,0.15
3,310.0,105.0,0.45,0.15
4,310.0,105.0,0.5,0.15
5,310.0,105.0,0.55,0.15
6,310.0,105.0,0.6000000000000001,0.15
7,310.0,105.0,0.65,0.15
8,310.0,105.0,0.7,0.15
9,310.0,105.0,0.75,0.15
0,310.0,105.0,0.3,0.25
1,310.0,105.0,0.35,0.25
2,310.0,105.0,0.4,0.25
3,310.0,105.0,0.45,0.25
4,310.0,105.0,0.5,0.25
5,310.0,105.0,0.55,0.25
6,310.0,105.0,0.6000000000000001,0.25
7,310.0,105.0,0.65,0.25
8,310.0,105.0,0.7,0.25
9,310.0,105.0,0.75,0.25
0,310.0,105.0,0.3,0.35
1,310.0,105.0,0.35,0.35
2,310.0,105.0,0.4,0.35
3,310.0,105.0,0.45,0.35
4,310.0,105.0,0.5,0.35
5,310.0,105.0,0.55,0.35
6,310.0,105.0,0.6000000000000001,0.35
7,310.0,105.0,0.65,0.35
8,310.0,105.0,0.7,0.35
9,310.0,105.0,0.75,0.35
0,310.0,105.0,0.3,0.45
1,310.0,105.0,0.35,0.45
2,310.0,105.0,0.4,0.45
3,310.0,105.0,0.45,0.45
4,310.0,105.0,0.5,0.45
5,310.0,105.0,0.55,0.45
6,310.0,105.0,0.6000000000000001,0.45
7,310.0,105.0,0.65,0.45
8,310.0,105.0,0.7,0.45
9,310.0,105.0,0.75,0.45
0,310.0,105.0,0.3,0.6
1,310.0,105.0,0.35,0.6
2,310.0,105.0,0.4,0.6
3,310.0,105.0,0.45,0.6
4,310.0,105.0,0.5,0.6
5,310.0,105.0,0.55,0.6
6,310.0,105.0,0.6000000000000001,0.6
7,310.0,105.0,0.65,0.6
8,310.0,105.0,0.7,0.6
9,310.0,105.0,0.75,0.6
