Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.15,0.019373457562567357,-0.00238720739123314,0.033582802072986466
1,300.0,105.0,0.35,0.15,-0.013735330550062002,-0.03751912456793261,0.001515828933038885
2,300.0,105.0,0.4,0.15,-0.042136948687693486,-0.0686579217473191,-0.025108317269987024
3,300.0,105.0,0.45,0.15,-0.06569343557120616,-0.09443495692038746,-0.047622561962798265
4,300.0,105.0,0.5,0.15,-0.08224745905977668,-0.11152837680338434,-0.06425383040567835
5,300.0,105.0,0.55,0.15,-0.08972490767883483,-0.11653788940642391,-0.07251677429508882
6,300.0,105.0,0.6000000000000001,0.15,-0.08964576310666468,-0.11084631949883368,-0.07598724030014382
7,300.0,105.0,0.65,0.15,-0.08685263259850433,-0.10062420456713775,-0.07509975752362677
8,300.0,105.0,0.7,0.15,-0.08573240652423776,-0.10155619494576529,-0.0724080892030357
9,300.0,105.0,0.75,0.15,-0.0881203447391017,-0.1078270103326709,-0.06756814937355543
0,300.0,105.0,0.3,0.25,0.024763489233455734,0.0004097531956324797,0.041171788323906645
1,300.0,105.0,0.35,0.25,-0.011609392335646116,-0.03866228038581819,0.005163446259263543
2,300.0,105.0,0.4,0.25,-0.043186717039601905,-0.07398809477524958,-0.024267325174161594
3,300.0,105.0,0.45,0.25,-0.07057205991970604,-0.10507102251358998,-0.04989318335380815
4,300.0,105.0,0.5,0.25,-0.09184918496164646,-0.12903576355731844,-0.07014257032791958
5,300.0,105.0,0.55,0.25,-0.10381918111811624,-0.14099924555585483,-0.08147575464919765
6,300.0,105.0,0.6000000000000001,0.25,-0.10567828314459222,-0.13899761984697775,-0.08546274078088388
7,300.0,105.0,0.65,0.25,-0.1010114557825601,-0.127101177795812,-0.08546671893854679
8,300.0,105.0,0.7,0.25,-0.09529769361769312,-0.11307762249224097,-0.0815243353785628
9,300.0,105.0,0.75,0.25,-0.09250753457619057,-0.11258036621561021,-0.0777077037667603
0,300.0,105.0,0.3,0.35,0.026656429019269096,0.0021218588586782976,0.04357930655246777
1,300.0,105.0,0.35,0.35,-0.009611201220635553,-0.03709070767275416,0.00707867476349831
2,300.0,105.0,0.4,0.35,-0.04136811879036816,-0.0730994852404169,-0.0224437193467566
3,300.0,105.0,0.45,0.35,-0.06968732763316736,-0.10587979453593804,-0.04866665928460206
4,300.0,105.0,0.5,0.35,-0.09298320405575597,-0.13314990807397775,-0.0702729493243007
5,300.0,105.0,0.55,0.35,-0.10777015029960307,-0.14981081130845417,-0.08335092373528392
6,300.0,105.0,0.6000000000000001,0.35,-0.1118548412277474,-0.15212035518841188,-0.08811445411270528
7,300.0,105.0,0.65,0.35,-0.10709348187246234,-0.14171727699834158,-0.08695715161733489
8,300.0,105.0,0.7,0.35,-0.09833579469020778,-0.12463592781517376,-0.0828478146639123
9,300.0,105.0,0.75,0.35,-0.09040457390390964,-0.10932450570256229,-0.07627549775914341
0,300.0,105.0,0.3,0.45,0.02725582187302462,0.003468639685805079,0.04394146237097834
1,300.0,105.0,0.35,0.45,-0.007641515400245646,-0.034319838315018704,0.008346730816440216
2,300.0,105.0,0.4,0.45,-0.038452055876610144,-0.0695813516168404,-0.020248894306132487
3,300.0,105.0,0.45,0.45,-0.06651012086372544,-0.10244820249935307,-0.04606978569168892
4,300.0,105.0,0.5,0.45,-0.09049414114415505,-0.13110192596387013,-0.06800239688110908
5,300.0,105.0,0.55,0.45,-0.10690945648502785,-0.15058698513792712,-0.08205181449504018
6,300.0,105.0,0.6000000000000001,0.45,-0.1128238533652599,-0.15633158962716853,-0.0875880343880506
7,300.0,105.0,0.65,0.45,-0.10877624411655866,-0.1482865967728001,-0.08590343362220243
8,300.0,105.0,0.7,0.45,-0.09853861788277118,-0.13098290076859148,-0.08028535528174374
9,300.0,105.0,0.75,0.45,-0.08677305522966809,-0.11059797901375569,-0.07242633002763606
0,300.0,105.0,0.3,0.6,0.027957028732378115,0.0056630942269515335,0.04382271121573503
1,300.0,105.0,0.35,0.6,-0.004354505755989972,-0.029012403437521424,0.010686637024083403
2,300.0,105.0,0.4,0.6,-0.03322083083305726,-0.06230553556026976,-0.016486764778777353
3,300.0,105.0,0.45,0.6,-0.060205362451366935,-0.09422012629633718,-0.04118697046813376
4,300.0,105.0,0.5,0.6,-0.08430560344513469,-0.12345779271569596,-0.06297816970886937
5,300.0,105.0,0.55,0.6,-0.10214732868600186,-0.1453786516895935,-0.07797288185488692
6,300.0,105.0,0.6000000000000001,0.6,-0.11021120925727279,-0.15481648225664588,-0.08467332343466848
7,300.0,105.0,0.65,0.6,-0.10776286013549015,-0.1501789240554755,-0.0833133219010981
8,300.0,105.0,0.7,0.6,-0.09725287373337345,-0.1343066023764262,-0.0760003893514583
