Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.15,0.0525760518522708,0.07611664120470651,0.07611664120470651
1,300.0,105.0,0.35,0.15,0.0038074114863554604,0.025210144087700333,0.025210144087700333
2,300.0,105.0,0.4,0.15,-0.03948335545575809,-0.024976890858969536,-0.024976890858969536
3,300.0,105.0,0.45,0.15,-0.07714799638398205,-0.0745555333315163,-0.0745555333315163
4,300.0,105.0,0.5,0.15,-0.10532650173519896,-0.11800354282403891,-0.11800354282403891
5,300.0,105.0,0.55,0.15,-0.1192071932220464,-0.14607292586522272,-0.14607292586522272
6,300.0,105.0,0.6000000000000001,0.15,-0.11872019553917613,-0.1539550753561652,-0.1539550753561652
7,300.0,105.0,0.65,0.15,-0.10943564570505657,-0.1457345475038469,-0.1457345475038469
8,300.0,105.0,0.7,0.15,-0.0978105532556813,-0.12973209888048687,-0.12973209888048687
9,300.0,105.0,0.75,0.15,-0.0877498156500102,-0.11286793011865177,-0.11286793011865177
0,300.0,105.0,0.3,0.25,0.06585047342239701,0.08972887135767539,0.08972887135767539
1,300.0,105.0,0.35,0.25,0.012068516995950237,0.03434109962088501,0.03434109962088501
2,300.0,105.0,0.4,0.25,-0.03616325618088621,-0.020605976656464287,-0.020605976656464287
3,300.0,105.0,0.45,0.25,-0.08011331157357478,-0.07731532558299098,-0.07731532558299098
4,300.0,105.0,0.5,0.25,-0.11676948839434839,-0.13223875118112202,-0.13223875118112202
5,300.0,105.0,0.55,0.25,-0.14001071660315637,-0.1754604493035093,-0.1754604493035093
6,300.0,105.0,0.6000000000000001,0.25,-0.1461008942793796,-0.19708525146907202,-0.19708525146907202
7,300.0,105.0,0.65,0.25,-0.13786276971163666,-0.19547156648438677,-0.19547156648438677
8,300.0,105.0,0.7,0.25,-0.12230570373883973,-0.17745027082938833,-0.17745027082938833
9,300.0,105.0,0.75,0.25,-0.10595786485288274,-0.15270794663318965,-0.15270794663318965
0,300.0,105.0,0.3,0.35,0.06951385723881075,0.09223345095119281,0.09223345095119281
1,300.0,105.0,0.35,0.35,0.01591543573361766,0.037505362661013716,0.037505362661013716
2,300.0,105.0,0.4,0.35,-0.03244884793063868,-0.01703226925677092,-0.01703226925677092
3,300.0,105.0,0.45,0.35,-0.07773140568770837,-0.0748153715902717,-0.0748153715902717
4,300.0,105.0,0.5,0.35,-0.11778418426671448,-0.13394024577757366,-0.13394024577757366
5,300.0,105.0,0.55,0.35,-0.14655092548212756,-0.1855484219927917,-0.1855484219927917
6,300.0,105.0,0.6000000000000001,0.35,-0.15852656792927444,-0.21811279047014845,-0.21811279047014845
7,300.0,105.0,0.65,0.35,-0.15377253917092157,-0.2257346346179756,-0.2257346346179756
8,300.0,105.0,0.7,0.35,-0.13772400701338564,-0.21142495014900414,-0.21142495014900414
9,300.0,105.0,0.75,0.35,-0.11744976404433549,-0.18401218965552962,-0.18401218965552962
0,300.0,105.0,0.3,0.45,0.06949672912887159,0.09066180681103513,0.09066180681103513
1,300.0,105.0,0.35,0.45,0.017988599117035587,0.03841515596274847,0.03841515596274847
2,300.0,105.0,0.4,0.45,-0.02878678757001586,-0.013923287862175705,-0.013923287862175705
3,300.0,105.0,0.45,0.45,-0.0734978795416099,-0.07049525390947343,-0.07049525390947343
4,300.0,105.0,0.5,0.45,-0.11464495771957221,-0.1305554948792667,-0.1305554948792667
5,300.0,105.0,0.55,0.45,-0.14655431662199062,-0.18646670004573973,-0.18646670004573973
6,300.0,105.0,0.6000000000000001,0.45,-0.1629807645544471,-0.22654964891780155,-0.22654964891780155
7,300.0,105.0,0.65,0.45,-0.1621208749484029,-0.24259761791227974,-0.24259761791227974
8,300.0,105.0,0.7,0.45,-0.14758000368809898,-0.23432259273498582,-0.23432259273498582
9,300.0,105.0,0.75,0.45,-0.12573418583701737,-0.2082026353780332,-0.2082026353780332
0,300.0,105.0,0.3,0.6,0.06810291109764739,0.08703905257533498,0.08703905257533498
1,300.0,105.0,0.35,0.6,0.020492589822345034,0.0391117543163753,0.0391117543163753
2,300.0,105.0,0.4,0.6,-0.023126385749836522,-0.009217051899545201,-0.009217051899545201
3,300.0,105.0,0.45,0.6,-0.06590214964056333,-0.06272767213345455,-0.06272767213345455
4,300.0,105.0,0.5,0.6,-0.10706936223812025,-0.12190338290424702,-0.12190338290424702
5,300.0,105.0,0.55,0.6,-0.14157185846402212,-0.180657036276646,-0.180657036276646
6,300.0,105.0,0.6000000000000001,0.6,-0.16273945016386768,-0.22778019635598248,-0.22778019635598248
7,300.0,105.0,0.65,0.6,-0.1670863237361078,-0.25344053001276423,-0.25344053001276423
