Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.15,0.016817894945881304,-0.035931197823268826,-0.006113211616885362
1,300.0,105.0,0.35,0.15,-0.01514922747393425,-0.06368219727007153,-0.03582066490954321
2,300.0,105.0,0.4,0.15,-0.04226344815007425,-0.09100456937440488,-0.06036002003957704
3,300.0,105.0,0.45,0.15,-0.06423972590904747,-0.1116139079206121,-0.0790017038156627
4,300.0,105.0,0.5,0.15,-0.07880541681194746,-0.1215936786750437,-0.08862380225903896
5,300.0,105.0,0.55,0.15,-0.08412381661975583,-0.12007986008771787,-0.08957711088330048
6,300.0,105.0,0.6000000000000001,0.15,-0.08223750118604464,-0.11184445232871591,-0.08501318106533964
7,300.0,105.0,0.65,0.15,-0.07821411551509341,-0.10179565060438261,-0.07931572291440099
8,300.0,105.0,0.7,0.15,-0.07627394988762412,-0.09525980300199076,-0.07372353494641026
9,300.0,105.0,0.75,0.15,-0.07813027251796291,-0.0987548691056656,-0.07180712558962658
0,300.0,105.0,0.3,0.25,0.023463426551084462,-0.05614303500846695,-0.01811253203954264
1,300.0,105.0,0.35,0.25,-0.012338367856443693,-0.08942153233796744,-0.0510718475750625
2,300.0,105.0,0.4,0.25,-0.043264282973712216,-0.12093859190002888,-0.07882122901723355
3,300.0,105.0,0.45,0.25,-0.06979904132207937,-0.14579314181083203,-0.10029285470798834
4,300.0,105.0,0.5,0.25,-0.0898544301119451,-0.1601801687929717,-0.11316925301138289
5,300.0,105.0,0.55,0.25,-0.10021172248756154,-0.16183735484527526,-0.11594849979064963
6,300.0,105.0,0.6000000000000001,0.25,-0.10039358428768813,-0.1538345815202243,-0.11117412534558849
7,300.0,105.0,0.65,0.25,-0.09440995734128879,-0.13970284097818597,-0.10269684803978804
8,300.0,105.0,0.7,0.25,-0.0878710430488899,-0.12544025048488364,-0.0944086633041126
9,300.0,105.0,0.75,0.25,-0.08465428421451185,-0.11568100531917433,-0.08688743087365448
0,300.0,105.0,0.3,0.35,0.02599947798434101,-0.07115119214353019,-0.02965152126874679
1,300.0,105.0,0.35,0.35,-0.009982023792971669,-0.1064290636819729,-0.062495568424401904
2,300.0,105.0,0.4,0.35,-0.04141469164430386,-0.13826601349512005,-0.09022808374488676
3,300.0,105.0,0.45,0.35,-0.0693037859671439,-0.16399195623639987,-0.11192974324381937
4,300.0,105.0,0.5,0.35,-0.09194502684149208,-0.18032685074122742,-0.12576213007751835
5,300.0,105.0,0.55,0.35,-0.10577194446880517,-0.18543701159595513,-0.13012311916835737
6,300.0,105.0,0.6000000000000001,0.35,-0.10870739283248679,-0.1802365415952048,-0.12684735908955566
7,300.0,105.0,0.65,0.35,-0.10290643910367767,-0.16695150985019275,-0.1184586485350844
8,300.0,105.0,0.7,0.35,-0.09346083954140504,-0.1500760823866044,-0.10826676607134848
9,300.0,105.0,0.75,0.35,-0.08524602095701557,-0.13436945852250465,-0.0990716213053217
0,300.0,105.0,0.3,0.45,0.026932116813986037,-0.084282884555038,-0.04010230625460775
1,300.0,105.0,0.35,0.45,-0.007825960795840742,-0.1180652819294986,-0.0711485652503764
2,300.0,105.0,0.4,0.45,-0.03847966094000045,-0.14862432768823458,-0.09751488435140376
3,300.0,105.0,0.45,0.45,-0.06632998624369939,-0.17368254157357452,-0.11828576954644547
4,300.0,105.0,0.5,0.45,-0.08999093978279323,-0.19020094185781175,-0.13182937386528712
5,300.0,105.0,0.55,0.45,-0.10590545696823835,-0.19758040848402428,-0.13704861197330143
6,300.0,105.0,0.6000000000000001,0.45,-0.1111672357648292,-0.19510193293374156,-0.13532892274498556
7,300.0,105.0,0.65,0.45,-0.10646703974070305,-0.18449436103591269,-0.12831563303048887
8,300.0,105.0,0.7,0.45,-0.0957643004933136,-0.16852989557959644,-0.11813993175729733
9,300.0,105.0,0.75,0.45,-0.08383281867091787,-0.15052926343172313,-0.10719265014946769
0,300.0,105.0,0.3,0.6,0.02785888775185587,-0.10240386035684375,-0.055059610331226784
1,300.0,105.0,0.35,0.6,-0.004411847831394822,-0.13185490610776135,-0.08220451065276776
2,300.0,105.0,0.4,0.6,-0.03323240766948917,-0.15916802967222993,-0.10557954228010699
3,300.0,105.0,0.45,0.6,-0.06015761639718006,-0.18186289909761205,-0.1240528757090944
4,300.0,105.0,0.5,0.6,-0.08416655129307934,-0.19744571617803913,-0.13606492141211776
5,300.0,105.0,0.55,0.6,-0.10186245311197331,-0.20559368084581975,-0.14144256096423086
6,300.0,105.0,0.6000000000000001,0.6,-0.10972306510267632,-0.20564964080923834,-0.14119576515540966
7,300.0,105.0,0.65,0.6,-0.10705210170911068,-0.19889592596514635,-0.13638854129480305
8,300.0,105.0,0.7,0.6,-0.09636808663531929,-0.1866453469847868,-0.1280638548715468
9,300.0,105.0,0.75,0.6,-0.08163157393521332,-0.17009453106142577,-0.11714558816178339
0,310.0,105.0,0.3,0.15,-0.07230221941731113,-0.07882919374589635,-0.05378946568063149
1,310.0,105.0,0.35,0.15,-0.05798551611986593,-0.06713292085048071,-0.044109839453063425
2,310.0,105.0,0.4,0.15,-0.04919804509794841,-0.05876117797306619,-0.037832034756843484
3,310.0,105.0,0.45,0.15,-0.04497830571198589,-0.05361291274819751,-0.035946394730501985
4,310.0,105.0,0.5,0.15,-0.04436783539345541,-0.052317487755244745,-0.03713202929161707
5,310.0,105.0,0.55,0.15,-0.04647870722688888,-0.052633662922080666,-0.03964748258967057
6,310.0,105.0,0.6000000000000001,0.15,-0.050785138942270276,-0.05503623831766416,-0.04373831668288879
7,310.0,105.0,0.65,0.15,-0.05713637297813078,-0.06491362901519226,-0.049367533512001543
8,310.0,105.0,0.7,0.15,-0.06542573287453039,-0.07746119951250585,-0.05526927591060171
