Unnamed: 0,hads1,hads2,z1,xb,conv,mins,maxx
0,300.0,105.0,0.3,0.15,0.1630038704081958,0.12870398345546244,0.1711549649986699
1,300.0,105.0,0.35,0.15,0.09512259604727491,0.05918530394735819,0.11033731232270973
2,300.0,105.0,0.4,0.15,0.0418611228151619,0.0045476154518562404,0.05994240837950118
3,300.0,105.0,0.45,0.15,0.0061446999508284915,-0.018545557501076882,0.02294997704813393
4,300.0,105.0,0.5,0.15,-0.016340466084079134,-0.027898023336548394,-0.0029366556541844694
5,300.0,105.0,0.55,0.15,-0.03175144196657638,-0.03584224114708276,-0.02223400935753221
6,300.0,105.0,0.6000000000000001,0.15,-0.04493416354168493,-0.04932777058301462,-0.036839737589394905
7,300.0,105.0,0.65,0.15,-0.058427879525241824,-0.06473970747186619,-0.04600905556674658
8,300.0,105.0,0.7,0.15,-0.07301839044559309,-0.08754946031607949,-0.05491805293529044
9,300.0,105.0,0.75,0.15,-0.08848539806132566,-0.1146033773942192,-0.06396867944542826
0,300.0,105.0,0.3,0.25,0.20085126005472498,0.16365855410968416,0.2204332917831112
1,300.0,105.0,0.35,0.25,0.12452499832747316,0.0869271426082211,0.14875990782214984
2,300.0,105.0,0.4,0.25,0.06494551555032162,0.02302837575725843,0.09024496785240346
3,300.0,105.0,0.45,0.25,0.02501002946434334,-0.004370647077741892,0.046728691499612174
4,300.0,105.0,0.5,0.25,0.00022317851863279107,-0.014701258493644424,0.017706729624289007
5,300.0,105.0,0.55,0.25,-0.015950659680964405,-0.021362174621197962,-0.003464537107355016
6,300.0,105.0,0.6000000000000001,0.25,-0.029107762041071236,-0.03202788149746858,-0.01985410358956875
7,300.0,105.0,0.65,0.25,-0.042658636077625184,-0.046818274289978624,-0.033128783095334347
8,300.0,105.0,0.7,0.25,-0.05791436112270808,-0.06912403707588348,-0.043385905971372325
9,300.0,105.0,0.75,0.25,-0.07463734034549874,-0.09762579853705247,-0.054521145527991456
0,300.0,105.0,0.3,0.35,0.21104551588137468,0.17525901720086828,0.2393651093791973
1,300.0,105.0,0.35,0.35,0.13358309396811846,0.09674789333455185,0.16405452716851265
2,300.0,105.0,0.4,0.35,0.07368391629841937,0.03187345168982115,0.10328842727487998
3,300.0,105.0,0.45,0.35,0.03380257583766345,0.0035130764166851217,0.05778790013543106
4,300.0,105.0,0.5,0.35,0.009648513387895574,-0.0064540986510471235,0.029070386928865818
5,300.0,105.0,0.55,0.35,-0.004972566284981407,-0.011356610240467737,0.008962801366523004
6,300.0,105.0,0.6000000000000001,0.35,-0.015604524179214948,-0.0176108481612465,-0.0062555101245834735
7,300.0,105.0,0.65,0.35,-0.026040212641013895,-0.02840719718998058,-0.01857849843838347
8,300.0,105.0,0.7,0.35,-0.038174989527223396,-0.0453720854114845,-0.028496767108163346
9,300.0,105.0,0.75,0.35,-0.0522047189517687,-0.06917375756244434,-0.03865400698254508
0,300.0,105.0,0.3,0.45,0.20943474085743705,0.17579006610755002,0.24286142195175608
1,300.0,105.0,0.35,0.45,0.13386794566512988,0.09855037592779747,0.1676850263269079
2,300.0,105.0,0.4,0.45,0.07583105548074938,0.035571034220404904,0.10745454018367206
3,300.0,105.0,0.45,0.45,0.03732089389042081,0.00752713939292579,0.06203474853647489
4,300.0,105.0,0.5,0.45,0.01438004496192575,-0.0019071262784986199,0.03446779279456734
5,300.0,105.0,0.55,0.45,0.0013719557241785984,-0.0054741185647445255,0.015821061617163158
6,300.0,105.0,0.6000000000000001,0.45,-0.00680797352573957,-0.008803102135001352,0.002488440187168985
7,300.0,105.0,0.65,0.45,-0.01383626606112325,-0.015143292011179676,-0.007631801057798176
8,300.0,105.0,0.7,0.45,-0.021842878722752795,-0.025862720960368242,-0.016263128241911846
9,300.0,105.0,0.75,0.45,-0.03150638441494379,-0.04232404806368243,-0.02367120563289401
0,300.0,105.0,0.3,0.6,0.19997718600577755,0.16941492818006226,0.2366640317203543
1,300.0,105.0,0.35,0.6,0.12876478504801905,0.09606824747262184,0.1643486046101526
2,300.0,105.0,0.4,0.6,0.07441992816368877,0.03685889669846047,0.10675767501744422
3,300.0,105.0,0.45,0.6,0.03836461032331912,0.009991232250404422,0.06328494447512384
4,300.0,105.0,0.5,0.6,0.017103946134398956,0.001205036978766236,0.03714585539775814
