h1   h2      z1       z2       P_exp       P(theo)       err  	  unpol
300   100    0.250    0.250   -.3900E-01   -.2600E-01   0.4080E-02   0.1510    
300   100    0.250    0.350   -.4740E-01   -.3910E-01   0.6344E-02   0.6582E-01
300   100    0.250    0.450   -.7080E-01   -.5191E-01   0.8810E-02   0.3119E-01
300   100    0.250    0.600   -.7570E-01   -.7459E-01   0.1002E-01   0.1096E-01
300   100    0.350    0.250   -.2430E-01   -.2172E-01   0.3933E-02   0.6136E-01
300   100    0.350    0.350   -.3900E-01   -.3280E-01   0.6074E-02   0.2627E-01
300   100    0.350    0.450   -.4950E-01   -.4413E-01   0.9082E-02   0.1222E-01
300   100    0.350    0.600   -.7330E-01   -.6463E-01   0.1084E-01   0.4141E-02
300   100    0.450    0.250   -.2890E-01   -.2561E-01   0.5136E-02   0.2451E-01
300   100    0.450    0.350   -.4380E-01   -.3651E-01   0.8090E-02   0.1017E-01
300   100    0.450    0.450   -.5810E-01   -.4738E-01   0.1232E-01   0.4568E-02
300   100    0.450    0.600   -.6510E-01   -.6642E-01   0.1455E-01   0.1439E-02
300   100    0.600    0.250   -.4030E-01   -.2678E-01   0.6561E-02   0.5803E-02
300   100    0.600    0.350   -.4520E-01   -.3680E-01   0.1018E-01   0.2318E-02
300   100    0.600    0.450   -.2480E-01   -.4623E-01   0.1536E-01   0.9967E-03
300   100    0.600    0.600   -.4940E-01   -.6077E-01   0.1795E-01   0.2826E-03
300   105    0.250    0.250   0.4900E-02   0.1127E-01   0.4605E-02   0.1566    
300   105    0.250    0.350   0.1680E-01   0.2173E-01   0.5974E-02   0.6924E-01
300   105    0.250    0.450   0.2330E-01   0.3274E-01   0.8746E-02   0.3327E-01
300   105    0.250    0.600   0.3720E-01   0.5316E-01   0.1079E-01   0.1200E-01
300   105    0.350    0.250   -.2000E-02   0.3006E-02   0.3471E-02   0.6344E-01
300   105    0.350    0.350   -.3200E-02   0.1031E-01   0.5316E-02   0.2755E-01
300   105    0.350    0.450   -.5300E-02   0.1937E-01   0.7906E-02   0.1301E-01
300   105    0.350    0.600   0.1750E-01   0.3845E-01   0.9760E-02   0.4540E-02
300   105    0.450    0.250   -.1130E-01   -.1190E-01   0.4509E-02   0.2482E-01
300   105    0.450    0.350   -.2310E-01   -.1104E-01   0.6944E-02   0.1037E-01
300   105    0.450    0.450   -.2900E-01   -.7305E-02   0.1034E-01   0.4694E-02
300   105    0.450    0.600   0.4100E-02   0.6297E-02   0.1280E-01   0.1505E-02
300   105    0.600    0.250   -.2470E-01   -.2266E-01   0.5921E-02   0.5808E-02
300   105    0.600    0.350   -.2420E-01   -.2861E-01   0.9059E-02   0.2323E-02
300   105    0.600    0.450   -.2310E-01   -.3234E-01   0.1342E-01   0.1000E-02
300   105    0.600    0.600   -.4150E-01   -.3149E-01   0.1616E-01   0.2848E-03
300   200    0.250    0.250   -.2830E-01   -.2863E-01   0.5177E-02   0.3547E-01
300   200    0.250    0.350   -.4300E-01   -.3866E-01   0.7664E-02   0.1896E-01
300   200    0.250    0.450   -.4710E-01   -.4604E-01   0.1087E-01   0.1086E-01
300   200    0.250    0.600   -.1202       -.5409E-01   0.1179E-01   0.5168E-02
300   200    0.350    0.250   -.1100E-02   -.2676E-01   0.4554E-02   0.2437E-01
300   200    0.350    0.350   -.4080E-01   -.3479E-01   0.6696E-02   0.1288E-01
300   200    0.350    0.450   -.5110E-01   -.4061E-01   0.9458E-02   0.7211E-02
300   200    0.350    0.600   -.8800E-01   -.4673E-01   0.1061E-01   0.3345E-02
300   200    0.450    0.250   -.2940E-01   -.3091E-01   0.5862E-02   0.1803E-01
300   200    0.450    0.350   -.4250E-01   -.4043E-01   0.8310E-02   0.9511E-02
300   200    0.450    0.450   -.3880E-01   -.4783E-01   0.1134E-01   0.5267E-02
300   200    0.450    0.600   -.9840E-01   -.5592E-01   0.1233E-01   0.2413E-02
300   200    0.600    0.250   -.2410E-01   -.3499E-01   0.7434E-02   0.6919E-02
300   200    0.600    0.350   -.5240E-01   -.4695E-01   0.1026E-01   0.3658E-02
300   200    0.600    0.450   -.4770E-01   -.5716E-01   0.1371E-01   0.2022E-02
300   200    0.600    0.600   -.9570E-01   -.6947E-01   0.1376E-01   0.9244E-03
300   205    0.250    0.250   -.1410E-01   -.5840E-02   0.6340E-02   0.3277E-01
300   205    0.250    0.350   -.6400E-02   0.3964E-02   0.8869E-02   0.1789E-01
300   205    0.250    0.450   0.2700E-01   0.1455E-01   0.1276E-01   0.1047E-01
300   205    0.250    0.600   0.4270E-01   0.2768E-01   0.1379E-01   0.5098E-02
300   205    0.350    0.250   -.1600E-01   -.1294E-01   0.6075E-02   0.1888E-01
300   205    0.350    0.350   -.3800E-02   -.1068E-01   0.9109E-02   0.1011E-01
300   205    0.350    0.450   -.1070E-01   -.6366E-02   0.1322E-01   0.5763E-02
300   205    0.350    0.600   0.2300E-01   0.4360E-03   0.1432E-01   0.2728E-02
300   205    0.450    0.250   -.1200E-01   -.1363E-01   0.8118E-02   0.1113E-01
300   205    0.450    0.350   -.2590E-01   -.1547E-01   0.1251E-01   0.5855E-02
300   205    0.450    0.450   -.2410E-01   -.1596E-01   0.1804E-01   0.3260E-02
300   205    0.450    0.600   0.1700E-01   -.1533E-01   0.1961E-01   0.1503E-02
300   205    0.600    0.250   -.2520E-01   -.7533E-02   0.1082E-01   0.3074E-02
300   205    0.600    0.350   -.1460E-01   -.8764E-02   0.1643E-01   0.1599E-02
300   205    0.600    0.450   -.1950E-01   -.9698E-02   0.2328E-01   0.8794E-03
300   205    0.600    0.600   0.2900E-02   -.1026E-01   0.2614E-01   0.3994E-03
310   100    0.250    0.250   0.1570E-01   0.1127E-01   0.4393E-02   0.1566    
310   100    0.250    0.350   0.1270E-01   0.2173E-01   0.5962E-02   0.6924E-01
310   100    0.250    0.450   0.2530E-01   0.3274E-01   0.8822E-02   0.3327E-01
310   100    0.250    0.600   0.3100E-01   0.5316E-01   0.1096E-01   0.1200E-01
310   100    0.350    0.250   -.2300E-02   0.3006E-02   0.3500E-02   0.6344E-01
310   100    0.350    0.350   -.1000E-01   0.1031E-01   0.5418E-02   0.2755E-01
310   100    0.350    0.450   -.3500E-02   0.1937E-01   0.8103E-02   0.1301E-01
310   100    0.350    0.600   0.1600E-02   0.3845E-01   0.1010E-01   0.4540E-02
310   100    0.450    0.250   -.1790E-01   -.1190E-01   0.4627E-02   0.2482E-01
310   100    0.450    0.350   -.1990E-01   -.1104E-01   0.7129E-02   0.1037E-01
310   100    0.450    0.450   -.2180E-01   -.7305E-02   0.1061E-01   0.4694E-02
310   100    0.450    0.600   -.6800E-02   0.6297E-02   0.1321E-01   0.1505E-02
310   100    0.600    0.250   -.2450E-01   -.2266E-01   0.6028E-02   0.5808E-02
310   100    0.600    0.350   -.1760E-01   -.2861E-01   0.9328E-02   0.2323E-02
310   100    0.600    0.450   -.2050E-01   -.3234E-01   0.1381E-01   0.1000E-02
