h1,jet,z1,pt,P_exp,P(theo),err,unpol,err_x,err_x_l,err_x_r
300,999,0.25,0.13,0.0198,-0.007436,0.0072120000000000005,0.1557,0.13,0.13,0.07
300,999,0.25,0.34,-0.0078,-0.01485,0.002837,0.09504,0.14,0.14,0.16
300,999,0.26,0.6,-0.0033,-0.01288,0.0035789999999999997,0.02586,0.1,0.1,0.2
300,999,0.28,0.88,-0.0134,-0.006057,0.009888,0.0027649999999999997,0.08,0.08,0.72
300,999,0.34,0.13,-0.0301,-0.01151,0.014369999999999999,0.07287,0.13,0.13,0.07
300,999,0.35,0.34,-0.0251,-0.02561,0.003803,0.040780000000000004,0.14,0.14,0.16
300,999,0.35,0.62,0.0004,-0.02242,0.004569,0.01064,0.1,0.12,0.18
300,999,0.35,0.96,-0.0117,-0.008008,0.006981,0.0007249,0.08,0.16,0.64
300,999,0.44,0.13,-0.0683,-0.0277,0.02843,0.03168,0.13,0.13,0.07
300,999,0.44,0.35,-0.0534,-0.0559,0.007215000000000001,0.018680000000000002,0.14,0.15,0.15
300,999,0.45,0.63,-0.0431,-0.050339999999999996,0.008165,0.004378,0.1,0.13,0.17
300,999,0.45,0.99,-0.0228,-0.01609,0.0103,0.0002371,0.08,0.19,0.61
300,999,0.59,0.13,-0.0398,-0.04671,0.04765,0.008537000000000001,0.13,0.13,0.07
300,999,0.59,0.35,-0.0466,-0.09426,0.014769999999999998,0.005035,0.14,0.15,0.15
300,999,0.59,0.63,-0.0876,-0.08021,0.013359999999999999,0.001277,0.1,0.13,0.17
300,999,0.6,1.04,-0.067,-0.020909999999999998,0.01487,3.726e-05,0.08,0.24,0.56
310,999,0.25,0.13,-0.0009,-0.007436,0.007561,0.1557,0.13,0.13,0.07
310,999,0.25,0.34,-0.0069,-0.01485,0.003082,0.09504,0.14,0.14,0.16
310,999,0.26,0.6,-0.0034,-0.01288,0.004083,0.02586,0.1,0.1,0.2
310,999,0.28,0.88,-0.0002,-0.006057,0.01103,0.0027649999999999997,0.08,0.08,0.72
310,999,0.34,0.13,-0.0229,-0.01151,0.01546,0.07287,0.13,0.13,0.07
310,999,0.35,0.34,-0.0229,-0.02561,0.004102000000000001,0.040780000000000004,0.14,0.14,0.16
310,999,0.35,0.62,-0.0014,-0.02242,0.004924,0.01064,0.1,0.12,0.18
310,999,0.35,0.96,0.0038,-0.008008,0.007379999999999999,0.0007249,0.08,0.16,0.64
310,999,0.44,0.13,-0.0308,-0.0277,0.03082,0.03168,0.13,0.13,0.07
310,999,0.44,0.35,-0.0637,-0.0559,0.0076879999999999995,0.018680000000000002,0.14,0.15,0.15
310,999,0.45,0.63,-0.0303,-0.050339999999999996,0.008621,0.004378,0.1,0.13,0.17
310,999,0.45,0.99,-0.0151,-0.01609,0.01039,0.0002371,0.08,0.19,0.61
310,999,0.59,0.13,0.0912,-0.04671,0.05769,0.008537000000000001,0.13,0.13,0.07
310,999,0.59,0.35,-0.0743,-0.09426,0.0134,0.005035,0.14,0.15,0.15
310,999,0.59,0.63,-0.0743,-0.08021,0.013330000000000002,0.001277,0.1,0.13,0.17
310,999,0.6,1.04,-0.0741,-0.020909999999999998,0.01568,3.726e-05,0.08,0.24,0.56
