Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,200.0,0.25,0.15,-0.006222327891870716,-0.00817454523973501,-0.004241940170611636
1,300.0,200.0,0.25,0.222,-0.019610445332824786,-0.022517858404502128,-0.017152980081647402
2,300.0,200.0,0.25,0.294,-0.03191158216859445,-0.038058606476450985,-0.028839964120291273
3,300.0,200.0,0.25,0.36700000000000005,-0.04137992772177709,-0.05007863731029449,-0.036967762150512416
4,300.0,200.0,0.25,0.439,-0.04848163665832802,-0.05891542152351962,-0.042738024658434896
5,300.0,200.0,0.25,0.511,-0.054000025587721066,-0.06564357655047189,-0.047226785068884045
6,300.0,200.0,0.25,0.583,-0.058289126508764395,-0.07084542206151977,-0.05074002921781629
7,300.0,200.0,0.25,0.6559999999999999,-0.06164559377534115,-0.07494796524917516,-0.05349647280320959
8,300.0,200.0,0.25,0.728,-0.0643772983925882,-0.07825685313258632,-0.05574465450244094
9,300.0,200.0,0.25,0.8,-0.0665702153036099,-0.08093382670750963,-0.05754632838596431
10,300.0,200.0,0.35,0.15,-0.00024995591528240174,-0.0011055591118771233,0.00042809079288393223
11,300.0,200.0,0.35,0.222,-0.012471836028209468,-0.014782348102023904,-0.010534428736369469
12,300.0,200.0,0.35,0.294,-0.02171528876917897,-0.025387690245959535,-0.018485443209797288
13,300.0,200.0,0.35,0.36700000000000005,-0.028101702214527412,-0.032548900678741687,-0.024238173973446863
14,300.0,200.0,0.35,0.439,-0.032424848328971134,-0.03724113534387388,-0.02807572990818117
15,300.0,200.0,0.35,0.511,-0.03552794796776166,-0.04077592768056499,-0.030837970816122384
16,300.0,200.0,0.35,0.583,-0.03781859676076562,-0.04344151165193194,-0.03286907228495339
17,300.0,200.0,0.35,0.6559999999999999,-0.03945796053343685,-0.04548231515787163,-0.03430047899778052
18,300.0,200.0,0.35,0.728,-0.040867695702910836,-0.04714063722916717,-0.03546122086405934
19,300.0,200.0,0.35,0.8,-0.04201720618007446,-0.04833801601698372,-0.03633729305518776
20,300.0,200.0,0.45,0.15,0.0006528199164994239,3.373534050471091e-05,0.0012161827576009077
21,300.0,200.0,0.45,0.222,-0.015053177218067752,-0.018644199410619827,-0.0116950398438767
22,300.0,200.0,0.45,0.294,-0.025785632632163397,-0.031962718382954336,-0.019858494934710962
23,300.0,200.0,0.45,0.36700000000000005,-0.03250962801506847,-0.04030638289483546,-0.024969812675041638
24,300.0,200.0,0.45,0.439,-0.0364050847919884,-0.04508489022676464,-0.027977433475633782
25,300.0,200.0,0.45,0.511,-0.038798611122540336,-0.04798872320614554,-0.029846527001834527
26,300.0,200.0,0.45,0.583,-0.04024699118663686,-0.0497171472639991,-0.0309848991051481
27,300.0,200.0,0.45,0.6559999999999999,-0.0412182011883352,-0.050902863690041454,-0.031699216609107524
28,300.0,200.0,0.45,0.728,-0.041949056478435005,-0.0518159162210036,-0.032194161115999646
29,300.0,200.0,0.45,0.8,-0.04253612539737684,-0.05256211536623367,-0.03256984055298906
30,300.0,200.0,0.6,0.15,0.0015194721048462023,0.0009638363812020847,0.0020089439360622243
31,300.0,200.0,0.6,0.222,-0.02407356665191441,-0.027838150453444753,-0.020331789440083407
32,300.0,200.0,0.6,0.294,-0.041766572309806134,-0.04822621861660383,-0.035145374418812256
33,300.0,200.0,0.6,0.36700000000000005,-0.052822660802214615,-0.060956545495347875,-0.04437786022912954
34,300.0,200.0,0.6,0.439,-0.05929778040196247,-0.06841096252555205,-0.04978063402544563
35,300.0,200.0,0.6,0.511,-0.0628712035412106,-0.07256135181590317,-0.0527965259914511
36,300.0,200.0,0.6,0.583,-0.06512291649693795,-0.07515970104055644,-0.05466726178586631
37,300.0,200.0,0.6,0.6559999999999999,-0.06669187537056752,-0.07697546475180174,-0.05596466615791472
38,300.0,200.0,0.6,0.728,-0.067818341342719,-0.07828505226208833,-0.05688962112349192
