Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,200.0,0.25,0.15,-0.004383736818077047,-0.006076038831271162,-0.0025660047608650426
1,300.0,200.0,0.25,0.222,-0.01630466494620082,-0.019902795772323907,-0.012087692943939242
2,300.0,200.0,0.25,0.294,-0.026153118925643485,-0.031673491368439985,-0.02014267143878595
3,300.0,200.0,0.25,0.367,-0.03494256771559299,-0.04202922252954732,-0.02712484376326183
4,300.0,200.0,0.25,0.439,-0.04449053048394088,-0.053203450535345705,-0.03389609352117707
5,300.0,200.0,0.25,0.511,-0.05657075099593841,-0.0673321408080883,-0.04240600736373577
6,300.0,200.0,0.25,0.583,-0.07162052355999253,-0.08521183093909387,-0.05302155086631285
7,300.0,200.0,0.25,0.656,-0.08885537819513738,-0.10585860977223996,-0.06514258446546804
8,300.0,200.0,0.25,0.728,-0.10556260478013181,-0.12596295104807415,-0.07695476301299678
9,300.0,200.0,0.25,0.8,-0.11971988183005286,-0.14306212819442246,-0.08681067004003172
10,300.0,200.0,0.35,0.15,-0.003122991987321191,-0.004181653248724222,-0.0021688706381779374
11,300.0,200.0,0.35,0.222,-0.013932979413160919,-0.01692917268333121,-0.010026809129497714
12,300.0,200.0,0.35,0.294,-0.021162606060616467,-0.025162440956275775,-0.015481319486515857
13,300.0,200.0,0.35,0.367,-0.026929943845759013,-0.03146162754752876,-0.020038016245136365
14,300.0,200.0,0.35,0.439,-0.03293144046052961,-0.03828615709507093,-0.0248908701943183
15,300.0,200.0,0.35,0.511,-0.04051560935617164,-0.04712192246478189,-0.030957470570521582
16,300.0,200.0,0.35,0.583,-0.050047001643760386,-0.05824051508256348,-0.03844546129743661
17,300.0,200.0,0.35,0.656,-0.0610412107653559,-0.07108754572997289,-0.04702780052569269
18,300.0,200.0,0.35,0.728,-0.07160502559844471,-0.08346688816944642,-0.05522259199897406
19,300.0,200.0,0.35,0.8,-0.08040768205279475,-0.09380922734417721,-0.062011332184086124
20,300.0,200.0,0.45,0.15,-0.004143632711267933,-0.0051974778167260165,-0.003234897066842379
21,300.0,200.0,0.45,0.222,-0.018414440478506308,-0.02190066884936402,-0.014551531890867232
22,300.0,200.0,0.45,0.294,-0.02729911518063195,-0.032393745069138134,-0.021581027633136213
23,300.0,200.0,0.45,0.367,-0.033707986346799286,-0.039917776824870424,-0.026657802323301297
24,300.0,200.0,0.45,0.439,-0.0395305003132886,-0.0466983650359598,-0.03129920535121748
25,300.0,200.0,0.45,0.511,-0.04647221946351901,-0.05477538402553034,-0.03683151121469455
26,300.0,200.0,0.45,0.583,-0.054742480634665636,-0.06443017317827619,-0.04340396519245228
27,300.0,200.0,0.45,0.656,-0.06367570767211689,-0.07489719400784493,-0.050478845239056165
28,300.0,200.0,0.45,0.728,-0.07158846781515592,-0.08421038626564176,-0.056714442021568105
29,300.0,200.0,0.45,0.8,-0.07774275148709399,-0.09148394267830755,-0.06154133981638732
30,300.0,200.0,0.6,0.15,-0.006305191944297978,-0.00786133521053746,-0.00479601239491267
31,300.0,200.0,0.6,0.222,-0.027683221282831412,-0.03343394289539462,-0.02078518313748656
32,300.0,200.0,0.6,0.294,-0.04127239632202599,-0.04961203609296923,-0.030892195469141927
33,300.0,200.0,0.6,0.367,-0.049929146622372876,-0.059977224900647885,-0.03733379641933803
34,300.0,200.0,0.6,0.439,-0.05693936948304503,-0.06831692837998735,-0.042541135111991674
35,300.0,200.0,0.6,0.511,-0.06420605039435412,-0.076978877622056,-0.04794167491926701
36,300.0,200.0,0.6,0.583,-0.07182713651665172,-0.08608442424334216,-0.05360231992646415
37,300.0,200.0,0.6,0.656,-0.07911109117460532,-0.09480337950176,-0.05900442601418776
38,300.0,200.0,0.6,0.728,-0.08485199818810704,-0.1016914922326665,-0.06324821701628955
39,300.0,200.0,0.6,0.8,-0.08897646325289074,-0.10665047134572765,-0.06628714894372831
40,300.0,205.0,0.25,0.15,-0.0031788100092518742,-0.005171518755478524,-0.0014935163731969806
41,300.0,205.0,0.25,0.222,-0.006296043500663806,-0.010257624293787751,-0.0020377483818153543
42,300.0,205.0,0.25,0.294,-0.00439705981279721,-0.009649693132258545,0.0005506945914892748
43,300.0,205.0,0.25,0.367,-0.0004185789381482806,-0.006392187130263739,0.004629703465015975
44,300.0,205.0,0.25,0.439,0.0048347733975257455,-0.0017506147954626202,0.010536577917782163
45,300.0,205.0,0.25,0.511,0.011379713148389373,0.00396727429546006,0.017913874805349266
46,300.0,205.0,0.25,0.583,0.019230115517461958,0.01052049125474293,0.02685557920224326
47,300.0,205.0,0.25,0.656,0.027992267341631887,0.016925860997543986,0.03691482006784061
48,300.0,205.0,0.25,0.728,0.03679032423282126,0.023427351503563783,0.04697570758328653
49,300.0,205.0,0.25,0.8,0.04448571019708398,0.029162892706350127,0.055755661075508875
50,300.0,205.0,0.35,0.15,-0.002413664048660811,-0.0036749980475608685,-0.001373215420941768
51,300.0,205.0,0.35,0.222,-0.008949978105969647,-0.012439481542221038,-0.005574114480002452
52,300.0,205.0,0.35,0.294,-0.011429200915858246,-0.01610913690928307,-0.006646280122964024
53,300.0,205.0,0.35,0.367,-0.012058012862239138,-0.01755713173402033,-0.00648569394422943
54,300.0,205.0,0.35,0.439,-0.012140001357789658,-0.018559069439008046,-0.005724994804515287
55,300.0,205.0,0.35,0.511,-0.01227721357964606,-0.019938595536075458,-0.004891893378963142
56,300.0,205.0,0.35,0.583,-0.012294727891163813,-0.021903896377658254,-0.003884524351253727
57,300.0,205.0,0.35,0.656,-0.012625256400930002,-0.024287310261479872,-0.0027029019616180215
58,300.0,205.0,0.35,0.728,-0.012666857638154111,-0.026351539860737887,-0.0012527078285659993
59,300.0,205.0,0.35,0.8,-0.012475810720222118,-0.027872317124383744,0.00020538166260153037
60,300.0,205.0,0.45,0.15,-0.0026969107236657127,-0.003821495940900996,-0.0017046808488129569
61,300.0,205.0,0.45,0.222,-0.011265912577751091,-0.016163147290729332,-0.0068377606383181935
62,300.0,205.0,0.45,0.294,-0.01592460119135025,-0.023179903805064295,-0.009258960298369043
63,300.0,205.0,0.45,0.367,-0.01902538816366643,-0.02796242186943836,-0.010795273005531278
64,300.0,205.0,0.45,0.439,-0.02186350398571583,-0.032356697369305125,-0.012244567783112996
65,300.0,205.0,0.45,0.511,-0.02549925614210545,-0.03797735705134924,-0.01410472268251105
66,300.0,205.0,0.45,0.583,-0.030151823222267875,-0.04522176677090154,-0.016430587506237004
67,300.0,205.0,0.45,0.656,-0.03555043797425706,-0.053715003922907525,-0.01903241472666581
68,300.0,205.0,0.45,0.728,-0.04053360703627572,-0.061740934258672664,-0.02124323835656228
69,300.0,205.0,0.45,0.8,-0.04451822191338992,-0.06830678500584464,-0.022858372365200406
70,300.0,205.0,0.6,0.15,-0.002290446075200864,-0.0038888036933726862,-0.0012438769561941613
71,300.0,205.0,0.6,0.222,-0.009281841238658422,-0.016608304900243346,-0.004363990504647594
72,300.0,205.0,0.6,0.294,-0.013222090368119447,-0.02433640324486667,-0.00568169201926262
73,300.0,205.0,0.6,0.367,-0.01578172104713855,-0.029479982767416864,-0.006452185954150297
74,300.0,205.0,0.6,0.439,-0.01819442959331289,-0.034300262892536,-0.007210955224257022
75,300.0,205.0,0.6,0.511,-0.021172436779332334,-0.04022205978509594,-0.008170257608461729
76,300.0,205.0,0.6,0.583,-0.02473654439908657,-0.04743274805581343,-0.009217380451828077
77,300.0,205.0,0.6,0.656,-0.028576931157811746,-0.05538462263516747,-0.010197248420410546
78,300.0,205.0,0.6,0.728,-0.03182630913146953,-0.062465290778950626,-0.010744276236565107
79,300.0,205.0,0.6,0.8,-0.034194526585584,-0.06791187884897885,-0.01091410636171616
80,310.0,200.0,0.25,0.15,-0.0031788100092518742,-0.005171518755478524,-0.0014935163731969806
81,310.0,200.0,0.25,0.222,-0.006296043500663806,-0.010257624293787751,-0.0020377483818153543
82,310.0,200.0,0.25,0.294,-0.00439705981279721,-0.009649693132258545,0.0005506945914892748
83,310.0,200.0,0.25,0.367,-0.0004185789381482806,-0.006392187130263739,0.004629703465015975
84,310.0,200.0,0.25,0.439,0.0048347733975257455,-0.0017506147954626202,0.010536577917782163
85,310.0,200.0,0.25,0.511,0.011379713148389373,0.00396727429546006,0.017913874805349266
86,310.0,200.0,0.25,0.583,0.019230115517461958,0.01052049125474293,0.02685557920224326
87,310.0,200.0,0.25,0.656,0.027992267341631887,0.016925860997543986,0.03691482006784061
88,310.0,200.0,0.25,0.728,0.03679032423282126,0.023427351503563783,0.04697570758328653
89,310.0,200.0,0.25,0.8,0.04448571019708398,0.029162892706350127,0.055755661075508875
90,310.0,200.0,0.35,0.15,-0.002413664048660811,-0.0036749980475608685,-0.001373215420941768
91,310.0,200.0,0.35,0.222,-0.008949978105969647,-0.012439481542221038,-0.005574114480002452
92,310.0,200.0,0.35,0.294,-0.011429200915858246,-0.01610913690928307,-0.006646280122964024
93,310.0,200.0,0.35,0.367,-0.012058012862239138,-0.01755713173402033,-0.00648569394422943
94,310.0,200.0,0.35,0.439,-0.012140001357789658,-0.018559069439008046,-0.005724994804515287
95,310.0,200.0,0.35,0.511,-0.01227721357964606,-0.019938595536075458,-0.004891893378963142
96,310.0,200.0,0.35,0.583,-0.012294727891163813,-0.021903896377658254,-0.003884524351253727
97,310.0,200.0,0.35,0.656,-0.012625256400930002,-0.024287310261479872,-0.0027029019616180215
98,310.0,200.0,0.35,0.728,-0.012666857638154111,-0.026351539860737887,-0.0012527078285659993
99,310.0,200.0,0.35,0.8,-0.012475810720222118,-0.027872317124383744,0.00020538166260153037
100,310.0,200.0,0.45,0.15,-0.0026969107236657127,-0.003821495940900996,-0.0017046808488129569
101,310.0,200.0,0.45,0.222,-0.011265912577751091,-0.016163147290729332,-0.0068377606383181935
102,310.0,200.0,0.45,0.294,-0.01592460119135025,-0.023179903805064295,-0.009258960298369043
103,310.0,200.0,0.45,0.367,-0.01902538816366643,-0.02796242186943836,-0.010795273005531278
104,310.0,200.0,0.45,0.439,-0.02186350398571583,-0.032356697369305125,-0.012244567783112996
105,310.0,200.0,0.45,0.511,-0.02549925614210545,-0.03797735705134924,-0.01410472268251105
106,310.0,200.0,0.45,0.583,-0.030151823222267875,-0.04522176677090154,-0.016430587506237004
107,310.0,200.0,0.45,0.656,-0.03555043797425706,-0.053715003922907525,-0.01903241472666581
108,310.0,200.0,0.45,0.728,-0.04053360703627572,-0.061740934258672664,-0.02124323835656228
109,310.0,200.0,0.45,0.8,-0.04451822191338992,-0.06830678500584464,-0.022858372365200406
110,310.0,200.0,0.6,0.15,-0.002290446075200864,-0.0038888036933726862,-0.0012438769561941613
111,310.0,200.0,0.6,0.222,-0.009281841238658422,-0.016608304900243346,-0.004363990504647594
112,310.0,200.0,0.6,0.294,-0.013222090368119447,-0.02433640324486667,-0.00568169201926262
113,310.0,200.0,0.6,0.367,-0.01578172104713855,-0.029479982767416864,-0.006452185954150297
114,310.0,200.0,0.6,0.439,-0.01819442959331289,-0.034300262892536,-0.007210955224257022
115,310.0,200.0,0.6,0.511,-0.021172436779332334,-0.04022205978509594,-0.008170257608461729
116,310.0,200.0,0.6,0.583,-0.02473654439908657,-0.04743274805581343,-0.009217380451828077
117,310.0,200.0,0.6,0.656,-0.028576931157811746,-0.05538462263516747,-0.010197248420410546
118,310.0,200.0,0.6,0.728,-0.03182630913146953,-0.062465290778950626,-0.010744276236565107
119,310.0,200.0,0.6,0.8,-0.034194526585584,-0.06791187884897885,-0.01091410636171616
120,310.0,205.0,0.25,0.15,-0.004383736818077047,-0.006076038831271162,-0.0025660047608650426
121,310.0,205.0,0.25,0.222,-0.01630466494620082,-0.019902795772323907,-0.012087692943939242
122,310.0,205.0,0.25,0.294,-0.026153118925643485,-0.031673491368439985,-0.02014267143878595
123,310.0,205.0,0.25,0.367,-0.03494256771559299,-0.04202922252954732,-0.02712484376326183
124,310.0,205.0,0.25,0.439,-0.04449053048394088,-0.053203450535345705,-0.03389609352117707
125,310.0,205.0,0.25,0.511,-0.05657075099593841,-0.0673321408080883,-0.04240600736373577
126,310.0,205.0,0.25,0.583,-0.07162052355999253,-0.08521183093909387,-0.05302155086631285
127,310.0,205.0,0.25,0.656,-0.08885537819513738,-0.10585860977223996,-0.06514258446546804
128,310.0,205.0,0.25,0.728,-0.10556260478013181,-0.12596295104807415,-0.07695476301299678
129,310.0,205.0,0.25,0.8,-0.11971988183005286,-0.14306212819442246,-0.08681067004003172
130,310.0,205.0,0.35,0.15,-0.003122991987321191,-0.004181653248724222,-0.0021688706381779374
131,310.0,205.0,0.35,0.222,-0.013932979413160919,-0.01692917268333121,-0.010026809129497714
132,310.0,205.0,0.35,0.294,-0.021162606060616467,-0.025162440956275775,-0.015481319486515857
133,310.0,205.0,0.35,0.367,-0.026929943845759013,-0.03146162754752876,-0.020038016245136365
134,310.0,205.0,0.35,0.439,-0.03293144046052961,-0.03828615709507093,-0.0248908701943183
135,310.0,205.0,0.35,0.511,-0.04051560935617164,-0.04712192246478189,-0.030957470570521582
136,310.0,205.0,0.35,0.583,-0.050047001643760386,-0.05824051508256348,-0.03844546129743661
137,310.0,205.0,0.35,0.656,-0.0610412107653559,-0.07108754572997289,-0.04702780052569269
138,310.0,205.0,0.35,0.728,-0.07160502559844471,-0.08346688816944642,-0.05522259199897406
139,310.0,205.0,0.35,0.8,-0.08040768205279475,-0.09380922734417721,-0.062011332184086124
140,310.0,205.0,0.45,0.15,-0.004143632711267933,-0.0051974778167260165,-0.003234897066842379
141,310.0,205.0,0.45,0.222,-0.018414440478506308,-0.02190066884936402,-0.014551531890867232
142,310.0,205.0,0.45,0.294,-0.02729911518063195,-0.032393745069138134,-0.021581027633136213
143,310.0,205.0,0.45,0.367,-0.033707986346799286,-0.039917776824870424,-0.026657802323301297
144,310.0,205.0,0.45,0.439,-0.0395305003132886,-0.0466983650359598,-0.03129920535121748
145,310.0,205.0,0.45,0.511,-0.04647221946351901,-0.05477538402553034,-0.03683151121469455
146,310.0,205.0,0.45,0.583,-0.054742480634665636,-0.06443017317827619,-0.04340396519245228
147,310.0,205.0,0.45,0.656,-0.06367570767211689,-0.07489719400784493,-0.050478845239056165
148,310.0,205.0,0.45,0.728,-0.07158846781515592,-0.08421038626564176,-0.056714442021568105
149,310.0,205.0,0.45,0.8,-0.07774275148709399,-0.09148394267830755,-0.06154133981638732
150,310.0,205.0,0.6,0.15,-0.006305191944297978,-0.00786133521053746,-0.00479601239491267
151,310.0,205.0,0.6,0.222,-0.027683221282831412,-0.03343394289539462,-0.02078518313748656
152,310.0,205.0,0.6,0.294,-0.04127239632202599,-0.04961203609296923,-0.030892195469141927
153,310.0,205.0,0.6,0.367,-0.049929146622372876,-0.059977224900647885,-0.03733379641933803
154,310.0,205.0,0.6,0.439,-0.05693936948304503,-0.06831692837998735,-0.042541135111991674
155,310.0,205.0,0.6,0.511,-0.06420605039435412,-0.076978877622056,-0.04794167491926701
156,310.0,205.0,0.6,0.583,-0.07182713651665172,-0.08608442424334216,-0.05360231992646415
157,310.0,205.0,0.6,0.656,-0.07911109117460532,-0.09480337950176,-0.05900442601418776
158,310.0,205.0,0.6,0.728,-0.08485199818810704,-0.1016914922326665,-0.06324821701628955
159,310.0,205.0,0.6,0.8,-0.08897646325289074,-0.10665047134572765,-0.06628714894372831
