Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,100.0,0.25,0.15,-0.005502815292928743,-0.0077212388652059824,-0.003339525949464738
1,300.0,100.0,0.25,0.222,-0.020148096531766396,-0.02390059373709744,-0.015346033175851573
2,300.0,100.0,0.25,0.294,-0.033559763666410586,-0.03822552822766091,-0.026525587335761963
3,300.0,100.0,0.25,0.36700000000000005,-0.045954266873382985,-0.051607741809062926,-0.036955727880162555
4,300.0,100.0,0.25,0.439,-0.05872668188469797,-0.06565578037280198,-0.04750520649058954
5,300.0,100.0,0.25,0.511,-0.07356393806424084,-0.0819236412938643,-0.05958293852159253
6,300.0,100.0,0.25,0.583,-0.09113125052230361,-0.10107997442523839,-0.07378950299163083
7,300.0,100.0,0.25,0.6559999999999999,-0.11079785446024068,-0.12255993433334596,-0.08961952108660806
8,300.0,100.0,0.25,0.728,-0.13128344614669551,-0.1453682843536826,-0.10610733507391218
9,300.0,100.0,0.25,0.8,-0.1490467957100357,-0.16521451794894706,-0.1201266276066467
10,300.0,100.0,0.35,0.15,-0.0041794413194030985,-0.005360186340601689,-0.0031827389969419423
11,300.0,100.0,0.35,0.222,-0.017225753429228777,-0.020125755467546424,-0.013995781228054024
12,300.0,100.0,0.35,0.294,-0.02757928871913732,-0.0316916863128183,-0.022425416761423764
13,300.0,100.0,0.35,0.36700000000000005,-0.03679011015425935,-0.041876032174296356,-0.029915147638676864
14,300.0,100.0,0.35,0.439,-0.04619822600385455,-0.0526242960179406,-0.03755395579140975
15,300.0,100.0,0.35,0.511,-0.0571951965799057,-0.0654866172307125,-0.046480299248407346
16,300.0,100.0,0.35,0.583,-0.07037442624627888,-0.08099604722390955,-0.057046834893189624
17,300.0,100.0,0.35,0.6559999999999999,-0.08531962143206143,-0.09873860961793439,-0.06898532708833333
18,300.0,100.0,0.35,0.728,-0.10089093802434966,-0.1172842572816281,-0.08139213309709789
19,300.0,100.0,0.35,0.8,-0.1144934175790331,-0.13354916851735446,-0.09221394323148172
20,300.0,100.0,0.45,0.15,-0.00471035244483035,-0.005600924570302091,-0.0038705500959263835
21,300.0,100.0,0.45,0.222,-0.018607049476016553,-0.021247871204279022,-0.015239995618294503
22,300.0,100.0,0.45,0.294,-0.02855536248054831,-0.03301392052793875,-0.02294620781494836
23,300.0,100.0,0.45,0.36700000000000005,-0.03705667366091499,-0.043308781830712906,-0.02932242768670454
24,300.0,100.0,0.45,0.439,-0.045765068258342666,-0.05403785215281595,-0.035600174591604986
25,300.0,100.0,0.45,0.511,-0.05601155799806552,-0.06688597923653718,-0.042818898013682924
26,300.0,100.0,0.45,0.583,-0.06878429635356173,-0.08314881767781954,-0.051498374142156605
27,300.0,100.0,0.45,0.6559999999999999,-0.08416847654852148,-0.10322652777571974,-0.06165367466802926
28,300.0,100.0,0.45,0.728,-0.10106717269943735,-0.12606916040978033,-0.07239461079195661
29,300.0,100.0,0.45,0.8,-0.11653368083843735,-0.1474032046919273,-0.08185985589608169
30,300.0,100.0,0.6,0.15,-0.005307310327412128,-0.006109913421383053,-0.004446274297700854
31,300.0,100.0,0.6,0.222,-0.01978271210441784,-0.022766000987236985,-0.01652539612797492
32,300.0,100.0,0.6,0.294,-0.02924571261714709,-0.03362487535664927,-0.024170708291876262
33,300.0,100.0,0.6,0.36700000000000005,-0.03672218847363044,-0.042235652441438454,-0.029845397715085927
34,300.0,100.0,0.6,0.439,-0.04375928446645447,-0.05036339803496666,-0.03499239272174094
35,300.0,100.0,0.6,0.511,-0.051948913518058824,-0.060025349621319765,-0.04067453340734352
36,300.0,100.0,0.6,0.583,-0.06231010785282932,-0.07303150024162179,-0.047471168155144135
37,300.0,100.0,0.6,0.6559999999999999,-0.07565081489283679,-0.09028343335443884,-0.05567218492326961
38,300.0,100.0,0.6,0.728,-0.09221383844669556,-0.11245137946178091,-0.06473624912254292
39,300.0,100.0,0.6,0.8,-0.1108646092654975,-0.13920170542877192,-0.0734614201993342
40,300.0,105.0,0.25,0.15,-0.0008010987256171565,-0.002020125989566942,0.00013993137710284988
41,300.0,105.0,0.25,0.222,0.001979475417604523,-0.001487720150866014,0.004934518466113439
42,300.0,105.0,0.25,0.294,0.008135439759690957,0.0025073281130161226,0.012560799209102783
43,300.0,105.0,0.25,0.36700000000000005,0.015617218327567182,0.00783788388323746,0.02119192428135209
44,300.0,105.0,0.25,0.439,0.024434941790141395,0.014474849301935249,0.031061866346553838
45,300.0,105.0,0.25,0.511,0.03557906646443392,0.0231170621361949,0.04332633673252924
46,300.0,105.0,0.25,0.583,0.04959209406592339,0.03421777097447594,0.05856707320549088
47,300.0,105.0,0.25,0.6559999999999999,0.06589159876476748,0.04732958740496753,0.07646232726753241
48,300.0,105.0,0.25,0.728,0.08345831909269558,0.061669802690373976,0.09629147693731677
49,300.0,105.0,0.25,0.8,0.09890550602987638,0.0744408808397261,0.11397222380473171
50,300.0,105.0,0.35,0.15,-0.0023208187550512196,-0.0031573426925745134,-0.0016399369614781322
51,300.0,105.0,0.35,0.222,-0.006397713545847606,-0.008661284472070053,-0.0037591397729976562
52,300.0,105.0,0.35,0.294,-0.006645855994174917,-0.009840426681202932,-0.002326175665911396
53,300.0,105.0,0.35,0.36700000000000005,-0.004972220636388812,-0.008989979676099968,0.0007373172939647436
54,300.0,105.0,0.35,0.439,-0.002059496274040349,-0.006845872639715949,0.005076431824672436
55,300.0,105.0,0.35,0.511,0.00247484116373848,-0.00333980163903666,0.011238451896704344
56,300.0,105.0,0.35,0.583,0.009090534693714422,0.0012657286256059605,0.01974694604608088
