Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,200.0,0.25,0.15,-0.004752402684450347,-0.0063730183890632905,-0.0035222815450506634
1,300.0,200.0,0.25,0.222,-0.017406473424806383,-0.02064580876150888,-0.014682705890080734
2,300.0,200.0,0.25,0.294,-0.027839533602770465,-0.03266007827966685,-0.023710054474443767
3,300.0,200.0,0.25,0.36700000000000005,-0.03559942449289567,-0.04217782579811789,-0.03037135631732637
4,300.0,200.0,0.25,0.439,-0.04131742721135359,-0.04935941927760394,-0.035248231848826084
5,300.0,200.0,0.25,0.511,-0.045733076028936205,-0.05498739048604439,-0.03896823977565243
6,300.0,200.0,0.25,0.583,-0.04915564664033217,-0.0594000237352128,-0.04184612652141364
7,300.0,200.0,0.25,0.6559999999999999,-0.05184686251247561,-0.06289832786158012,-0.04407652004525574
8,300.0,200.0,0.25,0.728,-0.05404892561627382,-0.06579439521436765,-0.04582680088086402
9,300.0,200.0,0.25,0.8,-0.05580526945894564,-0.06810413629803813,-0.04716370359754561
10,300.0,200.0,0.35,0.15,-0.003126619970626691,-0.003957316597824896,-0.002502594461306348
11,300.0,200.0,0.35,0.222,-0.013260237621022507,-0.015995347402368357,-0.010836561836343878
12,300.0,200.0,0.35,0.294,-0.01963320694020439,-0.023477611102720855,-0.016082361626856535
13,300.0,200.0,0.35,0.36700000000000005,-0.023648641185858597,-0.027975772348564226,-0.019598698565440664
14,300.0,200.0,0.35,0.439,-0.0262504734415062,-0.030781155008458534,-0.02205669798748014
15,300.0,200.0,0.35,0.511,-0.028044147978272708,-0.032643570438879464,-0.023848008074954817
16,300.0,200.0,0.35,0.583,-0.029303354336091256,-0.03419573117093432,-0.025090219938101052
17,300.0,200.0,0.35,0.6559999999999999,-0.03022306155525531,-0.03534332958529316,-0.025872463801365393
18,300.0,200.0,0.35,0.728,-0.03092068220565181,-0.036190812286425726,-0.02644702561327079
19,300.0,200.0,0.35,0.8,-0.031455193335804967,-0.03683489244323582,-0.026877104673092733
20,300.0,200.0,0.45,0.15,-0.003992716434907952,-0.004885156700699681,-0.0031767331852948348
21,300.0,200.0,0.45,0.222,-0.017076127162837736,-0.0210889168021241,-0.013305153426125387
22,300.0,200.0,0.45,0.294,-0.02475580589367858,-0.030631175499274625,-0.019159029420524814
23,300.0,200.0,0.45,0.36700000000000005,-0.029212492037040953,-0.036148934201605476,-0.022559457224881996
24,300.0,200.0,0.45,0.439,-0.03162181646258891,-0.03909663894551399,-0.02442828608016361
25,300.0,200.0,0.45,0.511,-0.03304461502592544,-0.04082420314872587,-0.025535995527499942
26,300.0,200.0,0.45,0.583,-0.0339318765188514,-0.0419020122588023,-0.026212141383200646
27,300.0,200.0,0.45,0.6559999999999999,-0.03451739006715569,-0.04262385896258413,-0.026631742854967454
28,300.0,200.0,0.45,0.728,-0.034923566903671266,-0.04314037402770944,-0.02689024829849954
