Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,200.0,0.25,0.15,,,
1,300.0,200.0,0.25,0.222,,,
2,300.0,200.0,0.25,0.294,,,
3,300.0,200.0,0.25,0.36700000000000005,,,
4,300.0,200.0,0.25,0.439,,,
5,300.0,200.0,0.25,0.511,,,
6,300.0,200.0,0.25,0.583,,,
7,300.0,200.0,0.25,0.6559999999999999,,,
8,300.0,200.0,0.25,0.728,,,
9,300.0,200.0,0.25,0.8,,,
10,300.0,200.0,0.35,0.15,0.0018496301784805924,-0.0003319354608374386,0.003971753437719205
11,300.0,200.0,0.35,0.222,-0.010351356651165263,-0.013257378552101622,-0.007965219035343524
12,300.0,200.0,0.35,0.294,-0.024287476841380853,-0.0286767676595965,-0.019767254749362556
13,300.0,200.0,0.35,0.36700000000000005,-0.037099356621617195,-0.0438435493498889,-0.02963342016415342
14,300.0,200.0,0.35,0.439,-0.05010632444950167,-0.05921949280758051,-0.03982600499084431
15,300.0,200.0,0.35,0.511,-0.06571727619594805,-0.07744160403956095,-0.052046409551442456
16,300.0,200.0,0.35,0.583,-0.08499882551952766,-0.10005151795700477,-0.06686076872788538
17,300.0,200.0,0.35,0.6559999999999999,-0.1071450664918641,-0.1260208998307277,-0.08400008354501785
18,300.0,200.0,0.35,0.728,-0.1292919103324305,-0.15206115436990703,-0.10112601876846192
19,300.0,200.0,0.35,0.8,-0.14867706984712067,-0.1748687499683057,-0.11602037846998378
20,300.0,200.0,0.45,0.15,0.005709233548711026,0.0040521844760116246,0.007421127555054804
21,300.0,200.0,0.45,0.222,-0.009873467181540954,-0.012152920023895404,-0.008060334856380767
22,300.0,200.0,0.45,0.294,-0.025610076456700305,-0.029314895965819175,-0.021589914909510968
23,300.0,200.0,0.45,0.36700000000000005,-0.03836683620398133,-0.044206163182354825,-0.03206079821173277
24,300.0,200.0,0.45,0.439,-0.04980255912379585,-0.05763058690617448,-0.041364937564506966
25,300.0,200.0,0.45,0.511,-0.06249833776183509,-0.07223237309460356,-0.05177899378251481
26,300.0,200.0,0.45,0.583,-0.07748292741929032,-0.08972056358020361,-0.06405751685085119
27,300.0,200.0,0.45,0.6559999999999999,-0.09393500178561115,-0.10870457117066507,-0.0777141942649372
28,300.0,200.0,0.45,0.728,-0.10977633547975597,-0.1270450537105177,-0.09061053054968936
29,300.0,200.0,0.45,0.8,-0.12307872253759967,-0.14249408787368642,-0.10138633163215924
30,300.0,200.0,0.6,0.15,0.011015449061149922,0.007971266180979873,0.01338951069108925
31,300.0,200.0,0.6,0.222,-0.014987253791771054,-0.01791947248895945,-0.01151233945614568
32,300.0,200.0,0.6,0.294,-0.03974690232135438,-0.04635494047280362,-0.030710050966408005
33,300.0,200.0,0.6,0.36700000000000005,-0.05850482979692768,-0.06828357314083315,-0.044651151836003024
34,300.0,200.0,0.6,0.439,-0.07330438368001095,-0.08583733610556236,-0.05594677705108452
35,300.0,200.0,0.6,0.511,-0.08714475415086846,-0.10244819527906805,-0.06654885522835874
36,300.0,200.0,0.6,0.583,-0.10175063069289987,-0.11901149892919465,-0.07714960359884875
37,300.0,200.0,0.6,0.6559999999999999,-0.1151123826693885,-0.13549287718645617,-0.08774735812486391
38,300.0,200.0,0.6,0.728,-0.1269047486309008,-0.14947012852162986,-0.09607942165321576
