Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,200.0,0.25,0.15,-0.005723826669791072,-0.006874486987963649,-0.004087860693249629
1,300.0,200.0,0.25,0.222,-0.018012104387792733,-0.020841060358371313,-0.016736695278059443
2,300.0,200.0,0.25,0.294,-0.03029027445184425,-0.03596336058373389,-0.02736961760370281
3,300.0,200.0,0.25,0.36700000000000005,-0.042416708328911985,-0.05054185831521772,-0.03791487326968393
4,300.0,200.0,0.25,0.439,-0.056136452155592265,-0.06718578435547655,-0.049955479726664045
5,300.0,200.0,0.25,0.511,-0.07356090768497438,-0.08825504497024271,-0.06527040215456191
6,300.0,200.0,0.25,0.583,-0.09515406948091742,-0.11428161480670991,-0.08431711611628036
7,300.0,200.0,0.25,0.6559999999999999,-0.11977249189837122,-0.14396446568609547,-0.10604961055397234
8,300.0,200.0,0.25,0.728,-0.14378223530216927,-0.1728526102375964,-0.12720257781555577
9,300.0,200.0,0.25,0.8,-0.16412871289534048,-0.1973294771712585,-0.14515774021494635
10,300.0,200.0,0.35,0.15,-0.0004154662246449784,-0.0010205583772935202,0.00014324973673104477
11,300.0,200.0,0.35,0.222,-0.012238408984789607,-0.014306364733879015,-0.010352083062381272
12,300.0,200.0,0.35,0.294,-0.02313780224915198,-0.026703206733732332,-0.020064094425786584
13,300.0,200.0,0.35,0.36700000000000005,-0.03345221736658263,-0.038213379072982584,-0.029388900018517294
14,300.0,200.0,0.35,0.439,-0.044674648689924816,-0.050649169682723406,-0.03960052729310484
15,300.0,200.0,0.35,0.511,-0.058801782859192235,-0.06655477344103612,-0.052244886641914165
16,300.0,200.0,0.35,0.583,-0.07616750928765681,-0.08649750660303362,-0.06803330244270045
17,300.0,200.0,0.35,0.6559999999999999,-0.09633037462916602,-0.10953606142408677,-0.08619489842587727
18,300.0,200.0,0.35,0.728,-0.11620042868611034,-0.13188286268215377,-0.10404386170828873
19,300.0,200.0,0.35,0.8,-0.13325608788559615,-0.15143790399782153,-0.11935000906991132
20,300.0,200.0,0.45,0.15,0.00042962689337092304,4.36372173446216e-05,0.0008297227913601915
21,300.0,200.0,0.45,0.222,-0.012669643667613901,-0.015616994969254366,-0.009700175365073092
22,300.0,200.0,0.45,0.294,-0.022518149708518963,-0.027949006042964207,-0.017376673029609678
23,300.0,200.0,0.45,0.36700000000000005,-0.03038478433396817,-0.0376412201433502,-0.02366735624599786
24,300.0,200.0,0.45,0.439,-0.03782568264105212,-0.04657520140042038,-0.02978230219140354
25,300.0,200.0,0.45,0.511,-0.04649266548744363,-0.05690016907789513,-0.03696093629573589
26,300.0,200.0,0.45,0.583,-0.05664854749188588,-0.06884989007617474,-0.04538875066433005
27,300.0,200.0,0.45,0.6559999999999999,-0.06758683692947878,-0.08191096646192243,-0.05439742973913642
28,300.0,200.0,0.45,0.728,-0.07758737486050225,-0.09389210584856152,-0.062603148119095
29,300.0,200.0,0.45,0.8,-0.08553660288248068,-0.1034470189919053,-0.06910219461825574
30,300.0,200.0,0.6,0.15,0.0015334953958503915,0.00102718598258386,0.0020261550685363615
31,300.0,200.0,0.6,0.222,-0.025364125011129092,-0.03005288968390983,-0.020868853860658627
