Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,100.0,0.25,0.15,-0.008078906977244997,-0.010269178940588307,-0.005887315156167315
1,300.0,100.0,0.25,0.222,-0.024124014705926587,-0.027548826491811364,-0.021588058935446356
2,300.0,100.0,0.25,0.294,-0.03871172551778244,-0.04575567450348855,-0.03576856084120556
3,300.0,100.0,0.25,0.36700000000000005,-0.05075587064512249,-0.060511863310441394,-0.04625778626824728
4,300.0,100.0,0.25,0.439,-0.061206689378129675,-0.07309934985722544,-0.055133476179565995
5,300.0,100.0,0.25,0.511,-0.07162520519223488,-0.08541345093738993,-0.06402786232314117
6,300.0,100.0,0.25,0.583,-0.08282656753872593,-0.09915770899145013,-0.07368842484592886
7,300.0,100.0,0.25,0.6559999999999999,-0.09475192025844623,-0.11397421427836983,-0.08403463636949147
8,300.0,100.0,0.25,0.728,-0.1074863065177308,-0.12971789356722688,-0.09514989215779096
9,300.0,100.0,0.25,0.8,-0.11888286671200783,-0.1437675741221834,-0.10504916030494292
10,300.0,100.0,0.35,0.15,-0.001339312955274418,-0.0025703505879555353,-0.0005753652643576808
11,300.0,100.0,0.35,0.222,-0.016023926537098037,-0.01942171698603044,-0.013827605292544771
12,300.0,100.0,0.35,0.294,-0.02861987980815731,-0.033868919317856135,-0.025212611131484604
13,300.0,100.0,0.35,0.36700000000000005,-0.038535287293291025,-0.04536527804404748,-0.034167977954602836
14,300.0,100.0,0.35,0.439,-0.046706727834668386,-0.0549414405492689,-0.04150616843133276
15,300.0,100.0,0.35,0.511,-0.05441929882588226,-0.06410107558696591,-0.04832865243464249
16,300.0,100.0,0.35,0.583,-0.062374789967613,-0.07372007061671816,-0.05541662890298525
17,300.0,100.0,0.35,0.6559999999999999,-0.07091088943603646,-0.08398487404635524,-0.06290266260267086
18,300.0,100.0,0.35,0.728,-0.08010748671502683,-0.09510023466899532,-0.07070035258777133
19,300.0,100.0,0.35,0.8,-0.08860085089272905,-0.10509190327869788,-0.07805972869179956
20,300.0,100.0,0.45,0.15,-0.000720765973189219,-0.001466261419467026,-0.00023674923528240973
21,300.0,100.0,0.45,0.222,-0.01750978987170929,-0.021250458105213338,-0.015306644150467362
22,300.0,100.0,0.45,0.294,-0.03050976460209591,-0.03679523030098088,-0.02668762466198145
23,300.0,100.0,0.45,0.36700000000000005,-0.04011994394963741,-0.0484274800246025,-0.03496966149075903
24,300.0,100.0,0.45,0.439,-0.04752827471491735,-0.0575044339289295,-0.04123890872716653
25,300.0,100.0,0.45,0.511,-0.05410015170964131,-0.06602984877926618,-0.04662060033913494
26,300.0,100.0,0.45,0.583,-0.06091911902800174,-0.07460297368557317,-0.052080278727000245
27,300.0,100.0,0.45,0.6559999999999999,-0.0682370808376754,-0.08419071937735091,-0.057879371767963365
28,300.0,100.0,0.45,0.728,-0.07644159118532887,-0.09495288505020673,-0.06433292818816115
29,300.0,100.0,0.45,0.8,-0.08435041167305071,-0.10534805753156096,-0.07053598202876786
30,300.0,100.0,0.6,0.15,-0.0005406121671913444,-0.0009434612739028916,-0.000251913647723559
31,300.0,100.0,0.6,0.222,-0.019331923998551832,-0.021763861914048277,-0.01722395591278662
32,300.0,100.0,0.6,0.294,-0.032383716306589636,-0.03647765552861797,-0.02908948117821694
33,300.0,100.0,0.6,0.36700000000000005,-0.04116732727306878,-0.04637759310198273,-0.03705336432646863
34,300.0,100.0,0.6,0.439,-0.047120106068643544,-0.053066541444544604,-0.04249348376567496
35,300.0,100.0,0.6,0.511,-0.05204963737071603,-0.058587551578369694,-0.04701890614902556
36,300.0,100.0,0.6,0.583,-0.0567443000731749,-0.06383031702055172,-0.05088529937885477
37,300.0,100.0,0.6,0.6559999999999999,-0.0620130212599843,-0.07104435796286933,-0.05498625507613348
38,300.0,100.0,0.6,0.728,-0.06866678678240691,-0.08056095488189975,-0.06004284201041894
39,300.0,100.0,0.6,0.8,-0.0764020115298487,-0.09187040156370205,-0.0658459814123498
40,300.0,105.0,0.25,0.15,-0.0010598505178714074,-0.002517339909755052,-0.00010650286261771347
41,300.0,105.0,0.25,0.222,0.0022463697949943345,-0.0011956779731097811,0.005138893200613496
42,300.0,105.0,0.25,0.294,0.008896865521398411,0.003652786173952946,0.013301882985459788
43,300.0,105.0,0.25,0.36700000000000005,0.016321368072430644,0.00974650134377882,0.021939242556041447
44,300.0,105.0,0.25,0.439,0.024076873334498712,0.01647027567755645,0.03170497879272993
45,300.0,105.0,0.25,0.511,0.03276051320388067,0.024213711924485345,0.04255125362161653
46,300.0,105.0,0.25,0.583,0.04272060366004588,0.03322060406217684,0.05491567556436622
47,300.0,105.0,0.25,0.6559999999999999,0.05362723309461921,0.04313713004079502,0.06841979137588143
48,300.0,105.0,0.25,0.728,0.06529804307929238,0.05379697700390294,0.08284152539022724
49,300.0,105.0,0.25,0.8,0.07569907074145656,0.06330303913165534,0.09568536780496807
50,300.0,105.0,0.35,0.15,-0.0006592924976738779,-0.0012534474564917192,-0.0002831999802914234
51,300.0,105.0,0.35,0.222,-0.004333922502477284,-0.0066623625677623595,-0.0019880901429130443
52,300.0,105.0,0.35,0.294,-0.004002527480924175,-0.007931413966203558,0.0003865421172631277
53,300.0,105.0,0.35,0.36700000000000005,-0.0016912166786341783,-0.006599534522675566,0.004436005619486949
54,300.0,105.0,0.35,0.439,0.0017051843813469844,-0.003999928305661944,0.009297208154919606
55,300.0,105.0,0.35,0.511,0.006099959700713483,-0.00018938836212067353,0.0151159535937129
56,300.0,105.0,0.35,0.583,0.011479994661837975,0.004673840310671946,0.021982461875160994
57,300.0,105.0,0.35,0.6559999999999999,0.01762599598373666,0.010288936962156395,0.029717137131716646
58,300.0,105.0,0.35,0.728,0.02439344170136671,0.0165246638760447,0.03816607091332112
59,300.0,105.0,0.35,0.8,0.030552606692993176,0.022209605638409225,0.04567050071088643
60,300.0,105.0,0.45,0.15,-0.0005298319428466992,-0.0010771009557948713,-0.00017278273273101135
61,300.0,105.0,0.45,0.222,-0.01103592143290505,-0.013016908307837628,-0.009759225548163754
62,300.0,105.0,0.45,0.294,-0.016331579094232718,-0.019178628537433465,-0.014517550975922383
