Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,100.0,0.25,0.15,,,
1,300.0,100.0,0.25,0.222,,,
2,300.0,100.0,0.25,0.294,,,
3,300.0,100.0,0.25,0.36700000000000005,,,
4,300.0,100.0,0.25,0.439,,,
5,300.0,100.0,0.25,0.511,,,
6,300.0,100.0,0.25,0.583,,,
7,300.0,100.0,0.25,0.6559999999999999,,,
8,300.0,100.0,0.25,0.728,,,
9,300.0,100.0,0.25,0.8,,,
10,300.0,100.0,0.35,0.15,0.00027881997048963963,-0.0018079970350835303,0.002536180591639106
11,300.0,100.0,0.35,0.222,-0.013944715728980083,-0.016708450943300094,-0.010934742861772803
12,300.0,100.0,0.35,0.294,-0.03130164058480549,-0.03457755842080406,-0.026367081393672755
13,300.0,100.0,0.35,0.36700000000000005,-0.048160468051455456,-0.0531124396328743,-0.039512781381564104
14,300.0,100.0,0.35,0.439,-0.065008414867568,-0.07174039290976944,-0.052667356926073876
15,300.0,100.0,0.35,0.511,-0.08379272007117466,-0.0923057648660419,-0.06736097499879334
16,300.0,100.0,0.35,0.583,-0.1054522032029241,-0.11652149314403706,-0.08452852953330801
17,300.0,100.0,0.35,0.6559999999999999,-0.12963065315625913,-0.1436268209540538,-0.10358564907513047
18,300.0,100.0,0.35,0.728,-0.15511143840654792,-0.1721931161264731,-0.12347473896085294
19,300.0,100.0,0.35,0.8,-0.1775804278796877,-0.19769862498595708,-0.14150680423304296
20,300.0,100.0,0.45,0.15,0.003172874034074812,0.001783332966933092,0.004282092597243103
21,300.0,100.0,0.45,0.222,-0.012096918126403502,-0.014134850465234852,-0.009919775041571837
22,300.0,100.0,0.45,0.294,-0.028971623806707467,-0.03395858750355151,-0.022948299140618335
23,300.0,100.0,0.45,0.36700000000000005,-0.04452738220166945,-0.05251782776434481,-0.03437444948523973
24,300.0,100.0,0.45,0.439,-0.059665052710324684,-0.07078230172251934,-0.04530435257193854
25,300.0,100.0,0.45,0.511,-0.07659356631688695,-0.09141920926872427,-0.05741039245785037
26,300.0,100.0,0.45,0.583,-0.09655213193719606,-0.11595924812901333,-0.07137558707021274
27,300.0,100.0,0.45,0.6559999999999999,-0.1196272240863133,-0.14453646687580646,-0.08726200464926073
28,300.0,100.0,0.45,0.728,-0.14433772134813924,-0.1753676614124701,-0.1034394277295921
29,300.0,100.0,0.45,0.8,-0.16667395061348467,-0.20338484602287837,-0.11761021976701085
30,300.0,100.0,0.6,0.15,0.004651820708496146,0.0034696425862170773,0.0056243289063236095
31,300.0,100.0,0.6,0.222,-0.012430056757104579,-0.014314165510136326,-0.010238693459210094
32,300.0,100.0,0.6,0.294,-0.028929077342875135,-0.03323347313773442,-0.023138603332098016
33,300.0,100.0,0.6,0.36700000000000005,-0.042796302051756815,-0.049129077274224275,-0.03354739919681997
34,300.0,100.0,0.6,0.439,-0.05586446762957755,-0.06461325710182422,-0.04275914609837126
35,300.0,100.0,0.6,0.511,-0.07013175508768703,-0.08214367329026828,-0.05272146136530116
36,300.0,100.0,0.6,0.583,-0.08748694353489372,-0.10400251206635575,-0.06395132717760947
37,300.0,100.0,0.6,0.6559999999999999,-0.1094006412799669,-0.13230041555831018,-0.07683757834982705
38,300.0,100.0,0.6,0.728,-0.136206461181512,-0.1682074899071897,-0.09085230905715873
39,300.0,100.0,0.6,0.8,-0.16578742832561819,-0.21144085463631185,-0.10490559692646094
40,300.0,105.0,0.25,0.15,,,
41,300.0,105.0,0.25,0.222,,,
42,300.0,105.0,0.25,0.294,,,
43,300.0,105.0,0.25,0.36700000000000005,,,
44,300.0,105.0,0.25,0.439,,,
45,300.0,105.0,0.25,0.511,,,
46,300.0,105.0,0.25,0.583,,,
47,300.0,105.0,0.25,0.6559999999999999,,,
48,300.0,105.0,0.25,0.728,,,
49,300.0,105.0,0.25,0.8,,,
50,300.0,105.0,0.35,0.15,-7.385369469509591e-05,-0.0008679195709031911,0.001145945815071502
51,300.0,105.0,0.35,0.222,-0.0021740125015318247,-0.0048960188307459,3.372605853884948e-05
52,300.0,105.0,0.35,0.294,-0.0004972131322868382,-0.004225110466450225,0.004453157154346502
53,300.0,105.0,0.35,0.36700000000000005,0.00423654534117791,-0.0011554102614410356,0.01149950121708513
54,300.0,105.0,0.35,0.439,0.011256738241001079,0.0039179798132078615,0.02056962124381098
55,300.0,105.0,0.35,0.511,0.021047337104130256,0.010910636508996699,0.03240689105902747
56,300.0,105.0,0.35,0.583,0.03417878337084244,0.02059406373984396,0.04771079100197257
57,300.0,105.0,0.35,0.6559999999999999,0.050213471909119935,0.03270446564598117,0.06616974223891998
58,300.0,105.0,0.35,0.728,0.06833845022701299,0.046499029351933494,0.0861645872599975
59,300.0,105.0,0.35,0.8,0.08491028218453717,0.059198425031052396,0.10469806401103861
60,300.0,105.0,0.45,0.15,0.0023509913770577992,0.0013627684289255692,0.003245466875022005
61,300.0,105.0,0.45,0.222,-0.007334060270616642,-0.008714371108710029,-0.006073192312059577
62,300.0,105.0,0.45,0.294,-0.014544129240277932,-0.016794195972145893,-0.011382229218685713
63,300.0,105.0,0.45,0.36700000000000005,-0.01846949505900437,-0.021788160410253866,-0.013585222445414788
64,300.0,105.0,0.45,0.439,-0.01993601787830625,-0.024362214763370554,-0.013245807799045882
65,300.0,105.0,0.45,0.511,-0.01909162828622639,-0.024807137296831195,-0.010406414850719272
66,300.0,105.0,0.45,0.583,-0.015397516747266412,-0.022767464591165,-0.004381373233553501
67,300.0,105.0,0.45,0.6559999999999999,-0.008414912422638624,-0.018195004696982542,0.005204736241949307
68,300.0,105.0,0.45,0.728,0.0020947931582783225,-0.011363128195175225,0.01849720288593489
69,300.0,105.0,0.45,0.8,0.01345567749385052,-0.003547655641857925,0.032243648906308875
70,300.0,105.0,0.6,0.15,0.0042514868916445295,0.003139028757329599,0.005175027350668588
71,300.0,105.0,0.6,0.222,-0.010728862858333748,-0.01237095911378254,-0.00904654443321379
72,300.0,105.0,0.6,0.294,-0.023663911722930097,-0.027214009514704506,-0.01946798667378623
73,300.0,105.0,0.6,0.36700000000000005,-0.03305670184461511,-0.03798349721839544,-0.027010940867901016
