Unnamed: 0,had1,had2,z1,z2,conv,mins,maxx
0,300.0,100.0,0.25,0.15,-0.007528573401950009,-0.009315188349126577,-0.005334547512177274
1,300.0,100.0,0.25,0.222,-0.021900391993166082,-0.025202263300449106,-0.019224989495375336
2,300.0,100.0,0.25,0.294,-0.03562614031688901,-0.041602253242726185,-0.03265341228268482
3,300.0,100.0,0.25,0.36700000000000005,-0.04855594907557703,-0.05747017004631869,-0.04425288933560563
4,300.0,100.0,0.25,0.439,-0.06197897829279727,-0.07374814850981923,-0.05607080036332823
5,300.0,100.0,0.25,0.511,-0.07772174008528059,-0.09259781287934846,-0.07001031974680859
6,300.0,100.0,0.25,0.583,-0.09649415229686958,-0.11489727230311653,-0.08664445823994299
7,300.0,100.0,0.25,0.6559999999999999,-0.11766842062202905,-0.1399690211224611,-0.10545511250918216
8,300.0,100.0,0.25,0.728,-0.13992642151231702,-0.16615366163413336,-0.12519800266374587
9,300.0,100.0,0.25,0.8,-0.15931545612438697,-0.18939281625172516,-0.14235878371077665
10,300.0,100.0,0.35,0.15,-0.0015934420972784995,-0.002527154941801658,-0.0008183263104533389
11,300.0,100.0,0.35,0.222,-0.016320766245409457,-0.018917407928631027,-0.014052166602747947
12,300.0,100.0,0.35,0.294,-0.029733528488243705,-0.03374872232778747,-0.02615599616371117
13,300.0,100.0,0.35,0.36700000000000005,-0.04191960858142061,-0.04749536734591026,-0.03718120273283591
14,300.0,100.0,0.35,0.439,-0.054164243653201924,-0.06137613202384461,-0.04797696995974328
15,300.0,100.0,0.35,0.511,-0.06818937752509388,-0.07730137369103082,-0.060006355757607946
16,300.0,100.0,0.35,0.583,-0.08473781303648253,-0.09628982106003027,-0.0742518939139744
17,300.0,100.0,0.35,0.6559999999999999,-0.10377166890312828,-0.11832475220676573,-0.09035016854550366
18,300.0,100.0,0.35,0.728,-0.12397328356212,-0.1420554424250273,-0.10690971026490327
19,300.0,100.0,0.35,0.8,-0.14146094936927137,-0.16288041249439789,-0.12184855578559824
20,300.0,100.0,0.45,0.15,-0.0006037376405650618,-0.0009853738067906615,-0.0002524163533661516
21,300.0,100.0,0.45,0.222,-0.012428196880041108,-0.013978822846595447,-0.010943581124440776
22,300.0,100.0,0.45,0.294,-0.021443343842734986,-0.023967526911709214,-0.018988638183862813
23,300.0,100.0,0.45,0.36700000000000005,-0.028907538597702526,-0.032324823893552186,-0.025648656510765092
24,300.0,100.0,0.45,0.439,-0.03602135335728306,-0.040466957502469945,-0.03199318742685727
25,300.0,100.0,0.45,0.511,-0.043981241044923416,-0.04971471335287649,-0.03904964624275234
26,300.0,100.0,0.45,0.583,-0.05349901718963323,-0.060715305596766946,-0.04735072150854965
27,300.0,100.0,0.45,0.6559999999999999,-0.0644926153757041,-0.073790288869996,-0.0564335884178163
28,300.0,100.0,0.45,0.728,-0.07611641169470884,-0.08783406823597777,-0.06581839249275316
29,300.0,100.0,0.45,0.8,-0.0864764541750978,-0.10048586851305615,-0.07400276979946649
30,300.0,100.0,0.6,0.15,-0.0004791429387945388,-0.0007416436521490421,-0.00023784519514418972
31,300.0,100.0,0.6,0.222,-0.01568774813796289,-0.018274236675586444,-0.01320406128071508
32,300.0,100.0,0.6,0.294,-0.025669629440502287,-0.029846833100797034,-0.021689489700513296
33,300.0,100.0,0.6,0.36700000000000005,-0.03286933240672955,-0.0381541415047137,-0.027856969630765355
34,300.0,100.0,0.6,0.439,-0.03892736805345789,-0.04510402826292031,-0.032972721458372066
35,300.0,100.0,0.6,0.511,-0.044764495241822126,-0.05174462505109136,-0.03819261863676556
36,300.0,100.0,0.6,0.583,-0.05084602438011852,-0.058576411170527726,-0.04360738600586066
37,300.0,100.0,0.6,0.6559999999999999,-0.056948416806079295,-0.06528632729083624,-0.04920112785682577
38,300.0,100.0,0.6,0.728,-0.06183538058420865,-0.0703638110557424,-0.054007704307250645
39,300.0,100.0,0.6,0.8,-0.06484108545912938,-0.07305875105718135,-0.05743607320262764
40,300.0,105.0,0.25,0.15,-0.0015791528541546829,-0.003041808098589793,-0.00033810797852882604
41,300.0,105.0,0.25,0.222,0.0013934623615593925,-0.002458591252688511,0.004185771123128264
42,300.0,105.0,0.25,0.294,0.007750281441401577,0.001969286361164828,0.012308651073848894
43,300.0,105.0,0.25,0.36700000000000005,0.015597990431601526,0.008419145122248273,0.021935243242960648
44,300.0,105.0,0.25,0.439,0.02495146124521924,0.016560438296414088,0.03314775687781771
45,300.0,105.0,0.25,0.511,0.03688824796327681,0.02727616815247299,0.047273796510498525
46,300.0,105.0,0.25,0.583,0.05203522304903535,0.041165282525555874,0.06514867862822088
47,300.0,105.0,0.25,0.6559999999999999,0.06983194121980554,0.05702213022635758,0.08663652323673114
48,300.0,105.0,0.25,0.728,0.08922856946713516,0.07407507746998825,0.1101631802555067
49,300.0,105.0,0.25,0.8,0.10640890972868022,0.08927643323210503,0.13095252309997982
50,300.0,105.0,0.35,0.15,-0.0008721031073470134,-0.0013661987520116388,-0.00046389676796655265
51,300.0,105.0,0.35,0.222,-0.005662875256890708,-0.00802917626722394,-0.0036398243202905366
52,300.0,105.0,0.35,0.294,-0.006071706439479281,-0.010303586533514075,-0.002150996035231204
53,300.0,105.0,0.35,0.36700000000000005,-0.003960202186324234,-0.00978161187462938,0.0015815386359168278
54,300.0,105.0,0.35,0.439,-0.00014278176789141658,-0.007376915326705654,0.007159274986289907
55,300.0,105.0,0.35,0.511,0.005768219274508246,-0.0030049370320466666,0.015170759972672056
56,300.0,105.0,0.35,0.583,0.014271539104771122,0.0038857410158325265,0.026343539641091287
57,300.0,105.0,0.35,0.6559999999999999,0.025215055443168398,0.013108620206402985,0.040441527904631805
58,300.0,105.0,0.35,0.728,0.03792969567205759,0.02431203641409288,0.05646005474842758
59,300.0,105.0,0.35,0.8,0.049875506984557984,0.03496634870179968,0.07133412838882315
60,300.0,105.0,0.45,0.15,-0.0005328811611488586,-0.000863097437138919,-0.00022541788655630732
61,300.0,105.0,0.45,0.222,-0.009917253607858657,-0.011393793913526379,-0.008334928455965701
62,300.0,105.0,0.45,0.294,-0.015440998492316043,-0.017907036072550616,-0.012721607014535157
63,300.0,105.0,0.45,0.36700000000000005,-0.018796007623014428,-0.022079213421815458,-0.015149806282140401
64,300.0,105.0,0.45,0.439,-0.020903181475926513,-0.025018391894939603,-0.016201917244003623
65,300.0,105.0,0.45,0.511,-0.022113889188262355,-0.027058955786481282,-0.015961928873177003
66,300.0,105.0,0.45,0.583,-0.021918549604432378,-0.02832351130010348,-0.014052927876826332
67,300.0,105.0,0.45,0.6559999999999999,-0.01999898649939406,-0.0282309600219969,-0.009933882499658481
68,300.0,105.0,0.45,0.728,-0.015708352721908864,-0.02598649390297527,-0.0032571990341249517
69,300.0,105.0,0.45,0.8,-0.010272667640609431,-0.02242654964726159,0.00435962337654335
70,300.0,105.0,0.6,0.15,-0.00048231860736912567,-0.0007460662148272278,-0.00023993249007049286
71,300.0,105.0,0.6,0.222,-0.015662766874423174,-0.018235426116325316,-0.013178145472582866
72,300.0,105.0,0.6,0.294,-0.025567036742804947,-0.029748526516262617,-0.021593039304071405
73,300.0,105.0,0.6,0.36700000000000005,-0.032647351006901366,-0.0379386021698144,-0.02765196941530927
