Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
0,300.0,200.0,0.25,0.15,-0.006257751496071723,0.004919839904806644,-0.0021823645002154216,-0.0011656940143772718,-0.006461783761336336,-0.0006952424703520541,-0.0006797994573024271
1,300.0,200.0,0.25,0.222,-0.020670742482277876,0.010109169087967667,-0.0043436948748911955,-0.0033632429659785352,-0.020514990254333763,-0.0013837840356076185,-0.0013633050901956472
2,300.0,200.0,0.25,0.294,-0.034052966158690676,0.011225594061777389,-0.004773859923335073,-0.004737266902982218,-0.032816590089861486,-0.001520823018284305,-0.0014819935089151004
3,300.0,200.0,0.25,0.36700000000000005,-0.04434452605546238,0.010908318994620895,-0.004638084536413214,-0.005433900724777175,-0.04231415869998406,-0.0014775686419382626,-0.0014308724418702792
4,300.0,200.0,0.25,0.439,-0.0520557588801811,0.010295698519684919,-0.004376354990413114,-0.005688700979213481,-0.049586920591780444,-0.0013941886675539344,-0.0013445155087706382
5,300.0,200.0,0.25,0.511,-0.05800286209586442,0.009471476733272399,-0.004022825562989884,-0.005763986715957702,-0.05520804476048342,-0.0012815637268349988,-0.0012380572634796438
6,300.0,200.0,0.25,0.583,-0.06262623398661257,0.00839389014970948,-0.0035652413484611365,-0.0057984490800180285,-0.059472787580358184,-0.0011357897373517262,-0.001090010657924404
7,300.0,200.0,0.25,0.6559999999999999,-0.06623478811817346,0.007114509409837575,-0.003022529911704271,-0.005847794171529255,-0.06264433327214307,-0.0009628965107885589,-0.0009246060952720452
8,300.0,200.0,0.25,0.728,-0.06919605667163445,0.00564583626557241,-0.0023940389996747313,-0.005922654130067086,-0.06505807229329418,-0.0007626762569170827,-0.0007294963725798631
9,300.0,200.0,0.25,0.8,-0.0715368051893503,0.004258380536873667,-0.0018063069496322302,-0.006006861669323657,-0.06684399598032505,-0.0005754406771886321,-0.0005524741106451251
10,300.0,200.0,0.35,0.15,-0.0001352414858426014,4.976722176604085e-05,-3.6892004255774374e-05,-7.10816891417989e-05,-6.482657660798905e-05,-6.373645434095995e-06,-7.597634016196313e-06
11,300.0,200.0,0.35,0.222,-0.013174664443078151,0.0027683712005609653,-0.002422502914905955,-0.007060471027218531,-0.005479164332865543,-0.00041852360570129654,-0.0005552003324912919
12,300.0,200.0,0.35,0.294,-0.023098798479219442,0.003622138907391313,-0.0031660783426992346,-0.011962681979649269,-0.010364811828030458,-0.0005469873805995849,-0.0007318645161810305
13,300.0,200.0,0.35,0.36700000000000005,-0.029984964754482254,0.003785426377145108,-0.003297620040456584,-0.014725270700598177,-0.014447074152503219,-0.0005697131760183346,-0.0007600370314832137
14,300.0,200.0,0.35,0.439,-0.034658534236060995,0.0037349880105930627,-0.00325020300448892,-0.016111661462013777,-0.017754400107416447,-0.0005615211739601548,-0.000742607554265759
15,300.0,200.0,0.35,0.511,-0.03800807626264185,0.003548355656193623,-0.003082073123086627,-0.016831049526280267,-0.02037284453757206,-0.0005324742226612956,-0.0007033790583221533
