Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
0,300.0,100.0,0.25,0.15,-0.007227205601422821,-0.00617520044878126,0.0017865864332297606,0.0003045518949885023,0.006386037799059384,0.0009287811361930739,0.0008027437177196724
1,300.0,100.0,0.25,0.222,-0.023297810774614066,0.005121512283272306,-0.0018495742397824403,-0.00031122391702646454,-0.006223567556346847,-0.0008335648579444131,-0.0008203299611927733
2,300.0,100.0,0.25,0.294,-0.03944028891318008,0.012731026058720254,-0.005326373818046355,-0.0006955320418067215,-0.017799840985033302,-0.0020316529614639416,-0.0018332966769231888
3,300.0,100.0,0.25,0.36700000000000005,-0.05454799872899964,0.016804270605960372,-0.008145819578190185,-0.0009034200423323257,-0.026824091886045898,-0.00270926977096412,-0.0023812518502690436
4,300.0,100.0,0.25,0.439,-0.07006912680439421,0.018925624341340597,-0.010619291538354033,-0.001003510825821264,-0.03466776945003107,-0.003062311569576807,-0.002645073054370906
5,300.0,100.0,0.25,0.511,-0.08797992357840731,0.019663170469464804,-0.013110861267757606,-0.0010339503699233854,-0.04253812975839035,-0.003200226101294186,-0.002725306187706574
6,300.0,100.0,0.25,0.583,-0.10914313254062862,0.019171409821501523,-0.01572939583058662,-0.0009941300270017088,-0.050964998381726676,-0.0031169509738981794,-0.0026203469651772723
7,300.0,100.0,0.25,0.6559999999999999,-0.1327727668074633,0.017444943986370535,-0.018418785040972656,-0.0008894036435894546,-0.05976832910321363,-0.002829356950283448,-0.002344307158014478
8,300.0,100.0,0.25,0.728,-0.15734438217135574,0.01443998901937531,-0.020970957332803415,-0.0007248401407256127,-0.06837379227261575,-0.002333198708653834,-0.0019105475253749346
9,300.0,100.0,0.25,0.8,-0.1785651075236104,0.011141428035167805,-0.02304600815240836,-0.0005502574658140992,-0.07568303181692548,-0.0017895891066217124,-0.001450379167160627
10,300.0,100.0,0.35,0.15,-0.0010983769020486691,-0.004169956452969979,0.003334003076870295,0.000861516843702416,0.004296815879504594,0.0007660769083166889,0.0009580778622386702
11,300.0,100.0,0.35,0.222,-0.01610378481454603,0.0030221364737153204,-0.002829295373030303,-0.0005997614138086037,-0.0036841430091216335,-0.0005467093871724649,-0.0006669842120852051
12,300.0,100.0,0.35,0.294,-0.02973884696540539,0.008442686269142581,-0.009176606208840523,-0.0016421920884638235,-0.011886020958206801,-0.0015283800907967566,-0.00182625319168355
13,300.0,100.0,0.35,0.36700000000000005,-0.04214252555184417,0.01144766950218196,-0.014294601121523623,-0.002238893711541221,-0.018364868412370203,-0.0020821192634146723,-0.002489834663840825
14,300.0,100.0,0.35,0.439,-0.05458491533574287,0.013121630114586308,-0.018884858109513913,-0.0025469275264158858,-0.024148766776216257,-0.002388330220094727,-0.0028323936991163797
15,300.0,100.0,0.35,0.511,-0.06882315698764488,0.013995710773251428,-0.02380112140581971,-0.002686358742497379,-0.03031905879350581,-0.0025483331747713656,-0.002987452723683564
16,300.0,100.0,0.35,0.583,-0.08542462572500943,0.014008275575583215,-0.029296543777368605,-0.0026538068082888216,-0.03724323261498696,-0.002549393340724652,-0.0029512522851590658
17,300.0,100.0,0.35,0.6559999999999999,-0.10431986422970076,0.013072936686449314,-0.035240788762328994,-0.0024435356947521184,-0.04478100412500391,-0.00238006782036848,-0.0027174134456512743
18,300.0,100.0,0.35,0.728,-0.12376962380963821,0.011068078668453498,-0.04120062485216456,-0.0020446909752367152,-0.05241925751798058,-0.0020157251575386196,-0.002273865186517652
19,300.0,100.0,0.35,0.8,-0.14118726822659722,0.0086815553397087,-0.04628392659423757,-0.00158774003412311,-0.05901177674549177,-0.0015814379885394627,-0.001765698011365713
20,300.0,100.0,0.45,0.15,-0.000509324490917686,-0.0012869935751533546,0.003708647274016356,0.002311594373960534,0.0013464996147773537,0.0004293337666845393,0.0012674094206744293
21,300.0,100.0,0.45,0.222,-0.016791143457695633,0.0008753954229219369,-0.002994159532244366,-0.0015107600608436477,-0.0010847279219462715,-0.0002907269757452809,-0.0008283250535046507
22,300.0,100.0,0.45,0.294,-0.029922660202710737,0.002544381439404236,-0.010053681281658856,-0.00440497930724832,-0.0036305380180899076,-0.0008456441101708098,-0.002415178170864399
23,300.0,100.0,0.45,0.36700000000000005,-0.041304823587006906,0.0034638934119730204,-0.015688923443697524,-0.005994700671744797,-0.005640973057185724,-0.001151998487288729,-0.0032867964168277557
