Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
0,300.0,100.0,0.25,0.15,-0.008222818642383941,-0.0065186196036290806,-0.0018042792497787086,6.312431255623338e-05,0.010082540358220465,0.0014809327067455437,0.0007944265263150387
1,300.0,100.0,0.25,0.222,-0.023841505819185642,0.004364505175348607,0.0015445370678321025,-5.2954510912051505e-05,-0.007920492961126825,-0.0011148671182723896,-0.0006664384363647049
2,300.0,100.0,0.25,0.294,-0.03867076349344022,0.011313051566767367,0.004469481556379907,-0.00012156288655703564,-0.023647569279355594,-0.0026812440434373884,-0.0015298825093786838
3,300.0,100.0,0.25,0.36700000000000005,-0.05257543503479117,0.015050569274900439,0.006852322662883619,-0.00015721445140923405,-0.03592111166261637,-0.003586984726408283,-0.0019785614363451603
4,300.0,100.0,0.25,0.439,-0.06696274356350526,0.016968244541661844,0.008942323775008173,-0.0001740121770380729,-0.046505248815121365,-0.004056274869067022,-0.002189962690171481
5,300.0,100.0,0.25,0.511,-0.08379262851660453,0.017633988938141647,0.01103960487435231,-0.0001774461965713877,-0.05694470178125656,-0.004239305542901305,-0.002233180209676639
6,300.0,100.0,0.25,0.583,-0.10381528934397574,0.017195462548128565,0.013252873346068696,-0.00017057680415080175,-0.06823612105380006,-0.00413234840436777,-0.002146728138555553
7,300.0,100.0,0.25,0.6559999999999999,-0.12636181782177297,0.015582764566808047,0.01551977853682873,-0.00015272983425964067,-0.07977634173863739,-0.0037520893843559647,-0.0019221220284572657
8,300.0,100.0,0.25,0.728,-0.15001875580586138,0.012823140229455576,0.01767690672035056,-0.00012440788005451588,-0.09080107396226703,-0.0030943875761906122,-0.0015656870704117832
9,300.0,100.0,0.25,0.8,-0.17062014655587568,0.009858318227493508,0.019424522283635334,-9.446768509004039e-05,-0.1001746044426614,-0.0023746315640173427,-0.0011888863716060048
10,300.0,100.0,0.35,0.15,-0.001556068424043085,-0.0054666603327720035,-0.0018129592051892394,0.00037578966488710166,0.009836710963280699,0.001752639900671072,0.0010509027164175338
11,300.0,100.0,0.35,0.222,-0.016298926101155038,0.004057009217524841,0.0015762160368137613,-0.0002704199577141248,-0.008628143284093316,-0.0012821291463655888,-0.0007562343903754407
12,300.0,100.0,0.35,0.294,-0.029947724116398934,0.011058642959073769,0.004980395732941863,-0.0007184173408212015,-0.027170151628682148,-0.003512735894821932,-0.0020090673201916894
13,300.0,100.0,0.35,0.36700000000000005,-0.04248321212943064,0.015061723553164603,0.007797085159138253,-0.000979206940455261,-0.042165243718401635,-0.004778454025706836,-0.0027383702368943383
