,had1,had2,z1,z2,mins,maxx,fit_line
0,300.0,100.0,0.25,0.15,,,
1,300.0,100.0,0.25,0.222,,,
2,300.0,100.0,0.25,0.294,,,
3,300.0,100.0,0.25,0.367,,,
4,300.0,100.0,0.25,0.439,,,
5,300.0,100.0,0.25,0.511,,,
6,300.0,100.0,0.25,0.583,,,
7,300.0,100.0,0.25,0.656,,,
8,300.0,100.0,0.25,0.728,,,
9,300.0,100.0,0.25,0.8,,,
10,300.0,100.0,0.35,0.15,,,
11,300.0,100.0,0.35,0.222,,,
12,300.0,100.0,0.35,0.294,,,
13,300.0,100.0,0.35,0.367,,,
14,300.0,100.0,0.35,0.439,,,
15,300.0,100.0,0.35,0.511,,,
16,300.0,100.0,0.35,0.583,,,
17,300.0,100.0,0.35,0.656,,,
18,300.0,100.0,0.35,0.728,,,
19,300.0,100.0,0.35,0.8,,,
20,300.0,100.0,0.45,0.15,,,
21,300.0,100.0,0.45,0.222,,,
22,300.0,100.0,0.45,0.294,,,
23,300.0,100.0,0.45,0.367,,,
24,300.0,100.0,0.45,0.439,,,
25,300.0,100.0,0.45,0.511,,,
26,300.0,100.0,0.45,0.583,,,
27,300.0,100.0,0.45,0.656,,,
28,300.0,100.0,0.45,0.728,,,
29,300.0,100.0,0.45,0.8,,,
30,300.0,100.0,0.6,0.15,,,
31,300.0,100.0,0.6,0.222,,,
32,300.0,100.0,0.6,0.294,,,
33,300.0,100.0,0.6,0.367,,,
34,300.0,100.0,0.6,0.439,,,
35,300.0,100.0,0.6,0.511,,,
36,300.0,100.0,0.6,0.583,,,
37,300.0,100.0,0.6,0.656,,,
38,300.0,100.0,0.6,0.728,,,
39,300.0,100.0,0.6,0.8,,,
40,300.0,105.0,0.25,0.15,,,
41,300.0,105.0,0.25,0.222,,,
42,300.0,105.0,0.25,0.294,,,
43,300.0,105.0,0.25,0.367,,,
44,300.0,105.0,0.25,0.439,,,
45,300.0,105.0,0.25,0.511,,,
46,300.0,105.0,0.25,0.583,,,
47,300.0,105.0,0.25,0.656,,,
48,300.0,105.0,0.25,0.728,,,
49,300.0,105.0,0.25,0.8,,,
50,300.0,105.0,0.35,0.15,,,
51,300.0,105.0,0.35,0.222,,,
52,300.0,105.0,0.35,0.294,,,
53,300.0,105.0,0.35,0.367,,,
54,300.0,105.0,0.35,0.439,,,
55,300.0,105.0,0.35,0.511,,,
56,300.0,105.0,0.35,0.583,,,
57,300.0,105.0,0.35,0.656,,,
58,300.0,105.0,0.35,0.728,,,
59,300.0,105.0,0.35,0.8,,,
60,300.0,105.0,0.45,0.15,,,
61,300.0,105.0,0.45,0.222,,,
62,300.0,105.0,0.45,0.294,,,
63,300.0,105.0,0.45,0.367,,,
64,300.0,105.0,0.45,0.439,,,
65,300.0,105.0,0.45,0.511,,,
66,300.0,105.0,0.45,0.583,,,
67,300.0,105.0,0.45,0.656,,,
68,300.0,105.0,0.45,0.728,,,
69,300.0,105.0,0.45,0.8,,,
70,300.0,105.0,0.6,0.15,,,
71,300.0,105.0,0.6,0.222,,,
72,300.0,105.0,0.6,0.294,,,
73,300.0,105.0,0.6,0.367,,,
74,300.0,105.0,0.6,0.439,,,
75,300.0,105.0,0.6,0.511,,,
76,300.0,105.0,0.6,0.583,,,
77,300.0,105.0,0.6,0.656,,,
78,300.0,105.0,0.6,0.728,,,
79,300.0,105.0,0.6,0.8,,,
80,310.0,100.0,0.25,0.15,,,
81,310.0,100.0,0.25,0.222,,,
82,310.0,100.0,0.25,0.294,,,
83,310.0,100.0,0.25,0.367,,,
84,310.0,100.0,0.25,0.439,,,
85,310.0,100.0,0.25,0.511,,,
86,310.0,100.0,0.25,0.583,,,
87,310.0,100.0,0.25,0.656,,,
88,310.0,100.0,0.25,0.728,,,
89,310.0,100.0,0.25,0.8,,,
90,310.0,100.0,0.35,0.15,,,
91,310.0,100.0,0.35,0.222,,,
92,310.0,100.0,0.35,0.294,,,
93,310.0,100.0,0.35,0.367,,,
94,310.0,100.0,0.35,0.439,,,
95,310.0,100.0,0.35,0.511,,,
96,310.0,100.0,0.35,0.583,,,
97,310.0,100.0,0.35,0.656,,,
98,310.0,100.0,0.35,0.728,,,
99,310.0,100.0,0.35,0.8,,,
100,310.0,100.0,0.45,0.15,,,
101,310.0,100.0,0.45,0.222,,,
102,310.0,100.0,0.45,0.294,,,
103,310.0,100.0,0.45,0.367,,,
104,310.0,100.0,0.45,0.439,,,
105,310.0,100.0,0.45,0.511,,,
106,310.0,100.0,0.45,0.583,,,
107,310.0,100.0,0.45,0.656,,,
108,310.0,100.0,0.45,0.728,,,
109,310.0,100.0,0.45,0.8,,,
110,310.0,100.0,0.6,0.15,,,
111,310.0,100.0,0.6,0.222,,,
112,310.0,100.0,0.6,0.294,,,
113,310.0,100.0,0.6,0.367,,,
114,310.0,100.0,0.6,0.439,,,
115,310.0,100.0,0.6,0.511,,,
116,310.0,100.0,0.6,0.583,,,
117,310.0,100.0,0.6,0.656,,,
118,310.0,100.0,0.6,0.728,,,
119,310.0,100.0,0.6,0.8,,,
120,310.0,105.0,0.25,0.15,,,
121,310.0,105.0,0.25,0.222,,,
122,310.0,105.0,0.25,0.294,,,
123,310.0,105.0,0.25,0.367,,,
124,310.0,105.0,0.25,0.439,,,
125,310.0,105.0,0.25,0.511,,,
126,310.0,105.0,0.25,0.583,,,
127,310.0,105.0,0.25,0.656,,,
128,310.0,105.0,0.25,0.728,,,
129,310.0,105.0,0.25,0.8,,,
130,310.0,105.0,0.35,0.15,,,
131,310.0,105.0,0.35,0.222,,,
132,310.0,105.0,0.35,0.294,,,
133,310.0,105.0,0.35,0.367,,,
134,310.0,105.0,0.35,0.439,,,
135,310.0,105.0,0.35,0.511,,,
136,310.0,105.0,0.35,0.583,,,
137,310.0,105.0,0.35,0.656,,,
138,310.0,105.0,0.35,0.728,,,
139,310.0,105.0,0.35,0.8,,,
140,310.0,105.0,0.45,0.15,,,
141,310.0,105.0,0.45,0.222,,,
142,310.0,105.0,0.45,0.294,,,
143,310.0,105.0,0.45,0.367,,,
144,310.0,105.0,0.45,0.439,,,
145,310.0,105.0,0.45,0.511,,,
146,310.0,105.0,0.45,0.583,,,
