had1,z1,pt,fit_line
300.0,0.25,0.0,-0.0
300.0,0.25,0.075,-0.004837572648379828
300.0,0.25,0.15,-0.008959936176296618
300.0,0.25,0.22499999999999998,-0.011825201297319485
300.0,0.25,0.3,-0.013180278683014048
300.0,0.25,0.375,-0.013085094608061678
300.0,0.25,0.44999999999999996,-0.011848553147160538
300.0,0.25,0.525,-0.00991024212702939
300.0,0.25,0.6,-0.007714598240807501
300.0,0.25,0.6749999999999999,-0.005616527437867982
300.0,0.25,0.75,-0.003837005049979812
300.0,0.25,0.825,-0.0024655680760656143
300.0,0.25,0.8999999999999999,-0.0014928028249227771
300.0,0.25,0.975,-0.000852759154917492
300.0,0.25,1.05,-0.0004600847695662527
300.0,0.35,0.0,-0.0
300.0,0.35,0.075,-0.010034327368689836
300.0,0.35,0.15,-0.018585133357250646
300.0,0.35,0.22499999999999998,-0.024528404975520043
300.0,0.35,0.3,-0.02733917208669129
300.0,0.35,0.375,-0.027141736670671674
300.0,0.35,0.44999999999999996,-0.024576842512896994
300.0,0.35,0.525,-0.0205563039634968
300.0,0.35,0.6,-0.016001993126058194
300.0,0.35,0.6749999999999999,-0.011650073101366487
300.0,0.35,0.75,-0.00795890161974277
300.0,0.35,0.825,-0.005114200658737192
300.0,0.35,0.8999999999999999,-0.0030964438843511513
300.0,0.35,0.975,-0.0017688343202360418
300.0,0.35,1.05,-0.0009543301012176392
300.0,0.45,0.0,-0.0
300.0,0.45,0.075,-0.022976154862600538
300.0,0.45,0.15,-0.042555408695423944
300.0,0.45,0.22499999999999998,-0.056164046731087894
300.0,0.45,0.3,-0.0626000157857239
300.0,0.45,0.375,-0.062147936983911696
300.0,0.45,0.44999999999999996,-0.05627495684185511
300.0,0.45,0.525,-0.04706890715382947
300.0,0.45,0.6,-0.03664064950898525
300.0,0.45,0.6749999999999999,-0.026675817312163605
300.0,0.45,0.75,-0.018223937632531967
300.0,0.45,0.825,-0.011710268363399208
300.0,0.45,0.8999999999999999,-0.007090098976857838
300.0,0.45,0.975,-0.004050197863270678
300.0,0.45,1.05,-0.0021851824631550446
300.0,0.6,0.0,-0.0
300.0,0.6,0.075,-0.0531262203763934
300.0,0.6,0.15,-0.09839801455380216
300.0,0.6,0.22499999999999998,-0.12986435466287224
300.0,0.6,0.3,-0.1447458138268161
300.0,0.6,0.375,-0.14370050236385826
300.0,0.6,0.44999999999999996,-0.13012080466600917
300.0,0.6,0.525,-0.10883427402383533
300.0,0.6,0.6,-0.08472171397647946
300.0,0.6,0.6749999999999999,-0.06168070148035252
300.0,0.6,0.75,-0.0421379875171141
300.0,0.6,0.825,-0.02707686736362115
300.0,0.6,0.8999999999999999,-0.01639395986785048
300.0,0.6,0.975,-0.009365000607754507
300.0,0.6,1.05,-0.005052650706544959
310.0,0.25,0.0,-0.0
310.0,0.25,0.075,-0.004837572648379828
310.0,0.25,0.15,-0.008959936176296618
310.0,0.25,0.22499999999999998,-0.011825201297319485
310.0,0.25,0.3,-0.013180278683014048
310.0,0.25,0.375,-0.013085094608061678
310.0,0.25,0.44999999999999996,-0.011848553147160538
310.0,0.25,0.525,-0.00991024212702939
310.0,0.25,0.6,-0.007714598240807501
310.0,0.25,0.6749999999999999,-0.005616527437867982
310.0,0.25,0.75,-0.003837005049979812
310.0,0.25,0.825,-0.0024655680760656143
310.0,0.25,0.8999999999999999,-0.0014928028249227771
310.0,0.25,0.975,-0.000852759154917492
310.0,0.25,1.05,-0.0004600847695662527
310.0,0.35,0.0,-0.0
310.0,0.35,0.075,-0.010034327368689836
310.0,0.35,0.15,-0.018585133357250646
310.0,0.35,0.22499999999999998,-0.024528404975520043
310.0,0.35,0.3,-0.02733917208669129
310.0,0.35,0.375,-0.027141736670671674
310.0,0.35,0.44999999999999996,-0.024576842512896994
310.0,0.35,0.525,-0.0205563039634968
310.0,0.35,0.6,-0.016001993126058194
310.0,0.35,0.6749999999999999,-0.011650073101366487
310.0,0.35,0.75,-0.00795890161974277
310.0,0.35,0.825,-0.005114200658737192
310.0,0.35,0.8999999999999999,-0.0030964438843511513
310.0,0.35,0.975,-0.0017688343202360418
310.0,0.35,1.05,-0.0009543301012176392
310.0,0.45,0.0,-0.0
310.0,0.45,0.075,-0.022976154862600538
310.0,0.45,0.15,-0.042555408695423944
310.0,0.45,0.22499999999999998,-0.056164046731087894
310.0,0.45,0.3,-0.0626000157857239
310.0,0.45,0.375,-0.062147936983911696
310.0,0.45,0.44999999999999996,-0.05627495684185511
310.0,0.45,0.525,-0.04706890715382947
310.0,0.45,0.6,-0.03664064950898525
310.0,0.45,0.6749999999999999,-0.026675817312163605
310.0,0.45,0.75,-0.018223937632531967
310.0,0.45,0.825,-0.011710268363399208
310.0,0.45,0.8999999999999999,-0.007090098976857838
310.0,0.45,0.975,-0.004050197863270678
310.0,0.45,1.05,-0.0021851824631550446
310.0,0.6,0.0,-0.0
310.0,0.6,0.075,-0.0531262203763934
310.0,0.6,0.15,-0.09839801455380216
310.0,0.6,0.22499999999999998,-0.12986435466287224
310.0,0.6,0.3,-0.1447458138268161
310.0,0.6,0.375,-0.14370050236385826
310.0,0.6,0.44999999999999996,-0.13012080466600917
310.0,0.6,0.525,-0.10883427402383533
310.0,0.6,0.6,-0.08472171397647946
310.0,0.6,0.6749999999999999,-0.06168070148035252
310.0,0.6,0.75,-0.0421379875171141
310.0,0.6,0.825,-0.02707686736362115
310.0,0.6,0.8999999999999999,-0.01639395986785048
310.0,0.6,0.975,-0.009365000607754507
310.0,0.6,1.05,-0.005052650706544959
