had1,z1,pt,mins,maxx,fit_line
300.0,0.25,0.0,-0.0,-0.0,-0.0
300.0,0.25,0.075,-0.04958954072842196,-0.011778637022091146,-0.025394100766973477
300.0,0.25,0.15,-0.07053238775670305,-0.0205060136646073,-0.04093231628732827
300.0,0.25,0.22499999999999998,-0.06204733948555619,-0.02440991021333243,-0.042854528915462695
300.0,0.25,0.3,-0.045680601109012134,-0.022674061935967695,-0.03453904022120272
300.0,0.25,0.375,-0.03267594211028087,-0.01132439871024389,-0.022601160492216613
300.0,0.25,0.44999999999999996,-0.023235202675284554,-0.0034979525467574886,-0.012295837202589352
300.0,0.25,0.525,-0.01566194092789749,-0.000820762994630413,-0.0056323115702760764
300.0,0.25,0.6,-0.009504655215459842,-0.00014740300147674998,-0.0021887494675491676
300.0,0.25,0.6749999999999999,-0.0053119410517726215,-2.0360808076039254e-05,-0.0007251062844076571
300.0,0.25,0.75,-0.002708357955586323,-2.170342175478151e-06,-0.0002054697587180556
300.0,0.25,0.825,-0.0012594561626392952,-1.7895183360648266e-07,-4.9918899839768696e-05
300.0,0.25,0.8999999999999999,-0.0005351122655672157,-1.1433508513207243e-08,-1.0416303695081691e-05
300.0,0.25,0.975,-0.00020800284864470398,-5.668080112893243e-10,-1.8692675430567118e-06
300.0,0.25,1.05,-7.404661649244866e-05,-2.1825015755404262e-11,-2.887935783151169e-07
300.0,0.35,0.0,-0.0,-0.0,-0.0
300.0,0.35,0.075,-0.08391149974671576,-0.01830161934749513,-0.04061078743214684
300.0,0.35,0.15,-0.11718119084884975,-0.03239830998233897,-0.06545983301806854
300.0,0.35,0.22499999999999998,-0.10165590911361727,-0.039387113285678815,-0.06853387644086541
300.0,0.35,0.3,-0.06981910861591768,-0.03812970815108913,-0.05523556960748429
300.0,0.35,0.375,-0.0466168079171649,-0.019913720320405382,-0.036144257790099166
300.0,0.35,0.44999999999999996,-0.03134536600229388,-0.006434915872030231,-0.01966376504200003
300.0,0.35,0.525,-0.02061965397762872,-0.0015379505946576553,-0.009007312762560315
300.0,0.35,0.6,-0.012195937027795591,-0.00027620462333048104,-0.00350029481982943
300.0,0.35,0.6749999999999999,-0.006813761417232786,-3.815220361190323e-05,-0.0011596054316713946
