,h1,h2,z1,z2,P_exp,err,unpol1
0,300,100,0.25,0.25,-0.039,0.004079999999999999,0.02970439703262572
1,300,100,0.25,0.35,-0.0474,0.006344,0.013658661058804011
2,300,100,0.25,0.45,-0.0708,0.00881,0.006630624181251365
3,300,100,0.25,0.6,-0.0757,0.010020000000000001,0.002381568897701952
4,300,100,0.35,0.25,-0.0243,0.003933,0.026596955379944578
5,300,100,0.35,0.35,-0.039,0.006074,0.012658896763102731
6,300,100,0.35,0.45,-0.0495,0.009082,0.00619311329443802
7,300,100,0.35,0.6,-0.0733,0.01084,0.0022063656057711065
8,300,100,0.45,0.25,-0.0289,0.005136,0.012075018178965587
9,300,100,0.45,0.35,-0.0438,0.00809,0.0057112655949706215
10,300,100,0.45,0.45,-0.0581,0.012320000000000001,0.0027364839339806355
11,300,100,0.45,0.6,-0.0651,0.01455,0.0009235907597851831
12,300,100,0.6,0.25,-0.0403,0.006561,0.003349507524675819
13,300,100,0.6,0.35,-0.0452,0.01018,0.001536193578776147
14,300,100,0.6,0.45,-0.0248,0.015359999999999999,0.0007010475035384508
15,300,100,0.6,0.6,-0.0494,0.01795,0.00020978460960382006
16,300,105,0.25,0.25,0.0049,0.004605,0.030278951717636653
17,300,105,0.25,0.35,0.0168,0.005974,0.014026888658313072
18,300,105,0.25,0.45,0.0233,0.008745999999999999,0.006858826712989578
19,300,105,0.25,0.6,0.0372,0.010790000000000001,0.0024977337223340283
20,300,105,0.35,0.25,-0.002,0.003471,0.02762348781877141
21,300,105,0.35,0.35,-0.0032,0.0053159999999999995,0.013348358659064538
22,300,105,0.35,0.45,-0.0053,0.007906,0.006628499104881819
23,300,105,0.35,0.6,0.0175,0.00976,0.0024307307676825684
24,300,105,0.45,0.25,-0.0113,0.004509,0.012371206344468777
25,300,105,0.45,0.35,-0.0231,0.006944,0.005918923410950466
26,300,105,0.45,0.45,-0.029,0.01034,0.0028699434172575196
27,300,105,0.45,0.6,0.0041,0.0128,0.0009938012191219312
28,300,105,0.6,0.25,-0.0247,0.005921,0.0033521674073518277
29,300,105,0.6,0.35,-0.0242,0.009059000000000001,0.0015396027731127643
30,300,105,0.6,0.45,-0.0231,0.01342,0.000703785841559107
31,300,105,0.6,0.6,-0.0415,0.01616,0.00021133111755900486
32,300,200,0.25,0.25,-0.0283,0.005177,0.006300070691808979
33,300,200,0.25,0.35,-0.043,0.007664,0.00356261139499015
34,300,200,0.25,0.45,-0.0471,0.01087,0.002101061083548903
35,300,200,0.25,0.6,-0.1202,0.01179,0.0010223983661968152
36,300,200,0.35,0.25,-0.0011,0.004554,0.007231634436401482
37,300,200,0.35,0.35,-0.0408,0.006696,0.004234623898350265
38,300,200,0.35,0.45,-0.0511,0.009458,0.0024999641608811933
39,300,200,0.35,0.6,-0.088,0.01061,0.001206537003693772
40,300,200,0.45,0.25,-0.0294,0.005862,0.0068021104766424955
41,300,200,0.45,0.35,-0.0425,0.00831,0.004038992528374575
42,300,200,0.45,0.45,-0.0388,0.011340000000000001,0.0023508414247632612
43,300,200,0.45,0.6,-0.0984,0.012329999999999999,0.0011114189764720667
44,300,200,0.6,0.25,-0.0241,0.0074340000000000005,0.0038457917765884315
45,300,200,0.6,0.35,-0.0524,0.01026,0.002331353803488351
46,300,200,0.6,0.45,-0.0477,0.01371,0.0013592957085747336
47,300,200,0.6,0.6,-0.0957,0.01376,0.0006420793101651474
48,300,205,0.25,0.25,-0.0141,0.00634,0.006121194618546823
49,300,205,0.25,0.35,-0.0064,0.008869,0.0035028910716503503
50,300,205,0.25,0.45,0.027,0.012759999999999999,0.0020893391215643215
51,300,205,0.25,0.6,0.0427,0.01379,0.0010293368422859483
52,300,205,0.35,0.25,-0.016,0.006075,0.006428625628331684
53,300,205,0.35,0.35,-0.0038,0.009109,0.00384263478501186
54,300,205,0.35,0.45,-0.0107,0.013219999999999999,0.002318823390196905
55,300,205,0.35,0.6,0.023,0.01432,0.0011468072545737667
56,300,205,0.45,0.25,-0.012,0.008118,0.004725958647701263
57,300,205,0.45,0.35,-0.0259,0.01251,0.0028205518062101656
58,300,205,0.45,0.45,-0.0241,0.01804,0.001661519007960188
59,300,205,0.45,0.6,0.017,0.01961,0.0007964071144748647
60,300,205,0.6,0.25,-0.0252,0.01082,0.001862787797646138
61,300,205,0.6,0.35,-0.0146,0.01643,0.0011138809416956466
62,300,205,0.6,0.45,-0.0195,0.023280000000000002,0.0006474363225807617
63,300,205,0.6,0.6,0.0029,0.026139999999999997,0.0003044368092848806
64,310,100,0.25,0.25,0.0157,0.004393,0.030278951717636653
65,310,100,0.25,0.35,0.0127,0.005961999999999999,0.014026888658313072
66,310,100,0.25,0.45,0.0253,0.008822,0.006858826712989578
67,310,100,0.25,0.6,0.031,0.01096,0.0024977337223340283
68,310,100,0.35,0.25,-0.0023,0.0035,0.02762348781877141
69,310,100,0.35,0.35,-0.01,0.005418,0.013348358659064538
70,310,100,0.35,0.45,-0.0035,0.008103,0.006628499104881819
71,310,100,0.35,0.6,0.0016,0.0101,0.0024307307676825684
72,310,100,0.45,0.25,-0.0179,0.004627,0.012371206344468777
