,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3,unpol4
0,300,100,0.25,0.25,-0.039,0.004079999999999999,0.030518068934360234,0.04652934699993353,0.11640642736683209,0.1774822876609809
1,300,100,0.25,0.35,-0.0474,0.006344,0.014054623342069918,0.020247097490049486,0.05610514582790399,0.0808284194668438
2,300,100,0.25,0.45,-0.0708,0.00881,0.00682694858371324,0.009027847777115459,0.027735939460386255,0.03667806609377032
3,300,100,0.25,0.6,-0.0757,0.010020000000000001,0.002452909021641199,0.0027993741338475354,0.010067067257586437,0.011489099287104737
4,300,100,0.35,0.25,-0.0243,0.003933,0.027879300023165743,0.04595434769302464,0.06154821069020655,0.10143368382469113
5,300,100,0.35,0.35,-0.039,0.006074,0.01331909801107755,0.020641275920117132,0.031192055061279755,0.04833464069523856
6,300,100,0.35,0.45,-0.0495,0.009082,0.006525904786197768,0.00917648430417288,0.015642352110972875,0.0219884618140288
7,300,100,0.35,0.6,-0.0733,0.01084,0.0023272015212025647,0.0027490730351001492,0.005663048881598011,0.006688103788432223
8,300,100,0.45,0.25,-0.0289,0.005136,0.012753497701684479,0.024855256464441415,0.022413298533473253,0.043679520167801446
9,300,100,0.45,0.35,-0.0438,0.00809,0.006059436292116447,0.011076607757648882,0.011191243055063216,0.02046406191625278
10,300,100,0.45,0.45,-0.0581,0.012320000000000001,0.0029083911656811842,0.004741104918547821,0.005479201778833201,0.00893563461119928
11,300,100,0.45,0.6,-0.0651,0.01455,0.000982712832251176,0.0012763262898020276,0.0018791711458403734,0.002440649775399457
12,300,100,0.6,0.25,-0.0403,0.006561,0.0035566952239422553,0.007015184257502336,0.005231360456797981,0.010323570390591744
13,300,100,0.6,0.35,-0.0452,0.01018,0.001639496149257868,0.0031010224922491856,0.002508881207794053,0.004749585146992925
14,300,100,0.6,0.45,-0.0248,0.015359999999999999,0.0007504590346962933,0.0012885121939958926,0.0011667387911659024,0.002004122774606062
15,300,100,0.6,0.6,-0.0494,0.01795,0.00022482991396028052,0.0003115477395426311,0.0003541766067546988,0.0004910988350807326
16,300,105,0.25,0.25,0.0049,0.004605,0.031108363821300927,0.04711964472024673,0.11865747272651482,0.17973333795616364
17,300,105,0.25,0.35,0.0168,0.005974,0.014433524578487523,0.020625998944156336,0.057617445945646946,0.08234070703222704
18,300,105,0.25,0.45,0.0233,0.008745999999999999,0.007061924855079234,0.009262823980096138,0.02869036114327612,0.0376324781542647
19,300,105,0.25,0.6,0.0372,0.010790000000000001,0.002572552949433734,0.0029190180851708216,0.010558079266738725,0.011980108485386092
20,300,105,0.35,0.25,-0.002,0.003471,0.02895555390687467,0.04703051664055669,0.06392373282869161,0.10381275584786119
21,300,105,0.35,0.35,-0.0032,0.0053159999999999995,0.01404462335192166,0.021366747862610905,0.03289444155975761,0.050031767416347885
22,300,105,0.35,0.45,-0.0053,0.007906,0.006984737561263357,0.009635307244301368,0.01674463906466355,0.02309162587616909
23,300,105,0.35,0.6,0.0175,0.00976,0.0025636106180247967,0.0029857311362611614,0.006239995677025148,0.007265052550975457
24,300,105,0.45,0.25,-0.0113,0.004509,0.01306635945210924,0.025168138668723937,0.022961039786561836,0.044229998217483316
25,300,105,0.45,0.35,-0.0231,0.006944,0.006280562682565588,0.011297142642003575,0.011599946380467567,0.020872665530307363
26,300,105,0.45,0.45,-0.029,0.01034,0.0030505717038052777,0.004883286339353011,0.0057478755143674344,0.009204268994292171
27,300,105,0.45,0.6,0.0041,0.0128,0.0010574071134003746,0.0013510591155324702,0.0020222390395307046,0.0025837183387523656
28,300,105,0.6,0.25,-0.0247,0.005921,0.003559512210196843,0.007017997605864901,0.005236366590117084,0.010327323029626247
29,300,105,0.6,0.35,-0.0242,0.009059000000000001,0.0016433660101124782,0.0031045008201239154,0.0025136368344151165,0.004755112585312949
30,300,105,0.6,0.45,-0.0231,0.01342,0.0007531668677392381,0.001291183034166727,0.0011705760572758846,0.0020077743523658842
31,300,105,0.6,0.6,-0.0415,0.01616,0.00022653680728948426,0.000313286439276722,0.0003566804214080739,0.0004936084965449808
32,300,200,0.25,0.25,-0.0283,0.005177,0.0064759100044759045,0.017598866486138565,0.025059347867506056,0.06809279005880031
33,300,200,0.25,0.35,-0.043,0.007664,0.0036679426564281007,0.009392085059619616,0.0148852742655824,0.03810974950975998
34,300,200,0.25,0.45,-0.0471,0.01087,0.0021645483915816027,0.004757409102120365,0.008947021377480158,0.019661450839435074
35,300,200,0.25,0.6,-0.1202,0.01179,0.0010536803912816763,0.001636034648239037,0.0044015558710826155,0.0068336712223568755
36,300,200,0.35,0.25,-0.0011,0.004554,0.007588382686268866,0.020321292898815076,0.01703101442739723,0.045635720239270844
37,300,200,0.35,0.35,-0.0408,0.006696,0.004460797265375149,0.011343309439629226,0.010645132659648641,0.027098488933433012
38,300,200,0.35,0.45,-0.0511,0.009458,0.0026374623598958715,0.005816261825374977,0.006439404612667206,0.014225029356820972
39,300,200,0.35,0.6,-0.088,0.01061,0.001274085257667742,0.00199648737722481,0.0031542980056946373,0.004952516828002283
40,300,200,0.45,0.25,-0.0294,0.005862,0.007193851967723798,0.015780509019431156,0.012843746822929101,0.028196363091497204
41,300,200,0.45,0.35,-0.0425,0.00831,0.004291620820972786,0.009047969158429016,0.00806163685930226,0.017033400514309936
