had1,had2,z1,z2,fit_line
300.0,200.0,0.25,0.15,-0.014894480365774267
300.0,200.0,0.25,0.20357142857142857,-0.022025536240090248
300.0,200.0,0.25,0.2571428571428571,-0.028492846871851787
300.0,200.0,0.25,0.3107142857142857,-0.03405943742415074
300.0,200.0,0.25,0.36428571428571427,-0.03878582202175894
300.0,200.0,0.25,0.4178571428571428,-0.04292849415766259
300.0,200.0,0.25,0.4714285714285714,-0.04649132529122734
300.0,200.0,0.25,0.525,-0.04960741330840266
300.0,200.0,0.25,0.5785714285714285,-0.052302477357173506
300.0,200.0,0.25,0.6321428571428571,-0.05463655255727329
300.0,200.0,0.25,0.6857142857142857,-0.05663929078219272
300.0,200.0,0.25,0.7392857142857143,-0.058446109350524654
300.0,200.0,0.25,0.7928571428571428,-0.0600905546221861
300.0,200.0,0.25,0.8464285714285714,-0.06163012649882786
300.0,200.0,0.25,0.9,-0.06311465459570224
300.0,200.0,0.35,0.15,-0.010694849455033498
300.0,200.0,0.35,0.20357142857142857,-0.01477723301373295
300.0,200.0,0.35,0.2571428571428571,-0.0185534136887459
300.0,200.0,0.35,0.3107142857142857,-0.021914806916819195
300.0,200.0,0.35,0.36428571428571427,-0.024844843667949337
300.0,200.0,0.35,0.4178571428571428,-0.027410001198695702
300.0,200.0,0.35,0.4714285714285714,-0.02963335838484697
300.0,200.0,0.35,0.525,-0.03157442908074986
300.0,200.0,0.35,0.5785714285714285,-0.03325866720262826
300.0,200.0,0.35,0.6321428571428571,-0.03472197717732163
300.0,200.0,0.35,0.6857142857142857,-0.035983046225458386
300.0,200.0,0.35,0.7392857142857143,-0.037103078200124616
300.0,200.0,0.35,0.7928571428571428,-0.03810017334856524
300.0,200.0,0.35,0.8464285714285714,-0.03900299188292641
300.0,200.0,0.35,0.9,-0.03983751269003366
300.0,200.0,0.45,0.15,-0.016198644692378313
300.0,200.0,0.45,0.20357142857142857,-0.02156433415613267
300.0,200.0,0.45,0.2571428571428571,-0.026434750399637247
300.0,200.0,0.45,0.3107142857142857,-0.0307634683301664
300.0,200.0,0.45,0.36428571428571427,-0.03454781032666079
300.0,200.0,0.45,0.4178571428571428,-0.03782122352447444
300.0,200.0,0.45,0.4714285714285714,-0.04064886720601506
300.0,200.0,0.45,0.525,-0.04309864025768607
300.0,200.0,0.45,0.5785714285714285,-0.045233566587126545
300.0,200.0,0.45,0.6321428571428571,-0.04710433307674511
300.0,200.0,0.45,0.6857142857142857,-0.04875145413955833
300.0,200.0,0.45,0.7392857142857143,-0.05020539266786815
300.0,200.0,0.45,0.7928571428571428,-0.05149334834587595
300.0,200.0,0.45,0.8464285714285714,-0.0526353912901243
300.0,200.0,0.45,0.9,-0.0536515417297907
300.0,200.0,0.6,0.15,-0.02927380823746448
300.0,200.0,0.6,0.20357142857142857,-0.03944068835624057
300.0,200.0,0.6,0.2571428571428571,-0.049108590444424984
300.0,200.0,0.6,0.3107142857142857,-0.058179960597618256
300.0,200.0,0.6,0.36428571428571427,-0.06659795549579425
300.0,200.0,0.6,0.4178571428571428,-0.0743465330313433
300.0,200.0,0.6,0.4714285714285714,-0.08144875385388464
300.0,200.0,0.6,0.525,-0.0879426476390197
300.0,200.0,0.6,0.5785714285714285,-0.09387653378924435
300.0,200.0,0.6,0.6321428571428571,-0.09928470347743963
300.0,200.0,0.6,0.6857142857142857,-0.10421868697545436
300.0,200.0,0.6,0.7392857142857143,-0.10869748696168265
300.0,200.0,0.6,0.7928571428571428,-0.11277352229247088
300.0,200.0,0.6,0.8464285714285714,-0.116478099965648
300.0,200.0,0.6,0.9,-0.11984958365363534
300.0,205.0,0.25,0.15,-0.015258386381608435
300.0,205.0,0.25,0.20357142857142857,-0.011355550673232427
300.0,205.0,0.25,0.2571428571428571,-0.005122420158029742
300.0,205.0,0.25,0.3107142857142857,0.0018539234796095562
