    h1   jet     z1       pt       P_exp       P(theo)       err        unpol
   300   999    0.250    0.130   0.1980E-01   -.7436E-02   0.7212E-02   0.1557    
   300   999    0.250    0.340   -.7800E-02   -.1485E-01   0.2837E-02   0.9504E-01
   300   999    0.260    0.600   -.3300E-02   -.1288E-01   0.3579E-02   0.2586E-01
   300   999    0.280    0.880   -.1340E-01   -.6057E-02   0.9888E-02   0.2765E-02
   300   999    0.340    0.130   -.3010E-01   -.1151E-01   0.1437E-01   0.7287E-01
   300   999    0.350    0.340   -.2510E-01   -.2561E-01   0.3803E-02   0.4078E-01
   300   999    0.350    0.620   0.4000E-03   -.2242E-01   0.4569E-02   0.1064E-01
   300   999    0.350    0.960   -.1170E-01   -.8008E-02   0.6981E-02   0.7249E-03
   300   999    0.440    0.130   -.6830E-01   -.2770E-01   0.2843E-01   0.3168E-01
   300   999    0.440    0.350   -.5340E-01   -.5590E-01   0.7215E-02   0.1868E-01
   300   999    0.450    0.630   -.4310E-01   -.5034E-01   0.8165E-02   0.4378E-02
   300   999    0.450    0.990   -.2280E-01   -.1609E-01   0.1030E-01   0.2371E-03
   300   999    0.590    0.130   -.3980E-01   -.4671E-01   0.4765E-01   0.8537E-02
   300   999    0.590    0.350   -.4660E-01   -.9426E-01   0.1477E-01   0.5035E-02
   300   999    0.590    0.630   -.8760E-01   -.8021E-01   0.1336E-01   0.1277E-02
   300   999    0.600    1.040   -.6700E-01   -.2091E-01   0.1487E-01   0.3726E-04
   310   999    0.250    0.130   -.9000E-03   -.7436E-02   0.7561E-02   0.1557    
   310   999    0.250    0.340   -.6900E-02   -.1485E-01   0.3082E-02   0.9504E-01
   310   999    0.260    0.600   -.3400E-02   -.1288E-01   0.4083E-02   0.2586E-01
   310   999    0.280    0.880   -.2000E-03   -.6057E-02   0.1103E-01   0.2765E-02
   310   999    0.340    0.130   -.2290E-01   -.1151E-01   0.1546E-01   0.7287E-01
   310   999    0.350    0.340   -.2290E-01   -.2561E-01   0.4102E-02   0.4078E-01
   310   999    0.350    0.620   -.1400E-02   -.2242E-01   0.4924E-02   0.1064E-01
   310   999    0.350    0.960   0.3800E-02   -.8008E-02   0.7380E-02   0.7249E-03
   310   999    0.440    0.130   -.3080E-01   -.2770E-01   0.3082E-01   0.3168E-01
   310   999    0.440    0.350   -.6370E-01   -.5590E-01   0.7688E-02   0.1868E-01
   310   999    0.450    0.630   -.3030E-01   -.5034E-01   0.8621E-02   0.4378E-02
   310   999    0.450    0.990   -.1510E-01   -.1609E-01   0.1039E-01   0.2371E-03
   310   999    0.590    0.130   0.9120E-01   -.4671E-01   0.5769E-01   0.8537E-02
   310   999    0.590    0.350   -.7430E-01   -.9426E-01   0.1340E-01   0.5035E-02
   310   999    0.590    0.630   -.7430E-01   -.8021E-01   0.1333E-01   0.1277E-02
   310   999    0.600    1.040   -.7410E-01   -.2091E-01   0.1568E-01   0.3726E-04

