Unnamed: 0,had1,had2,z1,z2,mins,maxx,fit_line,conv
0,300.0,200.0,0.25,0.15,,,,-0.010553439358117098
1,300.0,200.0,0.25,0.222,,,,-0.02303320935380575
2,300.0,200.0,0.25,0.294,,,,-0.035338194863314326
3,300.0,200.0,0.25,0.36700000000000005,,,,-0.0454857892061974
4,300.0,200.0,0.25,0.439,,,,-0.05345731293232758
5,300.0,200.0,0.25,0.511,,,,-0.05985638632524691
6,300.0,200.0,0.25,0.583,,,,-0.06504587809076508
7,300.0,200.0,0.25,0.6559999999999999,,,,-0.06934331488192567
8,300.0,200.0,0.25,0.728,,,,-0.07318240924553734
9,300.0,200.0,0.25,0.8,,,,-0.07649622776404014
10,300.0,200.0,0.35,0.15,,,,-0.007539964521739835
11,300.0,200.0,0.35,0.222,,,,-0.015546025041490087
12,300.0,200.0,0.35,0.294,,,,-0.022597660791201155
13,300.0,200.0,0.35,0.36700000000000005,,,,-0.027928291642967666
14,300.0,200.0,0.35,0.439,,,,-0.03181113297910493
15,300.0,200.0,0.35,0.511,,,,-0.03479162987252674
16,300.0,200.0,0.35,0.583,,,,-0.03720169237057007
17,300.0,200.0,0.35,0.6559999999999999,,,,-0.03921552154148874
18,300.0,200.0,0.35,0.728,,,,-0.04101630431206235
19,300.0,200.0,0.35,0.8,,,,-0.04259461659081633
20,300.0,200.0,0.45,0.15,,,,-0.010041993039917435
21,300.0,200.0,0.45,0.222,,,,-0.019427648617681585
22,300.0,200.0,0.45,0.294,,,,-0.026821612724336284
23,300.0,200.0,0.45,0.36700000000000005,,,,-0.0317776449140929
24,300.0,200.0,0.45,0.439,,,,-0.03500260373348291
25,300.0,200.0,0.45,0.511,,,,-0.03724816685547906
26,300.0,200.0,0.45,0.583,,,,-0.03892787689743039
27,300.0,200.0,0.45,0.6559999999999999,,,,-0.040327965443937845
28,300.0,200.0,0.45,0.728,,,,-0.04148054364695602
29,300.0,200.0,0.45,0.8,,,,-0.042494526815360506
30,300.0,200.0,0.6,0.15,,,,-0.01677301439954265
31,300.0,200.0,0.6,0.222,,,,-0.03206507097443965
32,300.0,200.0,0.6,0.294,,,,-0.04401489321839805
33,300.0,200.0,0.6,0.36700000000000005,,,,-0.052004425531603914
34,300.0,200.0,0.6,0.439,,,,-0.057140164544930476
35,300.0,200.0,0.6,0.511,,,,-0.06076251033640712
36,300.0,200.0,0.6,0.583,,,,-0.0635196336540705
37,300.0,200.0,0.6,0.6559999999999999,,,,-0.06591117363833891
38,300.0,200.0,0.6,0.728,,,,-0.0678891977425172
39,300.0,200.0,0.6,0.8,,,,-0.06953372239479794
40,300.0,205.0,0.25,0.15,,,,-0.010665293793996373
41,300.0,205.0,0.25,0.222,,,,-0.01138694210348523
42,300.0,205.0,0.25,0.294,,,,-0.004122093425893186
43,300.0,205.0,0.25,0.36700000000000005,,,,0.005212515551685919
44,300.0,205.0,0.25,0.439,,,,0.015307009633466966
45,300.0,205.0,0.25,0.511,,,,0.024708239202668153
46,300.0,205.0,0.25,0.583,,,,0.03269936828746689
47,300.0,205.0,0.25,0.6559999999999999,,,,0.03919200391047911
48,300.0,205.0,0.25,0.728,,,,0.044766231140341076
49,300.0,205.0,0.25,0.8,,,,0.04925981886844601
50,300.0,205.0,0.35,0.15,,,,-0.007552497921293419
51,300.0,205.0,0.35,0.222,,,,-0.011528926761913838
52,300.0,205.0,0.35,0.294,,,,-0.01199019164638615
53,300.0,205.0,0.35,0.36700000000000005,,,,-0.01025811948344055
54,300.0,205.0,0.35,0.439,,,,-0.0064726550145558885
55,300.0,205.0,0.35,0.511,,,,-0.003170836938624508
56,300.0,205.0,0.35,0.583,,,,-0.00018823770887338318
57,300.0,205.0,0.35,0.6559999999999999,,,,0.002285057850534553
58,300.0,205.0,0.35,0.728,,,,0.004391188814092222
59,300.0,205.0,0.35,0.8,,,,0.006072601679685948
60,300.0,205.0,0.45,0.15,,,,-0.008193258735231428
