Unnamed: 0,had1,had2,z1,z2,mins,maxx,fit_line,conv
0,300.0,100.0,0.25,0.15,,,,-0.012927903321083284
1,300.0,100.0,0.25,0.222,,,,-0.02793719088150736
2,300.0,100.0,0.25,0.294,,,,-0.04286668746306506
3,300.0,100.0,0.25,0.36700000000000005,,,,-0.05591279143932907
4,300.0,100.0,0.25,0.439,,,,-0.06760566959433773
5,300.0,100.0,0.25,0.511,,,,-0.07940864094102915
6,300.0,100.0,0.25,0.583,,,,-0.09226191405755954
7,300.0,100.0,0.25,0.6559999999999999,,,,-0.1062201796080138
8,300.0,100.0,0.25,0.728,,,,-0.12147069722113976
9,300.0,100.0,0.25,0.8,,,,-0.13560669047315527
10,300.0,100.0,0.35,0.15,,,,-0.009060571187413982
11,300.0,100.0,0.35,0.222,,,,-0.019665912915773808
12,300.0,100.0,0.35,0.294,,,,-0.030043219009236538
13,300.0,100.0,0.35,0.36700000000000005,,,,-0.03892601303142865
14,300.0,100.0,0.35,0.439,,,,-0.04668891820316673
15,300.0,100.0,0.35,0.511,,,,-0.054311348463456845
16,300.0,100.0,0.35,0.583,,,,-0.06240165213829788
17,300.0,100.0,0.35,0.6559999999999999,,,,-0.07132521893013813
18,300.0,100.0,0.35,0.728,,,,-0.08122925500330538
19,300.0,100.0,0.35,0.8,,,,-0.09037247742457032
20,300.0,100.0,0.45,0.15,,,,-0.010989488550551266
21,300.0,100.0,0.45,0.222,,,,-0.022248015173464527
22,300.0,100.0,0.45,0.294,,,,-0.03243344132545778
23,300.0,100.0,0.45,0.36700000000000005,,,,-0.04075972646297461
24,300.0,100.0,0.45,0.439,,,,-0.04770983651420179
25,300.0,100.0,0.45,0.511,,,,-0.05435362577382519
26,300.0,100.0,0.45,0.583,,,,-0.06153139021614158
27,300.0,100.0,0.45,0.6559999999999999,,,,-0.06951331647798516
28,300.0,100.0,0.45,0.728,,,,-0.07851996502611315
29,300.0,100.0,0.45,0.8,,,,-0.0875339440129094
30,300.0,100.0,0.6,0.15,,,,-0.012967577051823947
31,300.0,100.0,0.6,0.222,,,,-0.02446525516479065
32,300.0,100.0,0.6,0.294,,,,-0.0340558529193039
33,300.0,100.0,0.6,0.36700000000000005,,,,-0.041160635402794146
34,300.0,100.0,0.6,0.439,,,,-0.04661051894312554
35,300.0,100.0,0.6,0.511,,,,-0.05162242532396898
36,300.0,100.0,0.6,0.583,,,,-0.05677862501181205
37,300.0,100.0,0.6,0.6559999999999999,,,,-0.0625237671278618
38,300.0,100.0,0.6,0.728,,,,-0.07002176992759615
39,300.0,100.0,0.6,0.8,,,,-0.07853689505907739
40,300.0,105.0,0.25,0.15,,,,-0.0021108741965629894
41,300.0,105.0,0.25,0.222,,,,0.0024071743656971572
42,300.0,105.0,0.25,0.294,,,,0.009411954715915412
43,300.0,105.0,0.25,0.36700000000000005,,,,0.017273978496870467
44,300.0,105.0,0.25,0.439,,,,0.025635437134069676
