,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
0,0,0,300.0,200.0,0.25,0.15,-0.012734912938538602,-0.0083282786976014,,-0.010766465843826132,True,True,-0.016370201421845296
1,1,1,300.0,200.0,0.25,0.222,-0.02748677621810833,-0.018562553165046108,,-0.023279191063894044,True,True,-0.023591955866295627
2,2,2,300.0,200.0,0.25,0.294,-0.04199893709079442,-0.028292365320570865,,-0.035371548736102154,True,True,-0.0303207181694304
3,3,3,300.0,200.0,0.25,0.3670000000000001,-0.053962389740554326,-0.03595200619368622,,-0.045260336044371005,True,True,-0.03625491958121728
4,4,4,300.0,200.0,0.25,0.439,-0.06349014938654958,-0.04186652664911761,,-0.0529820917240666,True,True,-0.04137736193843507
5,5,5,300.0,200.0,0.25,0.511,-0.0711853873649723,-0.04652538315631535,,-0.05918996041329756,True,True,-0.045882725935758886
6,6,6,300.0,200.0,0.25,0.583,-0.0774709889198819,-0.05028211713084788,,-0.06423184074139954,True,True,-0.04976365979265948
7,7,7,300.0,200.0,0.25,0.6559999999999999,-0.0827176844151657,-0.05329327980102011,,-0.06842069405444452,True,True,-0.05314133733961365
8,8,8,300.0,200.0,0.25,0.728,-0.08746975952274025,-0.05596936424600943,,-0.07217095749360697,True,True,-0.056045800985529096
9,9,9,300.0,200.0,0.25,0.8,-0.09159775734738168,-0.058302376542527866,,-0.07545629601967087,True,True,-0.05854314514286243
10,10,10,300.0,200.0,0.35,0.15,-0.009198077732666437,-0.005656516280925184,,-0.007437040928287167,True,True,-0.0606710404951073
11,11,11,300.0,200.0,0.35,0.222,-0.019296451381885446,-0.012017476377046046,,-0.015650772608340833,True,True,-0.06256815977614291
12,12,12,300.0,200.0,0.35,0.294,-0.028073624631526465,-0.017825122231902912,,-0.02293149812148858,True,True,-0.0642736064072362
13,13,13,300.0,200.0,0.35,0.3670000000000001,-0.03467133687827038,-0.021952878623376464,,-0.028432613585520364,True,True,-0.06584849042847528
14,14,14,300.0,200.0,0.35,0.439,-0.03943001005159832,-0.024972426533824442,,-0.03242192780531078,True,True,-0.06734641053866465
