,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
0,0,300.0,100.0,0.25,0.15,-0.017518498073513213,-0.0005629858233712992,,-0.013264811376060507,True,True,-0.019968527147016284
1,1,300.0,100.0,0.25,0.222,-0.0349029465231648,-0.005660951827039947,,-0.028411882820320287,True,True,-0.02935963866816464
2,2,300.0,100.0,0.25,0.294,-0.05163208101002676,-0.012542625986167143,,-0.04322263212115403,True,True,-0.038314141913051734
3,3,300.0,100.0,0.25,0.3670000000000001,-0.06552803522385414,-0.019074001475125623,,-0.056038924285563535,True,True,-0.04650992977528313
4,4,300.0,100.0,0.25,0.439,-0.07830779380478674,-0.025321795329133027,,-0.06747864485608124,True,True,-0.05407423108234154
5,5,300.0,100.0,0.25,0.511,-0.09159068456901569,-0.03131307749494035,,-0.07908649708466621,True,True,-0.06151221520391836
6,6,300.0,100.0,0.25,0.583,-0.10595111830225852,-0.03790442222580024,,-0.09176388208534143,True,True,-0.06909412291195881
7,7,300.0,100.0,0.25,0.6559999999999999,-0.12149280104129194,-0.045084949742090805,,-0.10557780142580038,True,True,-0.07723234677733254
8,8,300.0,100.0,0.25,0.728,-0.13845176761498612,-0.0528736423923419,,-0.12072331654156016,True,True,-0.08602088791467223
9,9,300.0,100.0,0.25,0.8,-0.15418050633613672,-0.060014875700633075,,-0.13479724927122194,True,True,-0.09538932199559194
10,10,300.0,100.0,0.35,0.15,-0.010601166868695512,-0.0031699427548522304,,-0.00891994656238228,True,True,-0.10517299614238787
11,11,300.0,100.0,0.35,0.222,-0.02297773936371533,-0.0077547848057896406,,-0.019762397400481132,True,True,-0.11502301158409378
12,12,300.0,100.0,0.35,0.294,-0.03495054155319212,-0.01254316270468924,,-0.030442029705512182,True,True,-0.12469422697235448
13,13,300.0,100.0,0.35,0.3670000000000001,-0.04524286747856686,-0.016811891832464454,,-0.03963322030268246,True,True,-0.13398890199461838
14,14,300.0,100.0,0.35,0.439,-0.05431165635512081,-0.02057696536885883,,-0.047599098279696064,True,True,-0.14294565483522
15,15,300.0,100.0,0.35,0.511,-0.06318946672954853,-0.0243702378563349,,-0.0554041303460357,True,True,-0.013058878803091098
16,16,300.0,100.0,0.35,0.583,-0.07272069734194993,-0.028479527163409925,,-0.06377547181550873,True,True,-0.019214445867661984
17,17,300.0,100.0,0.35,0.6559999999999999,-0.08295815050761883,-0.03296965769546085,,-0.07277105481261101,True,True,-0.025627600491035785
18,18,300.0,100.0,0.35,0.728,-0.0943880101035291,-0.03792175309231689,,-0.08281407892687716,True,True,-0.03204985057885544
19,19,300.0,100.0,0.35,0.8,-0.10518081589372978,-0.042583345131583204,,-0.09229968628830193,True,True,-0.03840790517031666
20,20,300.0,100.0,0.45,0.15,-0.012381035042103576,-0.006121819168122322,,-0.010660377338150749,True,True,-0.044859663499602416
21,21,300.0,100.0,0.45,0.222,-0.025195946345459037,-0.012862214225846384,,-0.021884997915905414,True,True,-0.051501755869516434
22,22,300.0,100.0,0.45,0.294,-0.03716329157022714,-0.01914918377725054,,-0.03212107409412733,True,True,-0.05856224765347806
23,23,300.0,100.0,0.45,0.3670000000000001,-0.04705566733925609,-0.024331875254651678,,-0.04045415507333172,True,True,-0.06611596322031743
24,24,300.0,100.0,0.45,0.439,-0.055517851732990724,-0.02874410529181451,,-0.04744030992191662,True,True,-0.07414578282628348
25,25,300.0,100.0,0.45,0.511,-0.06378015935456431,-0.03288512098724652,,-0.05415705642879263,True,True,-0.08256743752863238
26,26,300.0,100.0,0.45,0.583,-0.07266286677963424,-0.03726298846017905,,-0.06129574601349778,True,True,-0.0911478805368676
27,27,300.0,100.0,0.45,0.6559999999999999,-0.08262042735263929,-0.04209897564395135,,-0.06924496904242024,True,True,-0.09970772497965473
28,28,300.0,100.0,0.45,0.728,-0.09378435412848835,-0.04749246443264494,,-0.07812624893845528,True,True,-0.1080824539746632
29,29,300.0,100.0,0.45,0.8,-0.1048528964303616,-0.052855041373726465,,-0.08692149529051729,True,True,-0.11627271292887313
30,30,300.0,100.0,0.6,0.15,-0.014610080560686207,-0.008757269375268968,,-0.012715643591705407,True,True,-0.014521251632870475
31,31,300.0,100.0,0.6,0.222,-0.027742616141356667,-0.01729719723157573,,-0.024205123673824654,True,True,-0.02043185322177803
32,32,300.0,100.0,0.6,0.294,-0.03862318061941714,-0.02498015616808872,,-0.03378100639173976,True,True,-0.026502182428578814
33,33,300.0,100.0,0.6,0.3670000000000001,-0.04666947914633278,-0.031270297715039544,,-0.04092249257119844,True,True,-0.03261561298457944
34,34,300.0,100.0,0.6,0.439,-0.05277557359223809,-0.036671966374040126,,-0.04634022762376156,True,True,-0.03874007073876387
35,35,300.0,100.0,0.6,0.511,-0.058876177856926296,-0.04159508066913201,,-0.05129618078097768,True,True,-0.044977787681057736
36,36,300.0,100.0,0.6,0.583,-0.06532271548187263,-0.045007391260521175,,-0.05628878576942326,True,True,-0.05140750826914235
37,37,300.0,100.0,0.6,0.6559999999999999,-0.07274334958013189,-0.0484956691989415,,-0.061883128255699416,True,True,-0.058217399590597664
38,38,300.0,100.0,0.6,0.728,-0.08262964961481642,-0.05274668968173034,,-0.06916316938059873,True,True,-0.06552239916199662
39,39,300.0,100.0,0.6,0.8,-0.09400288242252987,-0.05731861510096251,,-0.07739680654764018,True,True,-0.07338860079310851
40,40,300.0,105.0,0.25,0.15,-0.010226681227751167,0.0069820351082121165,,-0.0016960171968606838,True,True,-0.08183230122311701
41,41,300.0,105.0,0.25,0.222,-0.01637854007936674,0.017804881822780207,,0.0025180521930663192,True,True,-0.0907384070506714
42,42,300.0,105.0,0.25,0.294,-0.019231498896207934,0.02946922794255962,,0.009593273050436715,True,True,-0.10000578540084057
43,43,300.0,105.0,0.25,0.3670000000000001,-0.019546561639375487,0.039988547580904005,,0.017438673690240446,True,True,-0.10950555581267918
44,44,300.0,105.0,0.25,0.439,-0.018145290149894435,0.049499432709405815,,0.0257307712016771,True,True,-0.11922656031212556
45,45,300.0,105.0,0.25,0.511,-0.015405071015936014,0.05905953955773365,,0.03510080724391309,True,True,-0.016249417204488616
46,46,300.0,105.0,0.25,0.583,-0.011468933496487685,0.06942143262474608,,0.04605329972007845,True,True,-0.02215100856641325
47,47,300.0,105.0,0.25,0.6559999999999999,-0.006705321142389791,0.08054152585567363,,0.058269606130980325,True,True,-0.028033113601810468
48,48,300.0,105.0,0.25,0.728,-0.001316325684741387,0.09260994004568922,,0.07178542190901525,True,True,-0.03385693072930972
49,49,300.0,105.0,0.25,0.8,0.003746437570638347,0.10421533297128827,,0.0842228975382931,True,True,-0.03961095372402467
50,50,300.0,105.0,0.35,0.15,-0.006117475375835979,-0.00044785138674091244,,-0.004175393792699647,True,True,-0.045334577543061264
51,51,300.0,105.0,0.35,0.222,-0.010526720605825175,0.0006740539731281784,,-0.005362827117178961,True,True,-0.051074732254275605
52,52,300.0,105.0,0.35,0.294,-0.012966602767051142,0.003485031165672559,,-0.004437016268379358,True,True,-0.05694487523018218
53,53,300.0,105.0,0.35,0.3670000000000001,-0.013699729405446014,0.007763400548043149,,-0.0017095640479111494,True,True,-0.06307238058606048
54,54,300.0,105.0,0.35,0.439,-0.013192700279346667,0.012485358461197683,,0.0016098885332830894,True,True,-0.0696135337821667
55,55,300.0,105.0,0.35,0.511,-0.01171216153694337,0.017948396015465013,,0.005909281235345156,True,True,-0.07676150535143995
56,56,300.0,105.0,0.35,0.583,-0.009367182415627218,0.02445308726040493,,0.01130517686886075,True,True,-0.084713706637551
57,57,300.0,105.0,0.35,0.6559999999999999,-0.006383195669898498,0.031791804087843406,,0.01756545798969853,True,True,-0.09375424184575974
58,58,300.0,105.0,0.35,0.728,-0.0028447764992793477,0.040035625281944424,,0.02463798289622905,True,True,-0.10425066924634452
59,59,300.0,105.0,0.35,0.8,0.00041243274545196205,0.047969079465140965,,0.03121170147383685,True,True,-0.11685362972963755
60,60,300.0,105.0,0.45,0.15,-0.009117620099286607,-0.004415164199525909,,-0.007924527045432223,True,True,-0.002372964565989944
61,61,300.0,105.0,0.45,0.222,-0.01588016819135759,-0.0076899014892880535,,-0.013622717199281124,True,True,0.0020075232298218627
62,62,300.0,105.0,0.45,0.294,-0.020036739582297316,-0.009551254231641595,,-0.016970148843020557,True,True,0.0072919379668291906
63,63,300.0,105.0,0.45,0.3670000000000001,-0.021786565973428887,-0.010057694745159966,,-0.01823840445883633,True,True,0.012785143424857473
64,64,300.0,105.0,0.45,0.439,-0.02176902988804667,-0.009618737499771613,,-0.017943823252969792,True,True,0.018327753320457413
65,65,300.0,105.0,0.45,0.511,-0.020304978865248745,-0.008360888632550103,,-0.01636122135959129,True,True,0.024208048764992243
66,66,300.0,105.0,0.45,0.583,-0.018109460456528947,-0.005559613648048228,,-0.01355529047355442,True,True,0.03054548743609193
67,67,300.0,105.0,0.45,0.6559999999999999,-0.01501252960935681,-0.0005473225964364685,,-0.009674278717755157,True,True,0.03764018735987708
68,68,300.0,105.0,0.45,0.728,-0.011433279289716321,0.0056677959112038856,,-0.004724835505043439,True,True,0.04552796100586458
69,69,300.0,105.0,0.45,0.8,-0.007810042308687415,0.011838351953220458,,0.0002370659243355904,True,True,0.0540557632869404
70,70,300.0,105.0,0.6,0.15,-0.013621454349138022,-0.007515001955207368,,-0.011802476081244209,True,True,0.06298107831171589
71,71,300.0,105.0,0.6,0.222,-0.024751114433896874,-0.013583838487070043,,-0.02144246512247544,True,True,0.07198151062589403
72,72,300.0,105.0,0.6,0.294,-0.03303575934784102,-0.018028685501284093,,-0.028577332404174663,True,True,0.080796903181521
73,73,300.0,105.0,0.6,0.3670000000000001,-0.03826641833418413,-0.020776738528098027,,-0.03304022670711209,True,True,0.08924812356815197
74,74,300.0,105.0,0.6,0.439,-0.041136826631238015,-0.022253571591057078,,-0.0354865121330997,True,True,0.09734431711984508
