,Unnamed: 0,had1,had2,z1,z2,mins,maxx,fit_line,conv
103,103,310.0,200.0,0.45,0.3670000000000001,-0.041723848826083494,-0.015076377636054204,,-0.020838422708061285
104,104,310.0,200.0,0.45,0.439,-0.0460522834563115,-0.016714151599204256,,-0.02169186033391684
105,105,310.0,200.0,0.45,0.511,-0.049134394622423284,-0.017888126536152127,,-0.021873433238166182
106,106,310.0,200.0,0.45,0.583,-0.05154865596939046,-0.01874627426901262,,-0.02178512427732341
107,107,310.0,200.0,0.45,0.6559999999999999,-0.053635249346509116,-0.01940008412072759,,-0.021646486112743932
108,108,310.0,200.0,0.45,0.728,-0.055403839065769574,-0.01986479620509645,,-0.0214976091262906
109,109,310.0,200.0,0.45,0.8,-0.056976633002652724,-0.020233144072076308,,-0.021387982051834408
110,110,310.0,200.0,0.6,0.15,-0.02034152980753984,-0.004707096547024761,,-0.005474652502404701
111,111,310.0,200.0,0.6,0.222,-0.03909599312853441,-0.008922741274862823,,-0.009348676368029359
112,112,310.0,200.0,0.6,0.294,-0.053789501634985346,-0.012195452499656789,,-0.01193719600161024
113,113,310.0,200.0,0.6,0.3670000000000001,-0.0635677432370697,-0.014366401717408633,,-0.01350882324538433
114,114,310.0,200.0,0.6,0.439,-0.06976987557711908,-0.015760790438892794,,-0.014451731829194337
115,115,310.0,200.0,0.6,0.511,-0.07411283884392492,-0.016761520058582058,,-0.015029583258835232
116,116,310.0,200.0,0.6,0.583,-0.07745311467656847,-0.017509752443614177,,-0.015322521859922956
117,117,310.0,200.0,0.6,0.6559999999999999,-0.08060340688818368,-0.018138624460058057,,-0.015431981775624697
118,118,310.0,200.0,0.6,0.728,-0.08325099751988341,-0.018633173267571163,,-0.01533792905393972
119,119,310.0,200.0,0.6,0.8,-0.08585419579679292,-0.019030290979179583,,-0.015152796703847143
120,120,310.0,205.0,0.25,0.15,-0.013841273158533394,0.004055914551711749,,-0.010766465843826132
121,121,310.0,205.0,0.25,0.222,-0.02944962164987026,0.01021772696299833,,-0.023279191063894044
122,122,310.0,205.0,0.25,0.294,-0.04435832722065864,0.01763245308651834,,-0.035371548736102154
123,123,310.0,205.0,0.25,0.3670000000000001,-0.05642164840462858,0.02512690698029971,,-0.045260336044371005
124,124,310.0,205.0,0.25,0.439,-0.06575236206564163,0.032036492987947245,,-0.0529820917240666
125,125,310.0,205.0,0.25,0.511,-0.07394714972683009,0.03818323285723229,,-0.05918996041329756
126,126,310.0,205.0,0.25,0.583,-0.08088214577267876,0.04336759222725555,,-0.06423184074139954
127,127,310.0,205.0,0.25,0.6559999999999999,-0.08663450362877076,0.04761913473737884,,-0.06842069405444452
128,128,310.0,205.0,0.25,0.728,-0.09178180344151717,0.05132358584466058,,-0.07217095749360697
129,129,310.0,205.0,0.25,0.8,-0.09623425253501318,0.05439891315140808,,-0.07545629601967087
130,130,310.0,205.0,0.35,0.15,-0.00962118515997167,-0.0024748947042990753,,-0.007437040928287167
131,131,310.0,205.0,0.35,0.222,-0.01977057724864627,-0.0047710466546771624,,-0.015650772608340833
132,132,310.0,205.0,0.35,0.294,-0.028804299018949056,-0.005962091222200724,,-0.02293149812148858
133,133,310.0,205.0,0.35,0.3670000000000001,-0.03528826337581256,-0.005493943865665187,,-0.028432613585520364
134,134,310.0,205.0,0.35,0.439,-0.040326962357781444,-0.0037978328896555494,,-0.032421927805310786
135,135,310.0,205.0,0.35,0.511,-0.04440776460488576,-0.0021921987790988373,,-0.035459572714431835
136,136,310.0,205.0,0.35,0.583,-0.047695855808506625,-0.0007142381092091142,,-0.037871042407754484
137,137,310.0,205.0,0.35,0.6559999999999999,-0.05041146898606936,0.0004743546065453378,,-0.03985841215469873
138,138,310.0,205.0,0.35,0.728,-0.05282927351999426,0.0014172941682515901,,-0.041617753260913715
139,139,310.0,205.0,0.35,0.8,-0.05491114805607195,0.0021133300772117323,,-0.04312380519338533
140,140,310.0,205.0,0.45,0.15,-0.012936760854264276,-0.004858812338078777,,-0.009878543184652169
141,141,310.0,205.0,0.45,0.222,-0.02517863376668414,-0.009241804127730699,,-0.019408038634558544
142,142,310.0,205.0,0.45,0.294,-0.03504711899831207,-0.012687820100801146,,-0.02696999102052048
143,143,310.0,205.0,0.45,0.3670000000000001,-0.041723848826083494,-0.015076377636054204,,-0.03206185924562641
144,144,310.0,205.0,0.45,0.439,-0.0460522834563115,-0.016714151599204256,,-0.03534039951628083
145,145,310.0,205.0,0.45,0.511,-0.049134394622423284,-0.017888126536152127,,-0.037597703569477434
146,146,310.0,205.0,0.45,0.583,-0.05154865596939046,-0.01874627426901262,,-0.03928852956374925
147,147,310.0,205.0,0.45,0.6559999999999999,-0.053635249346509116,-0.01940008412072759,,-0.040693864218476566
148,148,310.0,205.0,0.45,0.728,-0.055403839065769574,-0.01986479620509645,,-0.0418416324497101
149,149,310.0,205.0,0.45,0.8,-0.056976633002652724,-0.020233144072076308,,-0.042844980533728885
150,150,310.0,205.0,0.6,0.15,-0.02034152980753984,-0.004707096547024761,,-0.016678038198158683
151,151,310.0,205.0,0.6,0.222,-0.03909599312853441,-0.008922741274862823,,-0.0322042286164426
152,152,310.0,205.0,0.6,0.294,-0.053789501634985346,-0.012195452499656789,,-0.04444084143925512
153,153,310.0,205.0,0.6,0.3670000000000001,-0.0635677432370697,-0.014366401717408633,,-0.052583819692944185
154,154,310.0,205.0,0.6,0.439,-0.06976987557711908,-0.015760790438892794,,-0.057792110584438186
155,155,310.0,205.0,0.6,0.511,-0.07411283884392492,-0.016761520058582058,,-0.06156742221672435
156,156,310.0,205.0,0.6,0.583,-0.07745311467656847,-0.017509752443614177,,-0.06446229831038908
157,157,310.0,205.0,0.6,0.6559999999999999,-0.08060340688818368,-0.018138624460058057,,-0.06697637030668177
158,158,310.0,205.0,0.6,0.728,-0.08325099751988341,-0.018633173267571163,,-0.06905305016687865
159,159,310.0,205.0,0.6,0.8,-0.08585419579679292,-0.019030290979179583,,-0.0707749344810757
