,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,had1,had2,z1,z2,conv,reference,mins,maxx,valid_min,valid_max
0,0,0,0,300.0,200.0,0.25,0.15,-0.010766465843826132,-0.016370201421845296,-0.013804959820848544,0.004392530952568116,True,True
1,1,1,1,300.0,200.0,0.25,0.222,-0.023279191063894044,-0.023591955866295627,-0.029185570850043037,0.01134687545705002,True,True
2,2,2,2,300.0,200.0,0.25,0.294,-0.035371548736102154,-0.0303207181694304,-0.04365915940549262,0.02115351836395624,True,True
3,3,3,3,300.0,200.0,0.25,0.3670000000000001,-0.045260336044371005,-0.03625491958121728,-0.0560129365356397,0.03106811394957738,True,True
4,4,4,4,300.0,200.0,0.25,0.439,-0.0529820917240666,-0.04137736193843507,-0.06629079976303419,0.03993143463971673,True,True
5,5,5,5,300.0,200.0,0.25,0.511,-0.05918996041329756,-0.045882725935758886,-0.07457272230045965,0.04759192369149906,True,True
6,6,6,6,300.0,200.0,0.25,0.583,-0.06423184074139954,-0.04976365979265948,-0.08132104032400181,0.05397489382832658,True,True
7,7,7,7,300.0,200.0,0.25,0.6559999999999999,-0.06842069405444452,-0.05314133733961365,-0.08709105755380528,0.059258438200177885,True,True
8,8,8,8,300.0,200.0,0.25,0.728,-0.07217095749360697,-0.056045800985529096,-0.09236494481914798,0.06381916270426219,True,True
9,9,9,9,300.0,200.0,0.25,0.8,-0.07545629601967087,-0.05854314514286243,-0.0968533493590338,0.06763228296198237,True,True
10,10,10,10,300.0,200.0,0.35,0.15,-0.007437040928287167,-0.0606710404951073,-0.00949116600750615,-0.0022938243082932038,True,True
11,11,11,11,300.0,200.0,0.35,0.222,-0.015650772608340833,-0.06256815977614291,-0.01951021876823468,-0.004283992693830321,True,True
12,12,12,12,300.0,200.0,0.35,0.294,-0.02293149812148858,-0.0642736064072362,-0.02883846345509487,-0.005133266223128261,True,True
13,13,13,13,300.0,200.0,0.35,0.3670000000000001,-0.028432613585520364,-0.06584849042847528,-0.03588923948410525,-0.004913822915632549,True,True
14,14,14,14,300.0,200.0,0.35,0.439,-0.03242192780531078,-0.06734641053866465,-0.040970985548918766,-0.003658978520054404,True,True
15,15,15,15,300.0,200.0,0.35,0.511,-0.035459572714431835,-0.011634783177934623,-0.04482287104905335,-0.0024358300604668264,True,True
16,16,16,16,300.0,200.0,0.35,0.583,-0.037871042407754484,-0.016093472098554443,-0.047921995780550036,-0.001317382851119064,True,True
17,17,17,17,300.0,200.0,0.35,0.6559999999999999,-0.03985841215469873,-0.020384516694294988,-0.05052559959844112,-0.00044929288013492746,True,True
18,18,18,18,300.0,200.0,0.35,0.728,-0.04161775326091372,-0.0243877768396603,-0.052897468709896055,0.00019786902033241616,True,True
