,Unnamed: 0,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
0,0,0,300.0,100.0,0.25,0.15,-0.017207295792622864,0.004076135472954892,,-0.013264811376060507,True,True,-0.019968527147016284
1,1,1,300.0,100.0,0.25,0.222,-0.0360878154436085,0.006314504051018036,,-0.028411882820320287,True,True,-0.02935963866816464
2,2,2,300.0,100.0,0.25,0.294,-0.05397395268739366,0.006420847474501803,,-0.04322263212115403,True,True,-0.03831414191305173
3,3,3,300.0,100.0,0.25,0.3670000000000001,-0.06897425297697111,0.00492047432357429,,-0.056038924285563535,True,True,-0.04650992977528313
4,4,4,300.0,100.0,0.25,0.439,-0.08281670552779463,0.002326002495293484,,-0.06747864485608124,True,True,-0.05407423108234154
5,5,5,300.0,100.0,0.25,0.511,-0.0970949107179392,-0.001349668949053637,,-0.07908649708466621,True,True,-0.06151221520391836
6,6,6,300.0,100.0,0.25,0.583,-0.11253397767638486,-0.006042097206905453,,-0.09176388208534143,True,True,-0.06909412291195881
7,7,7,300.0,100.0,0.25,0.6559999999999999,-0.12928909118862925,-0.01151353428602442,,-0.10557780142580038,True,True,-0.07723234677733254
8,8,8,300.0,100.0,0.25,0.728,-0.1476110882013218,-0.01844415600689991,,-0.12072331654156016,True,True,-0.08602088791467223
9,9,9,300.0,100.0,0.25,0.8,-0.16460649366723604,-0.023719997203441517,,-0.13479724927122194,True,True,-0.09538932199559194
10,10,10,300.0,100.0,0.35,0.15,-0.010954845649266536,-0.0009419315423015554,,-0.00891994656238228,True,True,-0.10517299614238787
11,11,11,300.0,100.0,0.35,0.222,-0.023426583770263756,-0.002873325414345249,,-0.01976239740048113,True,True,-0.11502301158409378
12,12,12,300.0,100.0,0.35,0.294,-0.035688695463422945,-0.005290503127416998,,-0.030442029705512182,True,True,-0.12469422697235448
13,13,13,300.0,100.0,0.35,0.3670000000000001,-0.04622281987222301,-0.0077629351730390895,,-0.03963322030268246,True,True,-0.13398890199461838
14,14,14,300.0,100.0,0.35,0.439,-0.05529905283834155,-0.010245213985402306,,-0.047599098279696064,True,True,-0.14294565483522
15,15,15,300.0,100.0,0.35,0.511,-0.0641182698928985,-0.01297682786222326,,-0.0554041303460357,True,True,-0.013058878803091098
16,16,16,300.0,100.0,0.35,0.583,-0.07356750496345407,-0.016079043303756358,,-0.06377547181550873,True,True,-0.019214445867661984
17,17,17,300.0,100.0,0.35,0.6559999999999999,-0.08379880631565075,-0.01957986139188694,,-0.07277105481261101,True,True,-0.025627600491035785
18,18,18,300.0,100.0,0.35,0.728,-0.09495095183816259,-0.02349000007052273,,-0.08281407892687716,True,True,-0.03204985057885544
19,19,19,300.0,100.0,0.35,0.8,-0.10573654220778071,-0.027188078836302507,,-0.09229968628830193,True,True,-0.03840790517031666
20,20,20,300.0,100.0,0.45,0.15,-0.01234783411083039,-0.00455054547682989,,-0.010660377338150749,True,True,-0.044859663499602416
21,21,21,300.0,100.0,0.45,0.222,-0.02542770652336505,-0.00991804540314426,,-0.021884997915905414,True,True,-0.051501755869516434
22,22,22,300.0,100.0,0.45,0.294,-0.037474649370143776,-0.01515895882782363,,-0.03212107409412733,True,True,-0.05856224765347806
23,23,23,300.0,100.0,0.45,0.3670000000000001,-0.047342946682284164,-0.019665564931600113,,-0.04045415507333172,True,True,-0.06611596322031743
24,24,24,300.0,100.0,0.45,0.439,-0.05562518136367713,-0.02373437872406038,,-0.04744030992191662,True,True,-0.07414578282628348
25,25,25,300.0,100.0,0.45,0.511,-0.06372212866242852,-0.027899461979991293,,-0.05415705642879263,True,True,-0.08256743752863238
26,26,26,300.0,100.0,0.45,0.583,-0.07238842324770095,-0.03251967548706918,,-0.06129574601349778,True,True,-0.0911478805368676
27,27,27,300.0,100.0,0.45,0.6559999999999999,-0.08207091577147296,-0.037792446766846025,,-0.06924496904242024,True,True,-0.09970772497965473
28,28,28,300.0,100.0,0.45,0.728,-0.09298756599237994,-0.04367427059052102,,-0.07812624893845528,True,True,-0.1080824539746632
29,29,29,300.0,100.0,0.45,0.8,-0.1037498372524503,-0.04901003833712345,,-0.08692149529051729,True,True,-0.11627271292887313
30,30,30,300.0,100.0,0.6,0.15,-0.0144768505276473,-0.008294850617157899,,-0.012715643591705407,True,True,-0.014521251632870475
31,31,31,300.0,100.0,0.6,0.222,-0.027601239976012246,-0.016162363567372773,,-0.024205123673824654,True,True,-0.02043185322177803
32,32,32,300.0,100.0,0.6,0.294,-0.038587567677245777,-0.023027781285897355,,-0.03378100639173976,True,True,-0.026502182428578814
33,33,33,300.0,100.0,0.6,0.3670000000000001,-0.046835335102064335,-0.028353124427448095,,-0.04092249257119844,True,True,-0.03261561298457944
34,34,34,300.0,100.0,0.6,0.439,-0.05315890506060496,-0.03276931241432848,,-0.04634022762376156,True,True,-0.03874007073876387
35,35,35,300.0,100.0,0.6,0.511,-0.0590100681111523,-0.03693563627974154,,-0.05129618078097768,True,True,-0.044977787681057736
36,36,36,300.0,100.0,0.6,0.583,-0.06500327087018636,-0.040851425301827886,,-0.05628878576942326,True,True,-0.05140750826914235
37,37,37,300.0,100.0,0.6,0.6559999999999999,-0.07179527190883579,-0.04534759400647865,,-0.061883128255699416,True,True,-0.058217399590597664
38,38,38,300.0,100.0,0.6,0.728,-0.08070903797588634,-0.051182480360093444,,-0.06916316938059873,True,True,-0.06552239916199662
39,39,39,300.0,100.0,0.6,0.8,-0.09176322638197439,-0.05625377634786647,,-0.07739680654764018,True,True,-0.07338860079310851
40,40,40,300.0,105.0,0.25,0.15,-0.010665067159807947,0.00906583520666537,,-0.0016960171968606838,True,True,-0.08183230122311701
41,41,41,300.0,105.0,0.25,0.222,-0.018583550922960986,0.021928175725274012,,0.0025180521930663192,True,True,-0.0907384070506714
