,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,had1,had2,z1,z2,conv,reference,mins,maxx,valid_min,valid_max
0,0,0,0,300.0,100.0,0.25,0.15,-0.013264811376060507,-0.019968527147016284,-0.018141954313189185,0.004076135472954892,True,True
1,1,1,1,300.0,100.0,0.25,0.222,-0.028411882820320287,-0.02935963866816464,-0.03703300935387062,0.006314504051018036,True,True
2,2,2,2,300.0,100.0,0.25,0.294,-0.04322263212115403,-0.038314141913051734,-0.05557061873895819,0.006420847474501803,True,True
3,3,3,3,300.0,100.0,0.25,0.3670000000000001,-0.056038924285563535,-0.04650992977528313,-0.07095549187445704,0.00492047432357429,True,True
4,4,4,4,300.0,100.0,0.25,0.439,-0.06747864485608124,-0.05407423108234154,-0.0840819113743624,0.002326002495293484,True,True
5,5,5,5,300.0,100.0,0.25,0.511,-0.07908649708466621,-0.06151221520391836,-0.0970949107179392,-0.00019903542790415164,True,True
6,6,6,6,300.0,100.0,0.25,0.583,-0.09176388208534143,-0.06909412291195881,-0.11253397767638486,-0.0028525732003799056,True,True
7,7,7,7,300.0,100.0,0.25,0.6559999999999999,-0.10557780142580038,-0.07723234677733254,-0.12928909118862925,-0.005893129915978128,True,True
8,8,8,8,300.0,100.0,0.25,0.728,-0.12072331654156016,-0.08602088791467223,-0.1476110882013218,-0.009219464468327677,True,True
9,9,9,9,300.0,100.0,0.25,0.8,-0.13479724927122194,-0.09538932199559194,-0.16460649366723604,-0.01223067720469928,True,True
10,10,10,10,300.0,100.0,0.35,0.15,-0.00891994656238228,-0.10517299614238787,-0.010954845649266536,-0.0009419315423015555,True,True
11,11,11,11,300.0,100.0,0.35,0.222,-0.019762397400481132,-0.11502301158409378,-0.02342658377026376,-0.002873325414345249,True,True
12,12,12,12,300.0,100.0,0.35,0.294,-0.030442029705512182,-0.12469422697235448,-0.035688695463422945,-0.005290503127416997,True,True
13,13,13,13,300.0,100.0,0.35,0.3670000000000001,-0.03963322030268246,-0.13398890199461838,-0.046222819872223014,-0.0076968065173295954,True,True
14,14,14,14,300.0,100.0,0.35,0.439,-0.047599098279696064,-0.14294565483522,-0.05529905283834155,-0.00974055590696098,True,True
15,15,15,15,300.0,100.0,0.35,0.511,-0.0554041303460357,-0.013058878803091098,-0.0641182698928985,-0.011902048239963707,True,True
16,16,16,16,300.0,100.0,0.35,0.583,-0.06377547181550873,-0.019214445867661984,-0.07356750496345407,-0.01427309951404789,True,True
17,17,17,17,300.0,100.0,0.35,0.6559999999999999,-0.07277105481261101,-0.025627600491035785,-0.08390696431162181,-0.016893433087290417,True,True
18,18,18,18,300.0,100.0,0.35,0.728,-0.08281407892687716,-0.03204985057885544,-0.09600422958551184,-0.019766511824958304,True,True
19,19,19,19,300.0,100.0,0.35,0.8,-0.09229968628830193,-0.03840790517031666,-0.10742550759424177,-0.02246441323416664,True,True
20,20,20,20,300.0,100.0,0.45,0.15,-0.010660377338150749,-0.044859663499602416,-0.012569656062641295,-0.00455054547682989,True,True
21,21,21,21,300.0,100.0,0.45,0.222,-0.021884997915905414,-0.051501755869516434,-0.02542770652336505,-0.00991804540314426,True,True
22,22,22,22,300.0,100.0,0.45,0.294,-0.03212107409412733,-0.05856224765347806,-0.037474649370143776,-0.015158958827823631,True,True
23,23,23,23,300.0,100.0,0.45,0.3670000000000001,-0.04045415507333172,-0.06611596322031743,-0.047342946682284164,-0.019665564931600116,True,True
24,24,24,24,300.0,100.0,0.45,0.439,-0.04744030992191662,-0.07414578282628348,-0.05562518136367713,-0.02373437872406038,True,True
25,25,25,25,300.0,100.0,0.45,0.511,-0.05415705642879263,-0.08256743752863238,-0.06372212866242853,-0.027711271179640937,True,True
26,26,26,26,300.0,100.0,0.45,0.583,-0.06129574601349778,-0.0911478805368676,-0.07265939143203186,-0.03196195081486965,True,True
27,27,27,27,300.0,100.0,0.45,0.6559999999999999,-0.06924496904242024,-0.09970772497965473,-0.08291020497201622,-0.03675977047445385,True,True
28,28,28,28,300.0,100.0,0.45,0.728,-0.07812624893845528,-0.1080824539746632,-0.09444832114779808,-0.04215675495887464,True,True
29,29,29,29,300.0,100.0,0.45,0.8,-0.08692149529051729,-0.11627271292887313,-0.10591330360340664,-0.047531391608687794,True,True
30,30,30,30,300.0,100.0,0.6,0.15,-0.012715643591705407,-0.014521251632870475,-0.014986819765477487,-0.0063997676184926605,True,True
31,31,31,31,300.0,100.0,0.6,0.222,-0.024205123673824654,-0.02043185322177803,-0.028429689487535038,-0.012779551812653831,True,True
32,32,32,32,300.0,100.0,0.6,0.294,-0.03378100639173976,-0.026502182428578814,-0.039547106049759084,-0.0185399623880824,True,True
33,33,33,33,300.0,100.0,0.6,0.3670000000000001,-0.04092249257119844,-0.03261561298457944,-0.04775263830425217,-0.023250637943386908,True,True
34,34,34,34,300.0,100.0,0.6,0.439,-0.04634022762376156,-0.03874007073876387,-0.053883191333989014,-0.027385873464173212,True,True
35,35,35,35,300.0,100.0,0.6,0.511,-0.05129618078097768,-0.044977787681057736,-0.05938550687299762,-0.031690370264201496,True,True
36,36,36,36,300.0,100.0,0.6,0.583,-0.05628878576942326,-0.05140750826914235,-0.0660211748640732,-0.03666181446825347,True,True
37,37,37,37,300.0,100.0,0.6,0.6559999999999999,-0.061883128255699416,-0.058217399590597664,-0.07388128595359894,-0.04291674389829926,True,True
38,38,38,38,300.0,100.0,0.6,0.728,-0.06916316938059873,-0.06552239916199662,-0.08443058277412388,-0.0499224097363392,True,True
39,39,39,39,300.0,100.0,0.6,0.8,-0.07739680654764018,-0.07338860079310851,-0.09662813457191498,-0.056072742900403205,True,True
40,40,40,40,300.0,105.0,0.25,0.15,-0.0016960171968606838,-0.08183230122311701,-0.010759717841500214,0.01038536958577153,True,True
41,41,41,41,300.0,105.0,0.25,0.222,0.0025180521930663192,-0.0907384070506714,-0.018583550922960983,0.02472271875548994,True,True
42,42,42,42,300.0,105.0,0.25,0.294,0.009593273050436715,-0.10000578540084057,-0.023789416372167645,0.03923535073219489,True,True
43,43,43,43,300.0,105.0,0.25,0.3670000000000001,0.017438673690240446,-0.10950555581267918,-0.02618775338321706,0.051702969084352034,True,True
44,44,44,44,300.0,105.0,0.25,0.439,0.0257307712016771,-0.11922656031212556,-0.02657830418044804,0.06241346818257802,True,True
45,45,45,45,300.0,105.0,0.25,0.511,0.03510080724391309,-0.016249417204488616,-0.025556590757681,0.07270544689480435,True,True
46,46,46,46,300.0,105.0,0.25,0.583,0.04605329972007845,-0.02215100856641325,-0.02340792207410761,0.08348579560378733,True,True
47,47,47,47,300.0,105.0,0.25,0.6559999999999999,0.058269606130980325,-0.028033113601810468,-0.020535593736349576,0.09484245487254794,True,True
48,48,48,48,300.0,105.0,0.25,0.728,0.07178542190901525,-0.03385693072930972,-0.01708060317152945,0.10706523869790066,True,True
49,49,49,49,300.0,105.0,0.25,0.8,0.0842228975382931,-0.03961095372402467,-0.013892051459284429,0.11895582544995224,True,True
50,50,50,50,300.0,105.0,0.35,0.15,-0.004175393792699647,-0.045334577543061264,-0.006417539493869353,0.0009606322099613523,True,True
51,51,51,51,300.0,105.0,0.35,0.222,-0.005362827117178961,-0.051074732254275605,-0.011016850641434995,0.0027606132379715664,True,True
52,52,52,52,300.0,105.0,0.35,0.294,-0.004437016268379358,-0.05694487523018218,-0.01411633723146935,0.004873001774834368,True,True
53,53,53,53,300.0,105.0,0.35,0.3670000000000001,-0.0017095640479111494,-0.06307238058606048,-0.015718672644340768,0.009120648012055404,True,True
54,54,54,54,300.0,105.0,0.35,0.439,0.0016098885332830894,-0.0696135337821667,-0.016108649864934974,0.014155731832864431,True,True
55,55,55,55,300.0,105.0,0.35,0.511,0.005909281235345156,-0.07676150535143995,-0.015616101169491553,0.019964021797604262,True,True
56,56,56,56,300.0,105.0,0.35,0.583,0.01130517686886075,-0.084713706637551,-0.014397235995361763,0.02702260510341105,True,True
57,57,57,57,300.0,105.0,0.35,0.6559999999999999,0.01756545798969853,-0.09375424184575974,-0.012654294287531549,0.03542503788084518,True,True
58,58,58,58,300.0,105.0,0.35,0.728,0.02463798289622905,-0.10425066924634452,-0.01049076082857137,0.04487033246665451,True,True
59,59,59,59,300.0,105.0,0.35,0.8,0.03121170147383685,-0.11685362972963755,-0.008425741508371906,0.05362584261860378,True,True
60,60,60,60,300.0,105.0,0.45,0.15,-0.007924527045432223,-0.002372964565989944,-0.00940149568215362,-0.002809369439397795,True,True
61,61,61,61,300.0,105.0,0.45,0.222,-0.013622717199281124,0.0020075232298218627,-0.016068534317590987,-0.0047152462330140345,True,True
62,62,62,62,300.0,105.0,0.45,0.294,-0.016970148843020557,0.0072919379668291906,-0.02009654728520328,-0.005632209788790546,True,True
63,63,63,63,300.0,105.0,0.45,0.3670000000000001,-0.01823840445883633,0.012785143424857473,-0.02192602215852388,-0.0056973543745108225,True,True
64,64,64,64,300.0,105.0,0.45,0.439,-0.017943823252969792,0.018327753320457413,-0.02219165359004524,-0.005134615951917167,True,True
65,65,65,65,300.0,105.0,0.45,0.511,-0.01636122135959129,0.024208048764992243,-0.02115884423451157,-0.003993588803724092,True,True
66,66,66,66,300.0,105.0,0.45,0.583,-0.01355529047355442,0.03054548743609193,-0.01895743664156834,-0.0022239782514194,True,True
67,67,67,67,300.0,105.0,0.45,0.6559999999999999,-0.009674278717755157,0.03764018735987708,-0.016638410968936822,0.0005137412470231045,True,True
68,68,68,68,300.0,105.0,0.45,0.728,-0.004724835505043439,0.04552796100586458,-0.01390293934855027,0.007476853917846349,True,True
69,69,69,69,300.0,105.0,0.45,0.8,0.0002370659243355904,0.0540557632869404,-0.011097033342969236,0.014543834520329285,True,True
70,70,70,70,300.0,105.0,0.6,0.15,-0.011802476081244209,0.06298107831171589,-0.013969688212884376,-0.005508012431312589,True,True
71,71,71,71,300.0,105.0,0.6,0.222,-0.02144246512247544,0.07198151062589403,-0.02533610763508776,-0.0100601297839776,True,True
72,72,72,72,300.0,105.0,0.6,0.294,-0.028577332404174663,0.080796903181521,-0.033709266949086984,-0.013456182991149987,True,True
73,73,73,73,300.0,105.0,0.6,0.3670000000000001,-0.03304022670711209,0.08924812356815197,-0.0389011943057238,-0.015557770542721415,True,True
74,74,74,74,300.0,105.0,0.6,0.439,-0.0354865121330997,0.09734431711984508,-0.041684321016510976,-0.016759513833479598,True,True
75,75,75,75,300.0,105.0,0.6,0.511,-0.036642586283535804,-0.0060817021593063715,-0.04290411125002795,-0.017322149813611118,True,True
76,76,76,76,300.0,105.0,0.6,0.583,-0.036482898552261236,-0.005978325063309704,-0.042799691762166296,-0.017206446021545824,True,True
77,77,77,77,300.0,105.0,0.6,0.6559999999999999,-0.034981142948114795,-0.005064853762878098,-0.04127712914379684,-0.016425522787182668,True,True
78,78,78,78,300.0,105.0,0.6,0.728,-0.031943256267808015,-0.003581934994692537,-0.03804221098989315,-0.014811745567784116,True,True
79,79,79,79,300.0,105.0,0.6,0.8,-0.027765130761846283,-0.0016209754451922665,-0.033535390687534215,-0.012563171915966748,True,True
80,80,80,80,310.0,100.0,0.25,0.15,-0.0016960171968606838,0.0009169573936334672,-0.010759717841500214,0.01038536958577153,True,True
81,81,81,81,310.0,100.0,0.25,0.222,0.0025180521930663192,0.004058307985806839,-0.018583550922960983,0.02472271875548994,True,True
82,82,82,82,310.0,100.0,0.25,0.294,0.009593273050436715,0.007938777353969051,-0.023789416372167645,0.03923535073219489,True,True
83,83,83,83,310.0,100.0,0.25,0.3670000000000001,0.017438673690240446,0.01256335599431045,-0.02618775338321706,0.051702969084352034,True,True
84,84,84,84,310.0,100.0,0.25,0.439,0.0257307712016771,0.01782016069611016,-0.02657830418044804,0.06241346818257802,True,True
85,85,85,85,310.0,100.0,0.25,0.511,0.03510080724391309,0.023533164450475253,-0.025556590757681,0.07270544689480435,True,True
86,86,86,86,310.0,100.0,0.25,0.583,0.04605329972007845,0.02947614695209455,-0.02340792207410761,0.08348579560378733,True,True
87,87,87,87,310.0,100.0,0.25,0.6559999999999999,0.058269606130980325,0.03544973505158671,-0.020535593736349576,0.09484245487254794,True,True
88,88,88,88,310.0,100.0,0.25,0.728,0.07178542190901525,0.041305214452426894,-0.01708060317152945,0.10706523869790066,True,True
89,89,89,89,310.0,100.0,0.25,0.8,0.0842228975382931,0.047005379166905815,-0.013892051459284429,0.11895582544995224,True,True
90,90,90,90,310.0,100.0,0.35,0.15,-0.004175393792699647,-0.011082853420528477,-0.006417539493869353,0.0009606322099613523,True,True
91,91,91,91,310.0,100.0,0.35,0.222,-0.005362827117178961,-0.013792137966952066,-0.011016850641434995,0.0027606132379715664,True,True
92,92,92,92,310.0,100.0,0.35,0.294,-0.004437016268379358,-0.01590941690236955,-0.01411633723146935,0.004873001774834368,True,True
93,93,93,93,310.0,100.0,0.35,0.3670000000000001,-0.0017095640479111494,-0.017500873370813734,-0.015718672644340768,0.009120648012055404,True,True
94,94,94,94,310.0,100.0,0.35,0.439,0.0016098885332830894,-0.01856712633402499,-0.016108649864934974,0.014155731832864431,True,True
95,95,95,95,310.0,100.0,0.35,0.511,0.005909281235345156,-0.019006969876985403,-0.015616101169491553,0.019964021797604262,True,True
96,96,96,96,310.0,100.0,0.35,0.583,0.01130517686886075,-0.018758138344005453,-0.014397235995361763,0.02702260510341105,True,True
97,97,97,97,310.0,100.0,0.35,0.6559999999999999,0.01756545798969853,-0.01767763619959429,-0.012654294287531549,0.03542503788084518,True,True
98,98,98,98,310.0,100.0,0.35,0.728,0.02463798289622905,-0.015692722565288822,-0.01049076082857137,0.04487033246665451,True,True
99,99,99,99,310.0,100.0,0.35,0.8,0.03121170147383685,-0.01281722911448816,-0.008425741508371906,0.05362584261860378,True,True
100,100,100,100,310.0,100.0,0.45,0.15,-0.007924527045432223,-0.009132356850495722,-0.00940149568215362,-0.002809369439397795,True,True
101,101,101,101,310.0,100.0,0.45,0.222,-0.013622717199281124,-0.004781818315197975,-0.016068534317590987,-0.0047152462330140345,True,True
102,102,102,102,310.0,100.0,0.45,0.294,-0.016970148843020557,7.389487617446989e-05,-0.02009654728520328,-0.005632209788790546,True,True
103,103,103,103,310.0,100.0,0.45,0.3670000000000001,-0.01823840445883633,0.005282325270733503,-0.02192602215852388,-0.0056973543745108225,True,True
104,104,104,104,310.0,100.0,0.45,0.439,-0.017943823252969792,0.010760975036172007,-0.02219165359004524,-0.005134615951917167,True,True
105,105,105,105,310.0,100.0,0.45,0.511,-0.01636122135959129,-0.015327227187344222,-0.02115884423451157,-0.003993588803724092,True,True
106,106,106,106,310.0,100.0,0.45,0.583,-0.01355529047355442,-0.0203211309339953,-0.01895743664156834,-0.0022239782514194,True,True
107,107,107,107,310.0,100.0,0.45,0.6559999999999999,-0.009674278717755157,-0.02501559006181095,-0.016638410968936822,0.0005137412470231045,True,True
108,108,108,108,310.0,100.0,0.45,0.728,-0.004724835505043439,-0.0293933606906966,-0.01390293934855027,0.007476853917846349,True,True
109,109,109,109,310.0,100.0,0.45,0.8,0.0002370659243355904,-0.033416682216860484,-0.011097033342969236,0.014543834520329285,True,True
110,110,110,110,310.0,100.0,0.6,0.15,-0.011802476081244209,-0.037003702214582115,-0.013969688212884376,-0.005508012431312589,True,True
111,111,111,111,310.0,100.0,0.6,0.222,-0.02144246512247544,-0.04007524196876136,-0.02533610763508776,-0.0100601297839776,True,True
112,112,112,112,310.0,100.0,0.6,0.294,-0.028577332404174663,-0.04248929329053234,-0.033709266949086984,-0.013456182991149987,True,True
113,113,113,113,310.0,100.0,0.6,0.3670000000000001,-0.03304022670711209,-0.04409259115202562,-0.0389011943057238,-0.015557770542721415,True,True
114,114,114,114,310.0,100.0,0.6,0.439,-0.0354865121330997,-0.04472115674384077,-0.041684321016510976,-0.016759513833479598,True,True
115,115,115,115,310.0,100.0,0.6,0.511,-0.036642586283535804,-0.04419052803030598,-0.04290411125002795,-0.017322149813611118,True,True
116,116,116,116,310.0,100.0,0.6,0.583,-0.036482898552261236,-0.042299339678509636,-0.042799691762166296,-0.017206446021545824,True,True
117,117,117,117,310.0,100.0,0.6,0.6559999999999999,-0.034981142948114795,-0.0387836052946975,-0.04127712914379684,-0.016425522787182668,True,True
118,118,118,118,310.0,100.0,0.6,0.728,-0.031943256267808015,-0.0332998766888293,-0.03804221098989315,-0.014811745567784116,True,True
119,119,119,119,310.0,100.0,0.6,0.8,-0.027765130761846283,-0.025262545052170564,-0.033535390687534215,-0.012563171915966748,True,True
120,120,120,120,310.0,105.0,0.25,0.15,-0.013264811376060507,-0.002372964565989944,-0.018141954313189185,0.004076135472954892,True,True
121,121,121,121,310.0,105.0,0.25,0.222,-0.028411882820320287,0.0020075232298218627,-0.03703300935387062,0.006314504051018036,True,True
122,122,122,122,310.0,105.0,0.25,0.294,-0.04322263212115403,0.0072919379668291906,-0.05557061873895819,0.006420847474501803,True,True
123,123,123,123,310.0,105.0,0.25,0.3670000000000001,-0.056038924285563535,0.012785143424857473,-0.07095549187445704,0.00492047432357429,True,True
124,124,124,124,310.0,105.0,0.25,0.439,-0.06747864485608124,0.018327753320457413,-0.0840819113743624,0.002326002495293484,True,True
125,125,125,125,310.0,105.0,0.25,0.511,-0.07908649708466621,0.024208048764992243,-0.0970949107179392,-0.00019903542790415164,True,True
126,126,126,126,310.0,105.0,0.25,0.583,-0.09176388208534143,0.03054548743609193,-0.11253397767638486,-0.0028525732003799056,True,True
127,127,127,127,310.0,105.0,0.25,0.6559999999999999,-0.10557780142580038,0.03764018735987708,-0.12928909118862925,-0.005893129915978128,True,True
128,128,128,128,310.0,105.0,0.25,0.728,-0.12072331654156016,0.04552796100586458,-0.1476110882013218,-0.009219464468327677,True,True
129,129,129,129,310.0,105.0,0.25,0.8,-0.13479724927122194,0.0540557632869404,-0.16460649366723604,-0.01223067720469928,True,True
130,130,130,130,310.0,105.0,0.35,0.15,-0.00891994656238228,0.06298107831171589,-0.010954845649266536,-0.0009419315423015555,True,True
131,131,131,131,310.0,105.0,0.35,0.222,-0.019762397400481132,0.07198151062589403,-0.02342658377026376,-0.002873325414345249,True,True
132,132,132,132,310.0,105.0,0.35,0.294,-0.030442029705512182,0.080796903181521,-0.035688695463422945,-0.005290503127416997,True,True
133,133,133,133,310.0,105.0,0.35,0.3670000000000001,-0.03963322030268246,0.08924812356815197,-0.046222819872223014,-0.0076968065173295954,True,True
134,134,134,134,310.0,105.0,0.35,0.439,-0.047599098279696064,0.09734431711984508,-0.05529905283834155,-0.00974055590696098,True,True
135,135,135,135,310.0,105.0,0.35,0.511,-0.0554041303460357,-0.0060817021593063715,-0.0641182698928985,-0.011902048239963707,True,True
136,136,136,136,310.0,105.0,0.35,0.583,-0.06377547181550873,-0.005978325063309704,-0.07356750496345407,-0.01427309951404789,True,True
137,137,137,137,310.0,105.0,0.35,0.6559999999999999,-0.07277105481261101,-0.005064853762878098,-0.08390696431162181,-0.016893433087290417,True,True
138,138,138,138,310.0,105.0,0.35,0.728,-0.08281407892687716,-0.003581934994692537,-0.09600422958551184,-0.019766511824958304,True,True
139,139,139,139,310.0,105.0,0.35,0.8,-0.09229968628830193,-0.0016209754451922665,-0.10742550759424177,-0.02246441323416664,True,True
140,140,140,140,310.0,105.0,0.45,0.15,-0.010660377338150749,0.0009169573936334672,-0.012569656062641295,-0.00455054547682989,True,True
141,141,141,141,310.0,105.0,0.45,0.222,-0.021884997915905414,0.004058307985806839,-0.02542770652336505,-0.00991804540314426,True,True
