,Unnamed: 0,had1,had2,z1,z2,mins,maxx,fit_line,conv
0,0,300.0,100.0,0.25,0.15,-0.016052630303048265,-0.010210164901077307,,-0.013264811376060507
1,1,300.0,100.0,0.25,0.222,-0.03279405430279116,-0.02368358556578222,,-0.028411882820320287
2,2,300.0,100.0,0.25,0.294,-0.049934451792470205,-0.0366330953919247,,-0.04322263212115403
3,3,300.0,100.0,0.25,0.3670000000000001,-0.06536167883670489,-0.046714385383143174,,-0.056038924285563535
4,4,300.0,100.0,0.25,0.439,-0.07921080065250781,-0.05543418138967883,,-0.06747864485608124
5,5,300.0,100.0,0.25,0.511,-0.09309174540540976,-0.06444800131342725,,-0.07908649708466621
6,6,300.0,100.0,0.25,0.583,-0.1080696924140576,-0.07444120380038056,,-0.09176388208534143
7,7,300.0,100.0,0.25,0.6559999999999999,-0.12429086951911507,-0.08542495482925119,,-0.10557780142580038
8,8,300.0,100.0,0.25,0.728,-0.14196237745880633,-0.09755231387050134,,-0.12072331654156016
9,9,300.0,100.0,0.25,0.8,-0.15836746694407908,-0.10878948491421148,,-0.13479724927122194
10,10,300.0,100.0,0.35,0.15,-0.010802071392546388,-0.007099044779369297,,-0.00891994656238228
11,11,300.0,100.0,0.35,0.222,-0.023236895592876373,-0.016070600087725644,,-0.01976239740048113
12,12,300.0,100.0,0.35,0.294,0.0,0.0,,-0.030442029705512182
13,13,300.0,100.0,0.35,0.3670000000000001,0.0,0.0,,-0.03963322030268246
14,14,300.0,100.0,0.35,0.439,0.0,0.0,,-0.047599098279696064
15,15,300.0,100.0,0.35,0.511,0.0,0.0,,-0.0554041303460357
16,16,300.0,100.0,0.35,0.583,0.0,0.0,,-0.06377547181550873
17,17,300.0,100.0,0.35,0.6559999999999999,0.0,0.0,,-0.07277105481261101
18,18,300.0,100.0,0.35,0.728,0.0,0.0,,-0.08281407892687716
19,19,300.0,100.0,0.35,0.8,0.0,0.0,,-0.09229968628830193
20,20,300.0,100.0,0.45,0.15,0.0,0.0,,-0.010660377338150749
21,21,300.0,100.0,0.45,0.222,0.0,0.0,,-0.021884997915905414
22,22,300.0,100.0,0.45,0.294,0.0,0.0,,-0.03212107409412733
