,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,MSS,chi
0,0.07068536995135796,-0.125026705003992,-0.1399196748181161,-0.05375091165623847,2.367967034009169,2.2894231622870582,2.180723783771944,2.875632028216981,0.3496963736895791,118.61043153422672
1,0.1188356585979292,-0.1082593229312931,-0.1179503851315323,-0.06402224859431224,2.242665799009506,3.730990184317829,2.159512874577832,3.582929618126629,0.4320899009185654,108.95847908411876
4,0.08227374180980976,-0.1050234100047471,-0.09396806318991588,-0.04259882388998002,1.865686895959321,3.3778739399413635,1.977735397294896,3.127359739307398,0.3358631396876002,109.86078628467985
5,0.09395955054073896,-0.1105808990037709,-0.1119720349034122,-0.05460629999935867,2.215652691680009,3.231980723070618,2.2268168056967546,3.479964337130549,0.3790395518794794,109.23325449162034
6,0.11374533554852802,-0.1120248584837958,-0.11041500137262,-0.05688181959207665,2.067579577073666,3.9582306716636224,2.215378941653226,3.732946887206208,0.4367571819806121,109.86885423788286
10,0.1093139650078074,-0.0974110470423955,-0.1032960502521716,-0.06437896479257214,2.113530616630051,3.446850161503092,2.0338165953590037,3.931553707513389,0.4566529639474582,110.88767197383854
14,0.1376182058582733,-0.1056371533445297,-0.1481116350513444,-0.0902413987297916,2.527868510457704,4.126250977822308,3.294358306056707,3.835051520816148,0.4749609794331008,113.07212446947771
15,0.1190634349949457,-0.1187412323691706,-0.1294905115490521,-0.07756315025132487,2.173794131366331,3.9118427346576063,3.027828273869282,2.147173475537844,0.2952920780788094,117.21394759481458
18,0.119308408554775,-0.1087239162278765,-0.08732446713144876,-0.0726644389267398,1.712736283478282,3.709415168221084,2.605192794250372,3.297133540446179,0.3990548744680997,109.96662825634058
20,0.1155680026089424,-0.1244987062568379,-0.1109452326367787,-0.06969212886987007,1.919847081871559,3.5784401907593466,2.577857813301092,2.863053991198641,0.3668919826263756,109.52637249244052
21,0.1127372842472527,-0.1109733349494551,-0.1207763270331895,-0.06048398481957808,2.13423098228435,4.231007982335747,2.588638667926169,2.756517958746755,0.3310349613092221,109.1647410624262
22,0.1063001038378498,-0.1159857024739893,-0.1388429181592312,-0.07226202216366061,2.491238164634332,3.349073431321535,2.744897661722317,3.766733527507213,0.4590565668926493,110.90044073355317
23,0.08798797556507815,-0.09659570958554266,-0.1140186520473317,-0.051401053174645016,2.079927350638797,3.356418631700653,2.123348267510876,2.726647243664313,0.2909043925756586,107.1520399758487
26,0.1274355305350036,-0.1108905309945995,-0.07744309131982921,-0.07429728938152548,1.648063377977375,3.822147484847408,2.666874593529978,2.472511677461166,0.3187137779541608,115.12932960986187
27,0.1047769662022646,-0.1170231787343448,-0.1139750142299321,-0.060737080095079235,1.991118658989931,3.902629897112656,2.985411745386334,2.5820090652150096,0.3026752918235301,110.40001816789864
28,0.1138126116474686,-0.1006263131458629,-0.1338854390364197,-0.06867147649596715,2.40914728235629,3.757512085991499,2.471596421094355,3.2837242244293527,0.3678725888164909,111.40547374662708
31,0.1075619824547156,-0.1124756480107897,-0.1392055184004037,-0.06251131454932868,2.426341445773484,3.690752086675346,2.308683106052159,2.513040614342334,0.3112226640540487,108.53487262700851
32,0.0677275795467249,-0.1009475749733716,-0.1012796503341796,-0.039275107051584816,1.958200655807612,3.0251440527593565,1.8999569230976467,2.763951073188445,0.2700771145508944,111.10358157202776
33,0.05504538724851177,-0.1055426178322585,-0.1029710812935248,-0.029020507530594687,1.960167410629658,2.676471423412063,1.5617399419716298,2.451439524876696,0.2329999324744434,117.79389305105545
36,0.06926114391983508,-0.1076666111555245,-0.1463659390530669,-0.05385141409344232,2.451520124124136,2.247510301559823,1.933126728710959,3.144436077121821,0.3700513881752981,117.61138946667973
37,0.06837691899538845,-0.1027757041504882,-0.1316464052835926,-0.04246908540633487,2.158429884508339,2.496593143565672,1.473244262973999,2.178129895552201,0.2509896832244374,115.09257940611514
38,0.06192065926432621,-0.1047589158259237,-0.123521642070629,-0.042107291344333886,2.209311285527335,2.377362686887393,1.468825770021647,2.310678611833062,0.2564906825647481,119.84491689591664
41,0.1015505549235127,-0.1084211789091786,-0.0770806018796576,-0.059123829606215476,1.667262630189338,3.518766027540036,2.259013405013592,3.0468979294092216,0.3657839004323274,110.91678714572802
43,0.1018548718675559,-0.1011681278237069,-0.1253060982238387,-0.05763948032367916,2.32400899844284,3.4359148911393897,1.8496243805166408,3.5566703294493403,0.41337572566105896,108.82099759588148
44,0.1118998348714172,-0.1176880750837885,-0.07193659635099695,-0.06928107112671132,1.378091042610656,3.790290459553432,2.944506581040115,2.434840499215123,0.3208495025094886,115.6023503547184
45,0.09962328865886598,-0.1081006712856717,-0.122118776286092,-0.05964370097876282,2.029575881315945,3.053949567321679,1.8687238541387527,1.9739283649046884,0.2648699110485827,120.17249376919172
46,0.1039663300490432,-0.1217279629763751,-0.1205571418999418,-0.07295528648058364,1.9574174583569648,3.2859415639902885,2.948366993992741,3.037727739042457,0.3796022578248025,112.59474190094384
47,0.1300905511583995,-0.1138860098911392,-0.1178370300826432,-0.08241138174983345,2.117661015992522,3.312044031394388,2.378430785310264,2.9097661748429413,0.4095985800674175,113.86235553380483
48,0.16093701139085698,-0.1016407869503428,-0.1354186596943495,-0.08808307102863944,2.494594564998083,5.184783981458208,3.24614339707398,2.697869714780415,0.3487893953361537,118.088928430019
50,0.06767117297982372,-0.1008839083084186,-0.0924797866863266,-0.03477246645872617,1.8273275934710815,3.037393005612299,1.8330333062876711,3.59617062550764,0.3635153062234123,118.99016729893476
51,0.07098348896438958,-0.1086663734580015,-0.1130323532462407,-0.04533361715367526,1.950895025660716,2.738449790133317,1.917804060187105,3.4473043515680337,0.3865037396797871,114.45447493245834
52,0.09598205216534343,-0.1033883246443071,-0.1043863364892765,-0.060272088121943235,2.090368963472546,2.971629908976258,1.909040836713613,4.547488187058726,0.5390395182970146,116.34611495733898
53,0.13664757999937502,-0.1001775030250248,-0.1252871193285577,-0.0765903849641075,2.208392669804549,4.399748636975291,2.607414248436656,2.7682086958300047,0.3587227892290692,110.30008749638851
54,0.1331266931747033,-0.1143891355923813,-0.1131898590007504,-0.07737423611660482,1.973459639189272,4.573805746478087,3.421419099622526,3.658101110086412,0.4367632881768475,109.09290973418258
57,0.07500296966853705,-0.09961548979143582,-0.1119404044539527,-0.03817197562005824,2.0089278475883896,3.087592817473245,1.6099073507159918,3.330291494326811,0.3449251685614673,110.83278016591221
59,0.09305043437848526,-0.0945108672107591,-0.13224725229314502,-0.04629556451297037,2.2485160093472403,3.5543321967015613,1.635745748847945,2.5314666969002597,0.3002268514357024,116.39208732008127
60,0.09835047367850004,-0.1061336005520777,-0.1508409406181698,-0.06738096920360341,2.32074726463314,3.784189017687621,3.048037220355952,2.25357180119551,0.2772311192069888,120.2522340538203
62,0.1491693404439677,-0.1299204212582523,-0.1152320674349556,-0.08713403768197038,2.185888813337231,4.533019560966757,3.3987391353559917,3.7634241669943567,0.4832434540743414,112.02048071045529
63,0.1200793084006018,-0.1123552073139533,-0.0989262189449811,-0.06375799525461448,1.97939212551969,4.148629723548699,2.614013969344368,4.850583936703866,0.5427836157633482,111.84238170044979
65,0.08254957278643063,-0.1052867651435479,-0.08356042179134633,-0.04361962346202608,1.7112326096558983,3.141712491658987,1.892891332495832,2.660889986197867,0.2915932221664408,111.5682504528878
